"time","mixingVolume1.medium.T","mixingVolume2.medium.T"
0,297.050573613767,297.050573613767
0.002,297.098538502735,297.050621762951
0.004,297.146407173235,297.050765898313
0.006,297.194179926604,297.051005418042
0.008,297.241856784278,297.051340279384
0.01,297.289438469464,297.051769043963
0.012,297.336924849244,297.052291976143
0.014,297.384315872972,297.052909176658
0.016,297.431611540648,297.053620645506
0.018,297.478813994851,297.054422145019
0.02,297.525922575612,297.055314980506
0.022,297.572936880211,297.056299948482
0.024,297.619856908647,297.057377048948
0.026,297.666682660921,297.058546281904
0.028,297.713414137032,297.059807647349
0.03,297.760051336982,297.061161145283
0.032,297.806594260768,297.062606775708
0.034,297.853045749861,297.064138950417
0.036,297.899405571978,297.065758126229
0.038,297.945672163521,297.067467378212
0.04,297.991845524492,297.069266706365
0.042,298.037925654888,297.071156110689
0.044,298.083912554711,297.073135591183
0.046,298.129806223961,297.075205147848
0.048,298.175606662638,297.077364780684
0.05,298.221316517619,297.079609311997
0.052,298.266937753019,297.081934899688
0.054,298.312467203348,297.084347735927
0.056,298.357904868607,297.086847820717
0.058,298.403250748796,297.089435154055
0.06,298.448504843914,297.092109735943
0.062,298.493667153962,297.09487156638
0.064,298.538737678939,297.097720645366
0.066,298.58371786428,297.100654166552
0.068,298.628611930593,297.103663935514
0.07,298.673415684495,297.106758093816
0.072,298.718129125986,297.109936641458
0.074,298.762752255068,297.11319957844
0.076,298.807285071739,297.116546904761
0.078,298.851727576,297.119978620422
0.08,298.896079767851,297.123494725423
0.082,298.940341797795,297.127094930993
0.084,298.984517760695,297.130771380337
0.086,299.028604914994,297.134529333667
0.088,299.072603423566,297.13836847848
0.09,299.116513449283,297.142288502271
0.092,299.16033515502,297.146289092536
0.094,299.20406870365,297.15036993677
0.096,299.247714258045,297.154530722469
0.098,299.291271981079,297.158771137129
0.1,299.334742035626,297.163090868245
0.102,299.378124584558,297.167489603313
0.104,299.42141979075,297.171967029828
0.106,299.464627817074,297.176522835287
0.108,299.507748826405,297.181156707184
0.11,299.550782981614,297.185868333016
0.112,299.593730445576,297.190657400277
0.114,299.636591381163,297.195523596465
0.116,299.679366747507,297.200465213903
0.118,299.722056529029,297.205482252764
0.12,299.764660529713,297.210575029373
0.122,299.807178929343,297.215743201597
0.124,299.849611907706,297.220986427298
0.126,299.891959644584,297.226304364341
0.128,299.934222319764,297.231696670591
0.13,299.976400113028,297.237163003912
0.132,300.018493204162,297.242703022169
0.134,300.06050177295,297.248316383225
0.136,300.102425999178,297.254002744946
0.138,300.144266062628,297.259761765196
0.14,300.186022143087,297.265593101839
0.142,300.227694420339,297.27149641274
0.144,300.269283074167,297.277471355763
0.146,300.310788284357,297.283517588773
0.148,300.352210113994,297.289635119333
0.15,300.393548498663,297.295824337072
0.152,300.434803896762,297.302084064967
0.154,300.475976483415,297.308413974847
0.156,300.517066433746,297.314813738541
0.158,300.55807392288,297.321283027879
0.16,300.598999125941,297.32782151469
0.162,300.639842218053,297.334428870802
0.164,300.68060337434,297.341104768046
0.166,300.721282769928,297.34784887825
0.168,300.76188057994,297.354660873244
0.17,300.802396979501,297.361540424857
0.172,300.842832143734,297.368487204917
0.174,300.883186247765,297.375500885255
0.176,300.923459466718,297.382581137699
0.178,300.963651975716,297.389727634079
0.18,301.003763949885,297.396940046224
0.182,301.043794366206,297.404221129251
0.184,301.083744220934,297.411568441899
0.186,301.123613812035,297.418981339879
0.188,301.163403300723,297.426459530814
0.19,301.203112848214,297.434002722329
0.192,301.242742615723,297.441610622048
0.194,301.282292764463,297.449282937595
0.196,301.32176345565,297.457019376593
