"time","input_mflow.y","input_p.y","IN_p.ports[1].m_flow","IN_p.ports[1].p","IN_p.ports[1].h_outflow","OUT_dp.ports[1].m_flow","OUT_dp.ports[1].p","OUT_dp.ports[1].h_outflow","OUT_mflow.ports[1].m_flow","OUT_mflow.ports[1].p","OUT_mflow.ports[1].h_outflow","IN_mflow.ports[1].m_flow","IN_mflow.ports[1].p","IN_mflow.ports[1].h_outflow","from_dp.port_b.m_flow","from_dp.port_b.p","from_dp.port_b.h_outflow","from_mflow.port_b.m_flow","from_mflow.port_b.p","from_mflow.port_b.h_outflow"
0,0,100000,-0,100000,293586.685237142,0,100000,293586.685237142,0,100000,293586.685237142,-0,100000,293586.685237142,-0,100000,293586.685237142,-0,100000,293586.685237142
0.0001,0.000628318489376257,100000.009478896,-0.00062831818813057,100000.009478896,293586.685237142,0.00062831818813057,100000,293586.685237142,0.000628318489376257,100000,293586.685237142,-0.000628318489376257,100000.009478896,293586.685237142,-0.00062831818813057,100000,293586.685237142,-0.000628318489376257,100000,293586.685237142
0.0002,0.00125663673070233,100000.020557223,-0.00125663680184655,100000.020557223,293586.685237142,0.00125663680184655,100000,293586.685237142,0.00125663673070233,100000,293586.685237142,-0.00125663673070233,100000.020557223,293586.685237142,-0.00125663680184655,100000,293586.685237142,-0.00125663673070233,100000,293586.685237142
0.0003,0.00188495447592811,100000.033285979,-0.00188495452099723,100000.033285979,293586.685237142,0.00188495452099723,100000,293586.685237142,0.00188495447592811,100000,293586.685237142,-0.00188495447592811,100000.033285979,293586.685237142,-0.00188495452099723,100000,293586.685237142,-0.00188495447592811,100000,293586.685237142
0.0004,0.00251327147700373,100000.047656515,-0.00251327148549001,100000.047656515,293586.685237142,0.00251327148549001,100000,293586.685237142,0.00251327147700373,100000,293586.685237142,-0.00251327147700373,100000.047656515,293586.685237142,-0.00251327148549001,100000,293586.685237142,-0.00251327147700373,100000,293586.685237142
0.0005,0.00314158748587956,100000.063270645,-0.00314158748680931,100000.063270645,293586.685237142,0.00314158748680931,100000,293586.685237142,0.00314158748587956,100000,293586.685237142,-0.00314158748587956,100000.063270645,293586.685237142,-0.00314158748680931,100000,293586.685237142,-0.00314158748587956,100000,293586.685237142
0.0006,0.00376990225450641,100000.079900162,-0.00376990225509633,100000.079900162,293586.685237142,0.00376990225509633,100000,293586.685237142,0.00376990225450641,100000,293586.685237142,-0.00376990225450641,100000.079900162,293586.685237142,-0.00376990225509633,100000,293586.685237142,-0.00376990225450641,100000,293586.685237142
0.0007,0.00439821553483556,100000.097393905,-0.00439821540663711,100000.097393905,293586.685237142,0.00439821540663711,100000,293586.685237142,0.00439821553483556,100000,293586.685237142,-0.00439821553483556,100000.097393905,293586.685237142,-0.00439821540663711,100000,293586.685237142,-0.00439821553483556,100000,293586.685237142
0.0008,0.00502652707881886,100000.11568292,-0.00502652691740629,100000.11568292,293586.685237142,0.00502652691740629,100000,293586.685237142,0.00502652707881886,100000,293586.685237142,-0.00502652707881886,100000.11568292,293586.685237142,-0.00502652691740629,100000,293586.685237142,-0.00502652707881886,100000,293586.685237142
0.0009,0.00565483663840888,100000.135084929,-0.00565483664004819,100000.135084929,293586.685237142,0.00565483664004819,100000,293586.685237142,0.00565483663840888,100000,293586.685237142,-0.00565483663840888,100000.135084929,293586.685237142,-0.00565483664004819,100000,293586.685237142,-0.00565483663840888,100000,293586.685237142
0.001,0.00628314396555895,100000.15614595,-0.00628314396711594,100000.15614595,293586.685237142,0.00628314396711594,100000,293586.685237142,0.00628314396555895,100000,293586.685237142,-0.00628314396555895,100000.15614595,293586.685237142,-0.00628314396711594,100000,293586.685237142,-0.00628314396555895,100000,293586.685237142
0.0011,0.00691144881222329,100000.178520248,-0.00691144881279261,100000.178520248,293586.685237142,0.00691144881279261,100000,293586.685237142,0.00691144881222329,100000,293586.685237142,-0.00691144881222329,100000.178520248,293586.685237142,-0.00691144881279261,100000,293586.685237142,-0.00691144881222329,100000,293586.685237142
0.0012,0.00753975093035709,100000.202145319,-0.0075397509307362,100000.202145319,293586.685237142,0.0075397509307362,100000,293586.685237142,0.00753975093035709,100000,293586.685237142,-0.00753975093035709,100000.202145319,293586.685237142,-0.0075397509307362,100000,293586.685237142,-0.00753975093035709,100000,293586.685237142
0.0013,0.00816805007191664,100000.22701965,-0.00816805007210238,100000.22701965,293586.685237142,0.00816805007210238,100000,293586.685237142,0.00816805007191664,100000,293586.685237142,-0.00816805007191664,100000.22701965,293586.685237142,-0.00816805007210238,100000,293586.685237142,-0.00816805007191664,100000,293586.685237142
0.0014,0.00879634598885936,100000.253141806,-0.00879634598901884,100000.253141806,293586.685237142,0.00879634598901884,100000,293586.685237142,0.00879634598885936,100000,293586.685237142,-0.00879634598885936,100000.253141806,293586.685237142,-0.00879634598901884,100000,293586.685237142,-0.00879634598885936,100000,293586.685237142
0.0015,0.00942463843314401,100000.280510469,-0.00942463843323265,100000.280510469,293586.685237142,0.00942463843323265,100000,293586.685237142,0.00942463843314401,100000,293586.685237142,-0.00942463843314401,100000.280510469,293586.685237142,-0.00942463843323265,100000,293586.685237142,-0.00942463843314401,100000,293586.685237142
0.0016,0.0100529271567307,100000.309124535,-0.0100529271568011,100000.309124535,293586.685237142,0.0100529271568011,100000,293586.685237142,0.0100529271567307,100000,293586.685237142,-0.0100529271567307,100000.309124535,293586.685237142,-0.0100529271568011,100000,293586.685237142,-0.0100529271567307,100000,293586.685237142
0.0017,0.0106812119115809,100000.338983318,-0.0106812119034333,100000.338983318,293586.685237142,0.0106812119034333,100000,293586.685237142,0.0106812119115809,100000,293586.685237142,-0.0106812119115809,100000.338983318,293586.685237142,-0.0106812119034333,100000,293586.685237142,-0.0106812119115809,100000,293586.685237142
0.0018,0.0113094924496578,100000.370086961,-0.0113094924496624,100000.370086961,293586.685237142,0.0113094924496624,100000,293586.685237142,0.0113094924496578,100000,293586.685237142,-0.0113094924496578,100000.370086961,293586.685237142,-0.0113094924496624,100000,293586.685237142,-0.0113094924496578,100000,293586.685237142
0.0019,0.0119377685229262,100000.402437028,-0.011937768522968,100000.402437028,293586.685237142,0.011937768522968,100000,293586.685237142,0.0119377685229262,100000,293586.685237142,-0.0119377685229262,100000.402437028,293586.685237142,-0.011937768522968,100000,293586.685237142,-0.0119377685229262,100000,293586.685237142
0.002,0.0125660398833526,100000.436037295,-0.0125660398833895,100000.436037295,293586.685237142,0.0125660398833895,100000,293586.685237142,0.0125660398833526,100000,293586.685237142,-0.0125660398833526,100000.436037295,293586.685237142,-0.0125660398833895,100000,293586.685237142,-0.0125660398833526,100000,293586.685237142
0.0021,0.0131943062829055,100000.47089465,-0.0131943062828259,100000.47089465,293586.685237142,0.0131943062828259,100000,293586.685237142,0.0131943062829055,100000,293586.685237142,-0.0131943062829055,100000.47089465,293586.685237142,-0.0131943062828259,100000,293586.685237142,-0.0131943062829055,100000,293586.685237142
0.0022,0.0138225674735552,100000.507020019,-0.0138225674735803,100000.507020019,293586.685237142,0.0138225674735803,100000,293586.685237142,0.0138225674735552,100000,293586.685237142,-0.0138225674735552,100000.507020019,293586.685237142,-0.0138225674735803,100000,293586.685237142,-0.0138225674735552,100000,293586.685237142
0.0023,0.0144508232072743,100000.544429215,-0.01445082320728,100000.544429215,293586.685237142,0.01445082320728,100000,293586.685237142,0.0144508232072743,100000,293586.685237142,-0.0144508232072743,100000.544429215,293586.685237142,-0.01445082320728,100000,293586.685237142,-0.0144508232072743,100000,293586.685237142
