"time","cp[1]","cp[2]","cp[3]","eta[1]","eta[2]","eta[3]","lambda[1]","lambda[2]","lambda[3]","rho[1]","rho[2]","rho[3]","m_flow[1]","m_flow[2]","m_flow[3]","Re_1[1]","Re_1[2]","Re_1[3]","Nu_1[1]","Nu_1[2]","Nu_1[3]","Nu_2[1]","Nu_2[2]","Nu_2[3]","Re","Pr[1]","Pr[2]","Pr[3]","input_mflow_0.y","input_mflow_1.y","input_mflow_2.y"
0,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0,0,0,0,0,0,2.05663822201065e-14,4.40191186815442e-14,2.29769710065197e-13,-0.120705776780986,0.0890777068987694,0.341448015945675,0,0.714973919813157,7.01036324143693,996.999224806202,0,0,0
0.000202,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.0003232,0.017747649122807,2.02,225.609112312722,225.609112312722,225.609112312722,1.56979597849508,3.35990232718858,17.5379200376671,4.8783035562728,5.97739994501791,27.9826088939417,225.609112312722,0.714973919813157,7.01036324143693,996.999224806202,2.02,0.126920309129513,0.201796117304121
0.000404,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.0006464,0.035495298245614,4.04,451.218224625444,451.218224625444,451.218224625444,2.73317354667777,5.84992972710796,30.535292335667,6.28811005896884,9.62369728758525,46.657224446738,451.218224625444,0.714973919813157,7.01036324143693,996.999224806202,4.04,0.253840413806001,0.403185017878649
0.000606,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.0009696,0.0532429473684211,6.06,676.827336938165,676.827336938166,676.827336938165,3.78042142626622,8.09139972446759,42.2352519631889,7.5889682739117,12.8944677923453,63.769850862461,676.827336938165,0.714973919813157,7.01036324143693,996.999224806202,6.06,0.380760109576771,0.604167523471144
0.000808,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.0012928,0.0709905964912281,8.08,902.436449250887,902.436449250887,902.436449250887,4.7587315412928,10.1853192383531,53.1650318864535,8.78941657379243,15.949753285767,79.98027203989,902.436449250887,0.714973919813157,7.01036324143693,996.999224806202,8.08,0.507679191989786,0.804744454170891
0.00101,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.001616,0.0887382456140351,10.1,1128.04556156361,1128.04556156361,1128.04556156361,5.68878100668133,12.1759443934482,63.5556389325335,9.91462013732541,18.8579672352418,95.5718615693249,1128.04556156361,0.714973919813157,7.01036324143693,996.999224806202,10.1,0.634597456593999,1.00491662841227
0.001212,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.0019392,0.106485894736842,12.12,1353.65467387633,1353.65467387633,1353.65467387633,6.58209600426559,14.0879451759787,73.5358447750156,10.9817891363747,21.6563774377499,110.699589484446,1353.65467387633,0.714973919813157,7.01036324143693,996.999224806202,12.12,0.761514698939678,1.20468486297811
0.001414,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.0022624,0.124233543859649,14.14,1579.26378618905,1579.26378618905,1579.26378618905,7.44597620788319,15.9369453940386,83.1872021110776,12.0025793367916,24.3681421032568,125.460068404628,1579.26378618905,0.714973919813157,7.01036324143693,996.999224806202,14.14,0.888430714578741,1.404049973003
0.001616,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.0025856,0.141981192982456,16.16,1804.87289850177,1804.87289850177,1804.87289850177,8.28543284769495,17.7336708005984,92.565696912817,12.9852032062751,27.0089103015643,139.918766391715,1804.87289850177,0.714973919813157,7.01036324143693,996.999224806202,16.16,1.01534529906508,1.60301277197659
0.001818,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.0029088,0.159728842105263,18.18,2030.4820108145,2030.4820108145,2030.4820108145,9.10410419949835,19.4859085549362,101.711976366801,13.9356786031177,29.5898927366649,154.122698244168,2030.4820108145,0.714973919813157,7.01036324143693,996.999224806202,18.18,1.14225824795489,1.80157407174697
