"time","volume.medium.T","volume.medium.p","volume1.medium.T","volume1.medium.p"
0,300,100000,300,100000
0.000202,300.350138170482,100288.581667242,300.002948806769,100003.447703248
0.000404,300.693323772295,100570.395770175,300.01155516213,100013.485673088
0.000606,301.029851625823,100845.731542761,300.025472680611,100029.676407319
0.000808,301.359983879686,101114.847009582,300.044391583379,100051.631602083
0.00101,301.683993223407,101378.01128917,300.067988225452,100078.948079211
0.001212,302.002154741921,101635.496328823,300.095935399728,100111.219998521
0.001414,302.314716166665,101887.547721866,300.127937603347,100148.083708007
0.001616,302.621911513561,102134.397875959,300.163715329938,100189.196847208
0.001818,302.923959547352,102376.264508254,300.203006951521,100234.240796488
0.00202,303.221063823817,102613.35060878,300.24556896814,100282.920699133
0.002222,303.513418114159,102845.849537653,300.291170254451,100334.957418763
0.002424,303.801207653359,103073.946358918,300.339590000307,100390.085248732
0.002626,304.08460290774,103297.811737544,300.390625318778,100448.061620568
0.002828,304.363761652197,103517.603964786,300.444088750696,100508.663892198
0.00303,304.638832332266,103733.472207722,300.499804380001,100571.684267916
0.003232,304.909971469235,103945.572788537,300.557589158448,100636.903275906
0.003434,305.177310198066,104154.037744994,300.617289184554,100704.140700434
0.003636,305.440978852357,104358.997901225,300.678753028972,100773.218059109
0.003838,305.701103681729,104560.579761203,300.741835310349,100843.963549757
0.00404,305.957797887062,104758.897202118,300.806406364232,100916.22598969
0.004242,306.211175700406,104954.064607845,300.87233667891,100989.852796
0.004444,306.461340773647,105146.185986411,300.939509955035,101064.708219871
0.004646,306.708391268627,105335.359779933,301.00781723809,101140.665311919
0.004848,306.95242456271,105521.683377947,301.077151267957,101217.598433725
0.00505,307.193527247367,105705.243505646,301.147418552687,101295.39919139
0.005252,307.431784692535,105886.125512181,301.218527545522,101373.961130888
0.005454,307.667278258978,106064.410653115,301.290392119843,101453.184205716
0.005656,307.900083586386,106240.174395091,301.362933777212,101532.977538223
0.005858,308.130273204296,106413.489001476,301.436078279759,101613.255208144
0.00606,308.357916175273,106584.423179006,301.509756110418,101693.93682816
0.006262,308.583078242524,106753.042138077,301.583902496224,101774.947333424
0.006464,308.80582216843,106919.407953464,301.658456908336,101856.216427306
0.006666,309.026208311294,107083.580299833,301.733361909188,101937.677598226
0.006868,309.244294602631,107245.616244058,301.808563642593,102019.268215852
0.00707,309.46013693034,107405.570676159,301.884011211438,102100.928896487
0.007272,309.673786773106,107563.494215785,301.959659003419,102182.607122715
0.007474,309.885287597219,107719.430010663,302.035470271361,102264.26276743
