"time","inertiaLoad.phi","inertiaLoad.w","smpm.idq_sr[1]","smpm.idq_sr[2]","tauElectrical","tauShaft","wMechanical"
0,0,157.07963267948966,-254.10589288719777,-190.57941966539835,-289.02947648621614,-231.2235811889729,157.07963267948966
0.00050000000000000001,0.07851490017131367,156.97996852063432,-254.09642935519346,-190.57307812291307,-289.01985901173828,-231.21588720939062,156.97996852063432
0.001,0.15697996956406896,156.88031040339328,-254.06836196168928,-190.55678553966362,-288.99514995965143,-231.19611996772113,156.88031040339328
0.0015,0.23539521231776536,156.78066256956706,-254.02258081204607,-190.53436824956805,-288.96115228229496,-231.16892182583598,156.78066256956706
0.002,0.31376063422087835,156.68102736856113,-253.96040171665018,-190.50902899157384,-288.92272319858034,-231.13817855886427,156.68102736856113
0.0025000000000000001,0.39207624187193246,156.58140559946489,-253.88343030455192,-190.4833820289337,-288.88382745528145,-231.10706196422518,156.58140559946489
0.0030000000000000001,0.47034204194405788,156.48179685508231,-253.79343729933512,-190.45950426254544,-288.84761484464934,-231.07809187571948,156.48179685508231
0.0035000000000000001,0.54855804064215086,156.38219978007137,-253.69226170018314,-190.43896935325461,-288.81647195370942,-231.05317756296753,156.38219978007137
0.0040000000000000001,0.62672424331584708,156.28261230864294,-253.5817362585417,-190.42289835185713,-288.79209894885571,-231.03367915908456,156.28261230864294
0.0045000000000000005,0.70484065413614772,156.18303190593048,-253.46362006918966,-190.4120219541401,-288.77560399077606,-231.02048319262084,156.18303190593048
0.0050000000000000001,0.78290727593358855,156.08345574180322,-253.33955792818264,-190.40673569052447,-288.76758693411762,-231.0140695472941,156.08345574180322
0.0054999999999999997,0.86092411009900627,155.98388084768771,-253.2110489683179,-190.4071566467332,-288.76822534907797,-231.01458027926236,155.98388084768771
0.0060000000000000001,0.93889115653357691,155.88430425309005,-253.07942353695489,-190.41317831722668,-288.77735771118381,-231.02188616894705,155.88430425309005
0.0065000000000000006,1.0168084136559397,155.78472309473713,-252.94583005495252,-190.42452145744596,-288.7945605229304,-231.03564841834432,155.78472309473713
0.0070000000000000001,1.0946758784974446,155.68513469596141,-252.81123590959848,-190.44078473660971,-288.81922513294393,-231.05538010635513,155.68513469596141
0.0074999999999999997,1.1724935468094273,155.58553660882276,-252.67643411467645,-190.46147973977668,-288.85061081950823,-231.08048865560659,155.58553660882276
0.0080000000000000002,1.2502614131812286,155.4859266615924,-252.54205074741091,-190.48607030546532,-288.88790444932386,-231.11032355945909,155.4859266615924
0.0085000000000000006,1.3279794712028905,155.38630296278401,-252.40856285984066,-190.51399849800461,-288.93025986672944,-231.14420789338357,155.38630296278401
0.0090000000000000011,1.4056477135924457,155.28666391003313,-252.27631176088531,-190.544707545698,-288.97683268132715,-231.18146614506173,155.28666391003313
0.0094999999999999998,1.483266132335642,155.18700818766163,-252.14551914468396,-190.57766146756899,-289.02681003356838,-231.22144802685472,155.18700818766163
0.01,1.560834718826968,155.08733475564784,-252.01630443816128,-190.61236094369056,-289.07943466342277,-231.26354773073822,155.08733475564784
0.010500000000000001,1.638353464002851,154.98764282299146,-251.88870321848376,-190.64835088176648,-289.13401638572577,-231.30721310858061,154.98764282299146
0.010999999999999999,1.7158223584619794,154.88793182254477,-251.76268396196704,-190.68522672645921,-289.18994165879701,-231.35195332703762,154.88793182254477
0.0115,1.7932413925685462,154.78820138485892,-251.63816297480577,-190.72263777994812,-289.24667862034124,-231.39734289627299,154.78820138485892
0.012,1.8706105565514026,154.68845130990761,-251.51501912502985,-190.76028894577126,-289.30377973213007,-231.44302378570404,154.68845130990761
0.012500000000000001,1.9479298405736833,154.58868153701519,-251.39310543069197,-190.79793725574146,-289.36087651278132,-231.48870121022506,154.58868153701519
0.013000000000000001,2.0251992347950805,154.48889211988714,-251.27225918070994,-190.83538965376053,-289.41767617673037,-231.53414094138429,154.48889211988714
0.0135,2.1024187294241434,154.3890832013991,-251.15231095299814,-190.87249918992291,-289.47395586227293,-231.57916468981836,154.3890832013991
0.014,2.1795883147621069,154.28925498983574,-251.03309248866435,-190.90916062153005,-289.52955596013908,-231.62364476811126,154.28925498983574
0.014500000000000001,2.2567079812245283,154.18940773898211,-250.91444156799136,-190.94530449342128,-289.58437113582403,-231.66749690865922,154.18940773898211
0.014999999999999999,2.3337777193608127,154.0895417308729,-250.79620632235071,-190.98089212655125,-289.6383427293519,-231.71067418348153,154.0895417308729
0.0155,2.4107975198648717,153.98965726114167,-250.67824822026046,-191.01591048619693,-289.6914509724852,-231.75316077798817,153.98965726114167
0.016,2.4877673735820802,153.88975462560634,-250.5604444832671,-191.05036707142929,-289.74370723818629,-231.79496579054904,153.88975462560634
0.016500000000000001,2.56468727150187,153.78983411242652,-250.44268818778613,-191.0842852335843,-289.7951469406907,-231.83611755255257,153.78983411242652
0.017000000000000001,2.6415572047537998,153.68989599456697,-250.3248887304355,-191.11770015355151,-289.8458234347313,-231.87665874778503,153.68989599456697
0.017500000000000002,2.7183771645989552,153.5899405244763,-250.20697149353154,-191.15065514369965,-289.89580240710336,-231.91664192568268,153.5899405244763
0.018000000000000002,2.7951471424198329,153.48996792983397,-250.08887720947016,-191.18319821640895,-289.94515667255831,-231.95612533804666,153.48996792983397
0.018499999999999999,2.8718671297056542,153.38997841295503,-249.97056036461274,-191.21537965500369,-289.99396248992275,-231.99516999193821,153.38997841295503
