"time","heater.mediums[1].h","heater.mediums[1].p","pipe.mediums[1].h","pipe.mediums[1].p","pipe.mediums[2].h","pipe.mediums[2].p","radiator.mediums[1].h","radiator.mediums[1].p","tank.level","tank.medium.h"
0,300001.65632485,129994.721091118,300001.65632485,129992.485263164,300001.65632485,129970.126983763,98245.4324563258,111135.209746653,1,92643.4649928278
1.2,300001.656324851,129994.721091118,300001.65632485,129992.485263164,300001.65632485,129970.126983763,98245.4324563258,111135.209746653,1,92643.4649928278
2.4,300001.656324851,129994.721091118,300001.65632485,129992.485263164,300001.65632485,129970.126983763,98245.4324563258,111135.209746653,1,92643.4649928278
3.6,300001.656324851,129994.721091118,300001.65632485,129992.485263164,300001.65632485,129970.126983763,98245.4324563257,111135.209746653,1,92643.4649928278
4.8,300001.656324851,129994.721091118,300001.65632485,129992.485263164,300001.65632485,129970.126983763,98245.4324563257,111135.209746653,1,92643.4649928278
6,300001.656324851,129994.721091118,300001.65632485,129992.485263164,300001.65632485,129970.126983763,98245.4324563257,111135.209746653,1,92643.4649928278
7.2,300001.656324851,129994.721091118,300001.65632485,129992.485263164,300001.65632485,129970.126983763,98245.4324563257,111135.209746653,1,92643.4649928278
8.4,300001.656324851,129994.721091118,300001.65632485,129992.485263164,300001.65632485,129970.126983763,98245.4324563257,111135.209746653,1,92643.4649928278
9.6,300001.656324851,129994.721091118,300001.65632485,129992.485263164,300001.65632485,129970.126983763,98245.4324563256,111135.209746653,1,92643.4649928278
10.8,300001.656324851,129994.721091118,300001.65632485,129992.485263164,300001.65632485,129970.126983763,98245.4324563256,111135.209746653,1,92643.4649928278
12,300001.656324851,129994.721091118,300001.65632485,129992.485263164,300001.65632485,129970.126983763,98245.4324563256,111135.209746653,1,92643.4649928278
13.2,300001.656324851,129994.721091118,300001.65632485,129992.485263164,300001.65632485,129970.126983763,98245.4324563256,111135.209746653,1,92643.4649928278
14.4,300001.656324851,129994.721091118,300001.65632485,129992.485263164,300001.65632485,129970.126983763,98245.4324563256,111135.209746653,1,92643.4649928278
15.6,300001.656324851,129994.721091118,300001.65632485,129992.485263164,300001.65632485,129970.126983763,98245.4324563255,111135.209746653,1,92643.4649928278
16.8,300001.656324851,129994.721091118,300001.65632485,129992.485263164,300001.65632485,129970.126983763,98245.4324563255,111135.209746653,1,92643.4649928278
18,300001.656324851,129994.721091118,300001.65632485,129992.485263164,300001.65632485,129970.126983763,98245.4324563255,111135.209746653,1,92643.4649928278
