"time","boundary.ports[1].m_flow","boundary.ports[1].p","boundary.ports[1].h_outflow","boundary.ports[1].Xi_outflow[1]","boundary.ports[1].C_outflow[1]","boundary1.ports[1].m_flow","boundary1.ports[1].p","boundary1.ports[1].h_outflow","boundary1.ports[1].Xi_outflow[1]","boundary1.ports[1].C_outflow[1]","boundary2.ports[1].m_flow","boundary2.ports[1].p","boundary2.ports[1].h_outflow","boundary2.ports[1].Xi_outflow[1]","boundary2.ports[1].C_outflow[1]","boundary3.ports[1].m_flow","boundary3.ports[1].p","boundary3.ports[1].h_outflow","boundary3.ports[1].Xi_outflow[1]","boundary3.ports[1].C_outflow[1]","boundary4.ports[1].m_flow","boundary4.ports[1].p","boundary4.ports[1].h_outflow","boundary4.ports[1].Xi_outflow[1]","boundary4.ports[1].C_outflow[1]","boundary5.ports[1].m_flow","boundary5.ports[1].p","boundary5.ports[1].h_outflow","boundary5.ports[1].Xi_outflow[1]","boundary5.ports[1].C_outflow[1]","boundary6.ports[1].m_flow","boundary6.ports[1].p","boundary6.ports[1].h_outflow","boundary6.ports[1].Xi_outflow[1]","boundary6.ports[1].C_outflow[1]","boundary6.ports[2].m_flow","boundary6.ports[2].p","boundary6.ports[2].h_outflow","boundary6.ports[2].Xi_outflow[1]","boundary6.ports[2].C_outflow[1]","pipe.port_b.m_flow","pipe.port_b.p","pipe.port_b.h_outflow","pipe1.port_b.m_flow","pipe1.port_b.p","pipe1.port_b.h_outflow","pipe2.port_b.m_flow","pipe2.port_b.p","pipe2.port_b.h_outflow","pipe3.port_b.m_flow","pipe3.port_b.p","pipe3.port_b.h_outflow","C.y","P.y","traceSubstance1.port_b.m_flow","traceSubstance1.port_b.p","traceSubstance1.port_b.h_outflow"
0,-2.26599009252672,101375,45263.2387446934,0.01,0,-2.26599009252672,101375,45263.2387446934,0.01,0,-0.1,101325.306103946,45263.2387446934,0.01,0,-0.1,101325.306103946,45263.2387446934,0.01,0,2.26599009252672,101325,45263.2387446934,0.01,0,2.26599009252672,101325,45263.2387446934,0.01,0,0.1,101325,45263.2387446934,0.01,0,0.1,101325,45263.2387446934,0.01,0,-2.26599009252672,101325,45263.2387446934,-2.26599009252672,101325,45263.2387446934,-0.1,101325,45263.2387446934,-0.1,101325,45263.2387446934,0,101375,-2.26599009252672,101325,45263.2387446934
0.0004,-2.26551079203427,101374.98,45263.2387446934,0.01,6.076e-07,-2.26551079203427,101374.98,45263.2387446934,0.01,6.076e-07,-0.1,101325.306103946,45263.2387446934,0.01,6.076e-07,-0.1,101325.306103946,45263.2387446934,0.01,6.076e-07,2.26551079203427,101325,45263.2387446934,0.01,0,2.26551079203427,101325,45263.2387446934,0.01,0,0.1,101325,45263.2387446934,0.01,0,0.1,101325,45263.2387446934,0.01,0,-2.26551079203427,101325,45263.2387446934,-2.26551079203427,101325,45263.2387446934,-0.1,101325,45263.2387446934,-0.1,101325,45263.2387446934,6.076e-07,101374.98,-2.26551079203427,101325,45263.2387446934
0.0008,-2.26503139863898,101374.96,45263.2387446934,0.01,1.2152e-06,-2.26503139863898,101374.96,45263.2387446934,0.01,1.2152e-06,-0.1,101325.306103946,45263.2387446934,0.01,1.2152e-06,-0.1,101325.306103946,45263.2387446934,0.01,1.2152e-06,2.26503139863898,101325,45263.2387446934,0.01,0,2.26503139863898,101325,45263.2387446934,0.01,0,0.1,101325,45263.2387446934,0.01,0,0.1,101325,45263.2387446934,0.01,0,-2.26503139863898,101325,45263.2387446934,-2.26503139863898,101325,45263.2387446934,-0.1,101325,45263.2387446934,-0.1,101325,45263.2387446934,1.2152e-06,101374.96,-2.26503139863898,101325,45263.2387446934
0.0012,-2.26455191228543,101374.94,45263.2387446934,0.01,1.8228e-06,-2.26455191228543,101374.94,45263.2387446934,0.01,1.8228e-06,-0.1,101325.306103946,45263.2387446934,0.01,1.8228e-06,-0.1,101325.306103946,45263.2387446934,0.01,1.8228e-06,2.26455191228543,101325,45263.2387446934,0.01,0,2.26455191228543,101325,45263.2387446934,0.01,0,0.1,101325,45263.2387446934,0.01,0,0.1,101325,45263.2387446934,0.01,0,-2.26455191228543,101325,45263.2387446934,-2.26455191228543,101325,45263.2387446934,-0.1,101325,45263.2387446934,-0.1,101325,45263.2387446934,1.8228e-06,101374.94,-2.26455191228543,101325,45263.2387446934
0.0016,-2.26407233291915,101374.92,45263.2387446934,0.01,2.4304e-06,-2.26407233291915,101374.92,45263.2387446934,0.01,2.4304e-06,-0.1,101325.306103946,45263.2387446934,0.01,2.4304e-06,-0.1,101325.306103946,45263.2387446934,0.01,2.4304e-06,2.26407233291915,101325,45263.2387446934,0.01,0,2.26407233291915,101325,45263.2387446934,0.01,0,0.1,101325,45263.2387446934,0.01,0,0.1,101325,45263.2387446934,0.01,0,-2.26407233291915,101325,45263.2387446934,-2.26407233291915,101325,45263.2387446934,-0.1,101325,45263.2387446934,-0.1,101325,45263.2387446934,2.4304e-06,101374.92,-2.26407233291915,101325,45263.2387446934
0.002,-2.26359266048532,101374.9,45263.2387446934,0.01,3.038e-06,-2.26359266048532,101374.9,45263.2387446934,0.01,3.038e-06,-0.1,101325.306103946,45263.2387446934,0.01,3.038e-06,-0.1,101325.306103946,45263.2387446934,0.01,3.038e-06,2.26359266048532,101325,45263.2387446934,0.01,0,2.26359266048532,101325,45263.2387446934,0.01,0,0.1,101325,45263.2387446934,0.01,0,0.1,101325,45263.2387446934,0.01,0,-2.26359266048532,101325,45263.2387446934,-2.26359266048532,101325,45263.2387446934,-0.1,101325,45263.2387446934,-0.1,101325,45263.2387446934,3.038e-06,101374.9,-2.26359266048532,101325,45263.2387446934
0.0024,-2.26311289492938,101374.88,45263.2387446934,0.01,3.6456e-06,-2.26311289492938,101374.88,45263.2387446934,0.01,3.6456e-06,-0.1,101325.306103946,45263.2387446934,0.01,3.6456e-06,-0.1,101325.306103946,45263.2387446934,0.01,3.6456e-06,2.26311289492938,101325,45263.2387446934,0.01,0,2.26311289492938,101325,45263.2387446934,0.01,0,0.1,101325,45263.2387446934,0.01,0,0.1,101325,45263.2387446934,0.01,0,-2.26311289492938,101325,45263.2387446934,-2.26311289492938,101325,45263.2387446934,-0.1,101325,45263.2387446934,-0.1,101325,45263.2387446934,3.6456e-06,101374.88,-2.26311289492938,101325,45263.2387446934
0.0028,-2.26263303619568,101374.86,45263.2387446934,0.01,4.2532e-06,-2.26263303619568,101374.86,45263.2387446934,0.01,4.2532e-06,-0.1,101325.306103946,45263.2387446934,0.01,4.2532e-06,-0.1,101325.306103946,45263.2387446934,0.01,4.2532e-06,2.26263303619568,101325,45263.2387446934,0.01,0,2.26263303619568,101325,45263.2387446934,0.01,0,0.1,101325,45263.2387446934,0.01,0,0.1,101325,45263.2387446934,0.01,0,-2.26263303619568,101325,45263.2387446934,-2.26263303619568,101325,45263.2387446934,-0.1,101325,45263.2387446934,-0.1,101325,45263.2387446934,4.2532e-06,101374.86,-2.26263303619568,101325,45263.2387446934
0.0032,-2.26215308422955,101374.84,45263.2387446934,0.01,4.8608e-06,-2.26215308422955,101374.84,45263.2387446934,0.01,4.8608e-06,-0.1,101325.306103946,45263.2387446934,0.01,4.8608e-06,-0.1,101325.306103946,45263.2387446934,0.01,4.8608e-06,2.26215308422955,101325,45263.2387446934,0.01,0,2.26215308422955,101325,45263.2387446934,0.01,0,0.1,101325,45263.2387446934,0.01,0,0.1,101325,45263.2387446934,0.01,0,-2.26215308422955,101325,45263.2387446934,-2.26215308422955,101325,45263.2387446934,-0.1,101325,45263.2387446934,-0.1,101325,45263.2387446934,4.8608e-06,101374.84,-2.26215308422955,101325,45263.2387446934
0.0036,-2.2616730389763,101374.82,45263.2387446934,0.01,5.4684e-06,-2.2616730389763,101374.82,45263.2387446934,0.01,5.4684e-06,-0.1,101325.306103946,45263.2387446934,0.01,5.4684e-06,-0.1,101325.306103946,45263.2387446934,0.01,5.4684e-06,2.2616730389763,101325,45263.2387446934,0.01,0,2.2616730389763,101325,45263.2387446934,0.01,0,0.1,101325,45263.2387446934,0.01,0,0.1,101325,45263.2387446934,0.01,0,-2.2616730389763,101325,45263.2387446934,-2.2616730389763,101325,45263.2387446934,-0.1,101325,45263.2387446934,-0.1,101325,45263.2387446934,5.4684e-06,101374.82,-2.2616730389763,101325,45263.2387446934
