"time","pipeFriction1.port_b.m_flow","pipeFriction1.port_b.p","pipeFriction1.port_b.h_outflow","pipeFriction2.port_b.m_flow","pipeFriction2.port_b.p","pipeFriction2.port_b.h_outflow","pipeFriction3.port_b.m_flow","pipeFriction3.port_b.p","pipeFriction3.port_b.h_outflow","boundary1.ports[1].m_flow","boundary1.ports[1].p","boundary1.ports[1].h_outflow","boundary1.ports[1].Xi_outflow[1]","boundary1.ports[1].Xi_outflow[2]","boundary1.ports[1].Xi_outflow[3]","boundary1.ports[1].Xi_outflow[4]","boundary1.ports[1].Xi_outflow[5]","boundary1.ports[1].Xi_outflow[6]","boundary2.ports[1].m_flow","boundary2.ports[1].p","boundary2.ports[1].h_outflow","boundary2.ports[1].Xi_outflow[1]","boundary2.ports[1].Xi_outflow[2]","boundary2.ports[1].Xi_outflow[3]","boundary2.ports[1].Xi_outflow[4]","boundary2.ports[1].Xi_outflow[5]","boundary2.ports[1].Xi_outflow[6]","boundary3.ports[1].m_flow","boundary3.ports[1].p","boundary3.ports[1].h_outflow","boundary3.ports[1].Xi_outflow[1]","boundary3.ports[1].Xi_outflow[2]","boundary3.ports[1].Xi_outflow[3]","boundary3.ports[1].Xi_outflow[4]","boundary3.ports[1].Xi_outflow[5]","boundary3.ports[1].Xi_outflow[6]","sine1.y","sine2.y","sine3.y"
0,2.25297859432741,100237.724943375,302516.853264599,4.95398667585954,101000,322762.21306244,-2.70100808153213,100000,322740.760257323,2.25297859432741,100069.810901696,302516.853264599,0.768,0,0,0.232,0,0,-4.95398667585954,101000,322740.760257323,0.768,0,0,0.232,0,0,2.70100808153213,100000,343007.572860281,0.768,0,0,0.232,0,0,100069.810901696,300.017453283659,100000
0.002,2.06483184672808,100337.427600959,302643.963067654,4.60932484712999,101000,322825.767963968,-2.5444930004019,100125.650477217,322740.760257323,2.06483184672808,100195.427083977,302643.963067654,0.768,0,0,0.232,0,0,-4.60932484712999,101000,322740.760257323,0.768,0,0,0.232,0,0,2.5444930004019,100125.650477217,343007.572860281,0.768,0,0,0.232,0,0,100195.427083977,300.143112113063,100125.650477217
0.004,1.85956367455925,100437.110398306,302771.050784501,4.23795542415523,101000,322889.311822391,-2.37839174959598,100251.221590899,322740.760257323,1.85956367455925,100320.919830323,302771.050784501,0.768,0,0,0.232,0,0,-4.23795542415523,101000,322740.760257323,0.768,0,0,0.232,0,0,2.37839174959598,100251.221590899,343007.572860281,0.768,0,0,0.232,0,0,100320.919830323,300.268748343405,100251.221590899
0.006,1.63161208746108,100536.738421446,302898.09634724,3.8325966143629,101000,322952.834603761,-2.20098452690182,100376.63402764,322740.760257323,1.63161208746108,100446.209876826,302898.09634724,0.768,0,0,0.232,0,0,-3.8325966143629,101000,322740.760257323,0.768,0,0,0.232,0,0,2.20098452690182,100376.63402764,343007.572860281,0.768,0,0,0.232,0,0,100446.209876826,300.394342135269,100376.63402764
0.008,1.37150618052432,100636.312536953,303025.079694263,3.38160433163432,101000,323016.326277272,-2.01009815111,100501.808574256,322740.760257323,1.37150618052432,100571.218087607,303025.079694263,0.768,0,0,0.232,0,0,-3.38160433163432,101000,322740.760257323,0.768,0,0,0.232,0,0,2.01009815111,100501.808574256,343007.572860281,0.768,0,0,0.232,0,0,100571.218087607,300.519873655937,100501.808574256
0.01,1.06063227761013,100735.941328462,303151.980773414,2.8640084746807,101000,323079.776816847,-1.80337619707058,100626.666167822,322740.760257323,1.06063227761013,100695.8655048,303151.980773414,0.768,0,0,0.232,0,0,-2.8640084746807,101000,322740.760257323,0.768,0,0,0.232,0,0,1.80337619707058,100626.666167822,343007.572860281,0.768,0,0,0.232,0,0,100695.8655048,300.64532308253,100626.666167822
0.012,0.651351694012098,100836.196169242,303278.779545158,2.23280011464011,101000,323143.176202719,-1.58144842062801,100751.127945604,322740.760257323,0.651351694012098,100820.073398426,303278.779545158,0.768,0,0,0.232,0,0,-2.23280011464011,101000,322740.760257323,0.768,0,0,0.232,0,0,1.58144842062801,100751.127945604,343007.572860281,0.768,0,0,0.232,0,0,100820.073398426,300.770670605126,100751.127945604
0.014,-0.127863767555363,100942.987561222,303405.455985746,1.28094118753425,101000,303405.455985746,-1.40880495508961,100875.115294876,320985.879397442,-0.127863767555363,100943.763316117,303405.455985746,0.768,0,0,0.232,0,0,-1.28094118753425,101000,322740.760257323,0.768,0,0,0.232,0,0,1.40880495508961,100875.115294876,343007.572860281,0.768,0,0,0.232,0,0,100943.763316117,300.8958964299,100875.115294876
0.016,-1.27779924828414,101013.791529815,303531.990090371,-0.621689523514624,101000,303531.990090371,-0.656109724769515,100998.549902572,303531.990090371,-1.27779924828414,101066.857132669,303531.990090371,0.768,0,0,0.232,0,0,0.621689523514624,101000,322740.760257323,0.768,0,0,0.232,0,0,0.656109724769515,100998.549902572,343007.572860281,0.768,0,0,0.232,0,0,101066.857132669,301.020980782242,100998.549902572
0.018,-1.52436176521035,101115.232078007,303658.361876334,-1.89582245103889,101000,311368.305859168,0.371460685828543,101121.353804747,303658.361876334,-1.52436176521035,101189.27709939,303658.361876334,0.768,0,0,0.232,0,0,1.89582245103889,101000,322740.760257323,0.768,0,0,0.232,0,0,-0.371460685828543,101121.353804747,343007.572860281,0.768,0,0,0.232,0,0,101189.27709939,301.145903909883,101121.353804747
