"Time","hbridge.vDC2","hbridge.vDC1","hbridge.iDC2","meanVoltage.y","meanCurrent.y","hbridge.iDC1"
0,99.999977,100,-0.99999982,0,0,1.0039998
9.9999997e-05,99.999977,100,-0.99999982,0,0,1.0039998
0.00019999999,99.999977,100,-0.99999982,0,0,1.0039998
0.00030000001,99.999977,100,-0.99999982,0,0,1.0039998
0.00039999999,99.999977,100,-0.99999982,0,0,1.0039998
0.00050000002,99.999977,100,-0.99999982,0,0,1.0039998
0.00060000003,99.999977,100,-0.99999982,0,0,1.0039998
0.00060000003,-99.999977,100,0.99999982,0,0,1.0039998
0.00069999998,-99.999977,100,0.99999982,0,0,1.0039998
0.00079999998,-99.999977,100,0.99999982,0,0,1.0039998
0.00089999998,-99.999977,100,0.99999982,0,0,1.0039998
0.001,-99.999977,100,0.99999982,0,0,1.0039998
0.001,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0011,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0012000001,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0013,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0014,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0015,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0016,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0016,-99.999977,100,0.99999982,19.999996,0.19999996,1.0039998
0.0017,-99.999977,100,0.99999982,19.999996,0.19999996,1.0039998
0.0018,-99.999977,100,0.99999982,19.999996,0.19999996,1.0039998
0.0019,-99.999977,100,0.99999982,19.999996,0.19999996,1.0039998
0.0020000001,-99.999977,100,0.99999982,19.999996,0.19999996,1.0039998
0.0020000001,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0020999999,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0022,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0023000001,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0024000001,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0024999999,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0026,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0026,-99.999977,100,0.99999982,19.999996,0.19999996,1.0039998
0.0027000001,-99.999977,100,0.99999982,19.999996,0.19999996,1.0039998
0.0027999999,-99.999977,100,0.99999982,19.999996,0.19999996,1.0039998
0.0029,-99.999977,100,0.99999982,19.999996,0.19999996,1.0039998
0.003,-99.999977,100,0.99999982,19.999996,0.19999996,1.0039998
0.003,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0031000001,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0031999999,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0033,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0034,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0035000001,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0035999999,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0035999999,-99.999977,100,0.99999982,19.999996,0.19999996,1.0039998
0.0037,-99.999977,100,0.99999982,19.999996,0.19999996,1.0039998
0.0038000001,-99.999977,100,0.99999982,19.999996,0.19999996,1.0039998
0.0038999999,-99.999977,100,0.99999982,19.999996,0.19999996,1.0039998
0.0040000002,-99.999977,100,0.99999982,19.999996,0.19999996,1.0039998
0.0040000002,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0041,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0041999999,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0043000001,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0044,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0044999998,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0046000001,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0046000001,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
0.0046000001,-99.999977,100,0.99999982,19.999996,0.19999996,1.0039998
0.0046999999,-99.999977,100,0.99999982,19.999996,0.19999996,1.0039998
0.0048000002,-99.999977,100,0.99999982,19.999996,0.19999996,1.0039998
0.0049000001,-99.999977,100,0.99999982,19.999996,0.19999996,1.0039998
0.0049999999,-99.999977,100,0.99999982,19.999996,0.19999996,1.0039998
0.0049999999,99.999977,100,-0.99999982,19.999996,0.19999996,1.0039998
