"time","eta[1]","eta[2]","eta[3]","rho[1]","rho[2]","rho[3]","input_mdot[1]","input_mdot[2]","input_mdot[3]","input_dp[1]","input_dp[2]","input_dp[3]","M_FLOW[1]","M_FLOW[2]","M_FLOW[3]","DP[1]","DP[2]","DP[3]","DP_plot[1]","DP_plot[2]","DP_plot[3]","input_DP.y"
0,0.001,0.0015,0.002,1000,1500,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000202,0.001,0.0015,0.002,1000,1500,2000,1.42126704035519,1.28425974532958,1.19513835935294,101,101,101,1.42126704035519,1.28425974532958,1.19513835935294,101,101,101,101,101,101,101
0.000404,0.001,0.0015,0.002,1000,1500,2000,2.00997512422418,1.81621754945491,1.69018087670925,202,202,202,2.00997512422418,1.81621754945491,1.69018087670925,202,202,202,202,202,202,202
0.000606,0.001,0.0015,0.002,1000,1500,2000,2.46170672501823,2.22440312902631,2.07004036047379,303,303,303,2.46170672501823,2.22440312902631,2.07004036047379,303,303,303,303,303,303,303
0.000808,0.001,0.0015,0.002,1000,1500,2000,2.84253408071038,2.56851949065917,2.39027671870587,404,404,404,2.84253408071038,2.56851949065917,2.39027671870587,404,404,404,404,404,404,404
0.00101,0.001,0.0015,0.002,1000,1500,2000,3.17804971641414,2.87169209132352,2.67241061403073,505,505,505,3.17804971641414,2.87169209132352,2.67241061403073,505,505,505,505,505,505,505
0.001212,0.001,0.0015,0.002,1000,1500,2000,3.48137903710584,3.14578107325415,2.92747915244173,606,606,606,3.48137903710584,3.14578107325415,2.92747915244173,606,606,606,606,606,606,606
0.001414,0.001,0.0015,0.002,1000,1500,2000,3.76031913539263,3.39783190495322,3.16203888116161,707,707,707,3.76031913539263,3.39783190495322,3.16203888116161,707,707,707,707,707,707,707
0.001616,0.001,0.0015,0.002,1000,1500,2000,4.01995024844836,3.63243509890983,3.3803617534185,808,808,808,4.01995024844836,3.63243509890983,3.3803617534185,808,808,808,808,808,808,808
0.001818,0.001,0.0015,0.002,1000,1500,2000,4.26380112106557,3.85277923598875,3.58541507805881,909,909,909,4.26380112106557,3.85277923598875,3.58541507805881,909,909,909,909,909,909,909
0.00202,0.001,0.0015,0.002,1000,1500,2000,4.49444101084885,4.06118590250927,3.77935933459208,1010,1010,1010,4.49444101084885,4.06118590250927,3.77935933459208,1010,1010,1010,1010,1010,1010,1010
0.002222,0.001,0.0015,0.002,1000,1500,2000,4.71380949975707,4.25940770861561,3.96382551053463,1111,1111,1111,4.71380949975707,4.25940770861561,3.96382551053463,1111,1111,1111,1111,1111,1111,1111
0.002424,0.001,0.0015,0.002,1000,1500,2000,4.92341345003647,4.44880625805261,4.14008072094759,1212,1212,1212,4.92341345003647,4.44880625805261,4.14008072094759,1212,1212,1212,1212,1212,1212,1212
0.002626,0.001,0.0015,0.002,1000,1500,2000,5.12445119012758,4.63046436280014,4.30913263592091,1313,1313,1313,5.12445119012758,4.63046436280014,4.30913263592091,1313,1313,1313,1313,1313,1313,1313
0.002828,0.001,0.0015,0.002,1000,1500,2000,5.31789432012333,4.80525996264886,4.4717982704898,1414,1414,1414,5.31789432012333,4.80525996264886,4.4717982704898,1414,1414,1414,1414,1414,1414,1414
0.00303,0.001,0.0015,0.002,1000,1500,2000,5.50454357780915,4.97391660586606,4.62875096218757,1515,1515,1515,5.50454357780915,4.97391660586606,4.62875096218757,1515,1515,1515,1515,1515,1515,1515
0.003232,0.001,0.0015,0.002,1000,1500,2000,5.68506816142076,5.13703898131833,4.78055343741174,1616,1616,1616,5.68506816142076,5.13703898131833,4.78055343741174,1616,1616,1616,1616,1616,1616,1616
0.003434,0.001,0.0015,0.002,1000,1500,2000,5.86003412959344,5.29513858072271,4.92768169283955,1717,1717,1717,5.86003412959344,5.29513858072271,4.92768169283955,1717,1717,1717,1717,1717,1717,1717
0.003636,0.001,0.0015,0.002,1000,1500,2000,6.02992537267253,5.44865264836474,5.07054263012775,1818,1818,1818,6.02992537267253,5.44865264836474,5.07054263012775,1818,1818,1818,1818,1818,1818,1818
0.003838,0.001,0.0015,0.002,1000,1500,2000,6.19515940069342,5.59795844714894,5.20948733196844,1919,1919,1919,6.19515940069342,5.59795844714894,5.20948733196844,1919,1919,1919,1919,1919,1919,1919
0.00404,0.001,0.0015,0.002,1000,1500,2000,6.35609943282828,5.74338418264703,5.34482122806147,2020,2020,2020,6.35609943282828,5.74338418264703,5.34482122806147,2020,2020,2020,2020,2020,2020,2020
0.004242,0.001,0.0015,0.002,1000,1500,2000,6.51306379517351,5.88521749495753,5.47681199768016,2121,2121,2121,6.51306379517351,5.88521749495753,5.47681199768016,2121,2121,2121,2121,2121,2121,2121
0.004444,0.001,0.0015,0.002,1000,1500,2000,6.66633332499958,6.0237121492007,5.60569579587853,2222,2222,2222,6.66633332499958,6.0237121492007,5.60569579587853,2222,2222,2222,2222,2222,2222,2222
0.004646,0.001,0.0015,0.002,1000,1500,2000,6.81615727518079,6.15909337077318,5.73168221850505,2323,2323,2323,6.81615727518079,6.15909337077318,5.73168221850505,2323,2323,2323,2323,2323,2323,2323
0.004848,0.001,0.0015,0.002,1000,1500,2000,6.96275807421168,6.2915621465083,5.85495830488346,2424,2424,2424,6.96275807421168,6.2915621465083,5.85495830488346,2424,2424,2424,2424,2424,2424,2424
0.00505,0.001,0.0015,0.002,1000,1500,2000,7.10633520177595,6.42129872664792,5.97569179676468,2525,2525,2525,7.10633520177595,6.42129872664792,5.97569179676468,2525,2525,2525,2525,2525,2525,2525
0.005252,0.001,0.0015,0.002,1000,1500,2000,7.24706837279738,6.54846550195725,6.09403381578388,2626,2626,2626,7.24706837279738,6.54846550195725,6.09403381578388,2626,2626,2626,2626,2626,2626,2626
0.005454,0.001,0.0015,0.002,1000,1500,2000,7.3851201750547,6.67320938707892,6.21012108142138,2727,2727,2727,7.3851201750547,6.67320938707892,6.21012108142138,2727,2727,2727,2727,2727,2727,2727
0.005656,0.001,0.0015,0.002,1000,1500,2000,7.52063827078527,6.79566380990645,6.32407776232322,2828,2828,2828,7.52063827078527,6.79566380990645,6.32407776232322,2828,2828,2828,2828,2828,2828,2828
0.005858,0.001,0.0015,0.002,1000,1500,2000,7.65375724726098,6.91595038376839,6.4360170324439,2929,2929,2929,7.65375724726098,6.91595038376839,6.4360170324439,2929,2929,2929,2929,2929,2929,2929
0.00606,0.001,0.0015,0.002,1000,1500,2000,7.78460018241143,7.03418032212853,6.54604238757318,3030,3030,3030,7.78460018241143,7.03418032212853,6.54604238757318,3030,3030,3030,3030,3030,3030,3030
0.006262,0.001,0.0015,0.002,1000,1500,2000,7.91327997735452,7.15045564266322,6.65424876585641,3131,3131,3131,7.91327997735452,7.15045564266322,6.65424876585641,3131,3131,3131,3131,3131,3131,3131
0.006464,0.001,0.0015,0.002,1000,1500,2000,8.03990049689671,7.26487019781966,6.760723506837,3232,3232,3232,8.03990049689671,7.26487019781966,6.760723506837,3232,3232,3232,3232,3232,3232,3232
0.006666,0.001,0.0015,0.002,1000,1500,2000,8.16455755078008,7.37751056147277,6.86554717658362,3333,3333,3333,8.16455755078008,7.37751056147277,6.86554717658362,3333,3333,3333,3333,3333,3333,3333
0.006868,0.001,0.0015,0.002,1000,1500,2000,8.28733974204027,7.48845679550308,6.9687942810713,3434,3434,3434,8.28733974204027,7.48845679550308,6.9687942810713,3434,3434,3434,3434,3434,3434,3434
0.00707,0.001,0.0015,0.002,1000,1500,2000,8.40832920383116,7.59778311559301,7.07053388577475,3535,3535,3535,8.40832920383116,7.59778311559301,7.07053388577475,3535,3535,3535,3535,3535,3535,3535
0.007272,0.001,0.0015,0.002,1000,1500,2000,8.52760224213114,7.7055584719775,7.17083015611761,3636,3636,3636,8.52760224213114,7.7055584719775,7.17083015611761,3636,3636,3636,3636,3636,3636,3636
0.007474,0.001,0.0015,0.002,1000,1500,2000,8.64522989862039,7.81184705806113,7.26974283079412,3737,3737,3737,8.64522989862039,7.81184705806113,7.26974283079412,3737,3737,3737,3737,3737,3737,3737
0.007676,0.001,0.0015,0.002,1000,1500,2000,8.7612784455238,7.91670875755906,7.3673276378806,3838,3838,3838,8.7612784455238,7.91670875755906,7.3673276378806,3838,3838,3838,3838,3838,3838,3838
0.007878,0.001,0.0015,0.002,1000,1500,2000,8.87580982220777,8.02019953900689,7.46363666196823,3939,3939,3939,8.87580982220777,8.02019953900689,7.46363666196823,3939,3939,3939,3939,3939,3939,3939
0.00808,0.001,0.0015,0.002,1000,1500,2000,8.98888202169769,8.12237180501855,7.55871866918415,4040,4040,4040,8.98888202169769,8.12237180501855,7.55871866918415,4040,4040,4040,4040,4040,4040,4040
0.008282,0.001,0.0015,0.002,1000,1500,2000,9.10054943396277,8.22327470247919,7.65261939585851,4141,4141,4141,9.10054943396277,8.22327470247919,7.65261939585851,4141,4141,4141,4141,4141,4141,4141
0.008484,0.001,0.0015,0.002,1000,1500,2000,9.21086315173556,8.32295439888435,7.74538180568697,4242,4242,4242,9.21086315173556,8.32295439888435,7.74538180568697,4242,4242,4242,4242,4242,4242,4242
0.008686,0.001,0.0015,0.002,1000,1500,2000,9.31987124374581,8.42145432923449,7.83704631949203,4343,4343,4343,9.31987124374581,8.42145432923449,7.83704631949203,4343,4343,4343,4343,4343,4343,4343
0.008888,0.001,0.0015,0.002,1000,1500,2000,9.42761899951414,8.51881541723122,7.92765102106925,4444,4444,4444,9.42761899951414,8.51881541723122,7.92765102106925,4444,4444,4444,4444,4444,4444,4444
0.00909,0.001,0.0015,0.002,1000,1500,2000,9.53414914924242,8.61507627397055,8.01723184209221,4545,4545,4545,9.53414914924242,8.61507627397055,8.01723184209221,4545,4545,4545,4545,4545,4545,4545
0.009292,0.001,0.0015,0.002,1000,1500,2000,9.63950206182871,8.71027337686966,8.10582272862255,4646,4646,4646,9.63950206182871,8.71027337686966,8.10582272862255,4646,4646,4646,4646,4646,4646,4646
0.009494,0.001,0.0015,0.002,1000,1500,2000,9.74371592360943,8.80444123117863,8.19345579141371,4747,4747,4747,9.74371592360943,8.80444123117863,8.19345579141371,4747,4747,4747,4747,4747,4747,4747
0.009696,0.001,0.0015,0.002,1000,1500,2000,9.84682690007294,8.89761251610522,8.28016144189518,4848,4848,4848,9.84682690007294,8.89761251610522,8.28016144189518,4848,4848,4848,4848,4848,4848,4848
0.009898,0.001,0.0015,0.002,1000,1500,2000,9.94886928248633,8.98981821730708,8.36596851547055,4949,4949,4949,9.94886928248633,8.98981821730708,8.36596851547055,4949,4949,4949,4949,4949,4949,4949
0.0101,0.001,0.0015,0.002,1000,1500,2000,10.0498756211209,9.08108774727457,8.45090438354625,5050,5050,5050,10.0498756211209,9.08108774727457,8.45090438354625,5050,5050,5050,5050,5050,5050,5050
0.010302,0.001,0.0015,0.002,1000,1500,2000,10.1498768465435,9.17144905492989,8.53499505552511,5151,5151,5151,10.1498768465435,9.17144905492989,8.53499505552511,5151,5151,5151,5151,5151,5151,5151
0.010504,0.001,0.0015,0.002,1000,1500,2000,10.2489023802552,9.26092872560027,8.61826527184183,5252,5252,5252,10.2489023802552,9.26092872560027,8.61826527184183,5252,5252,5252,5252,5252,5252,5252
0.010706,0.001,0.0015,0.002,1000,1500,2000,10.3469802357983,9.34955207237878,8.7007385889838,5353,5353,5353,10.3469802357983,9.34955207237878,8.7007385889838,5353,5353,5353,5353,5353,5353,5353
