"time","frac_KmToRs[1]","frac_KmToRs[2]","frac_KmToRs[3]","dp_nom[1]","dp_nom[2]","dp_nom[3]","p_2[1]","p_2[2]","p_2[3]","m_flow_nom[1]","m_flow_nom[2]","m_flow_nom[3]","Km[1]","Km[2]","Km[3]","input_mdot[1]","input_mdot[2]","input_mdot[3]","input_dp[1]","input_dp[2]","input_dp[3]","M_FLOW[1]","M_FLOW[2]","M_FLOW[3]","DP[1]","DP[2]","DP[3]","DP_plot[1]","DP_plot[2]","DP_plot[3]","input_DP.y"
0,5.94593951790322,23.7837580716129,35.6756371074193,500,2000,3000,109500,108000,107000,10,10,10,1706.48464163823,6825.9385665529,10238.9078498294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000202,5.94593951790322,23.7837580716129,35.6756371074193,500,2000,3000,109500,108000,107000,10,10,10,1706.48464163823,6825.9385665529,10238.9078498294,0.00338761810462299,0.0016938090523115,0.00138298929995677,0.00606,0.00606,0.00606,0.00338761810462299,0.0016938090523115,0.00138298929995677,0.00606,0.00606,0.00606,0.00606,0.00606,0.00606,0.00606
0.000404,5.94593951790322,23.7837580716129,35.6756371074193,500,2000,3000,109500,108000,107000,10,10,10,1706.48464163823,6825.9385665529,10238.9078498294,0.00677508692151083,0.00338754346075542,0.00276591765345087,0.01212,0.01212,0.01212,0.00677508692151083,0.00338754346075542,0.00276591765345087,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212
0.000606,5.94593951790322,23.7837580716129,35.6756371074193,500,2000,3000,109500,108000,107000,10,10,10,1706.48464163823,6825.9385665529,10238.9078498294,0.0101622571629284,0.00508112858146419,0.00414872411401966,0.01818,0.01818,0.01818,0.0101622571629284,0.00508112858146419,0.00414872411401966,0.01818,0.01818,0.01818,0.01818,0.01818,0.01818,0.01818
0.000808,5.94593951790322,23.7837580716129,35.6756371074193,500,2000,3000,109500,108000,107000,10,10,10,1706.48464163823,6825.9385665529,10238.9078498294,0.0135489795411405,0.00677448977057024,0.00553134773520045,0.02424,0.02424,0.02424,0.0135489795411405,0.00677448977057024,0.00553134773520045,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424
0.00101,5.94593951790322,23.7837580716129,35.6756371074193,500,2000,3000,109500,108000,107000,10,10,10,1706.48464163823,6825.9385665529,10238.9078498294,0.016935104768412,0.00846755238420599,0.0069137275705306,0.0303,0.0303,0.0303,0.016935104768412,0.00846755238420599,0.0069137275705306,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303
0.001212,5.94593951790322,23.7837580716129,35.6756371074193,500,2000,3000,109500,108000,107000,10,10,10,1706.48464163823,6825.9385665529,10238.9078498294,0.0203204835570077,0.0101602417785039,0.00829580267354744,0.03636,0.03636,0.03636,0.0203204835570077,0.0101602417785039,0.00829580267354744,0.03636,0.03636,0.03636,0.03636,0.03636,0.03636,0.03636
0.001414,5.94593951790322,23.7837580716129,35.6756371074193,500,2000,3000,109500,108000,107000,10,10,10,1706.48464163823,6825.9385665529,10238.9078498294,0.0237049666191926,0.0118524833095963,0.00967751209778831,0.04242,0.04242,0.04242,0.0237049666191926,0.0118524833095963,0.00967751209778831,0.04242,0.04242,0.04242,0.04242,0.04242,0.04242,0.04242
0.001616,5.94593951790322,23.7837580716129,35.6756371074193,500,2000,3000,109500,108000,107000,10,10,10,1706.48464163823,6825.9385665529,10238.9078498294,0.0270884046672314,0.0135442023336157,0.0110587948967906,0.04848,0.04848,0.04848,0.0270884046672314,0.0135442023336157,0.0110587948967906,0.04848,0.04848,0.04848,0.04848,0.04848,0.04848,0.04848
0.001818,5.94593951790322,23.7837580716129,35.6756371074193,500,2000,3000,109500,108000,107000,10,10,10,1706.48464163823,6825.9385665529,10238.9078498294,0.030470648413389,0.0152353242066945,0.0124395901240915,0.05454,0.05454,0.05454,0.030470648413389,0.0152353242066945,0.0124395901240915,0.05454,0.05454,0.05454,0.05454,0.05454,0.05454,0.05454
0.00202,5.94593951790322,23.7837580716129,35.6756371074193,500,2000,3000,109500,108000,107000,10,10,10,1706.48464163823,6825.9385665529,10238.9078498294,0.0338515485699303,0.0169257742849652,0.0138198368332285,0.0606,0.0606,0.0606,0.0338515485699303,0.0169257742849652,0.0138198368332285,0.0606,0.0606,0.0606,0.0606,0.0606,0.0606,0.0606
0.002222,5.94593951790322,23.7837580716129,35.6756371074193,500,2000,3000,109500,108000,107000,10,10,10,1706.48464163823,6825.9385665529,10238.9078498294,0.0372309558491201,0.0186154779245601,0.0151994740777389,0.06666,0.06666,0.06666,0.0372309558491201,0.0186154779245601,0.0151994740777389,0.06666,0.06666,0.06666,0.06666,0.06666,0.06666,0.06666
0.002424,5.94593951790322,23.7837580716129,35.6756371074193,500,2000,3000,109500,108000,107000,10,10,10,1706.48464163823,6825.9385665529,10238.9078498294,0.0406087209632233,0.0203043604816116,0.0165784409111599,0.07272,0.07272,0.07272,0.0406087209632233,0.0203043604816116,0.0165784409111599,0.07272,0.07272,0.07272,0.07272,0.07272,0.07272,0.07272
0.002626,5.94593951790322,23.7837580716129,35.6756371074193,500,2000,3000,109500,108000,107000,10,10,10,1706.48464163823,6825.9385665529,10238.9078498294,0.0439846946245047,0.0219923473122523,0.0179566763870291,0.07878,0.07878,0.07878,0.0439846946245047,0.0219923473122523,0.0179566763870291,0.07878,0.07878,0.07878,0.07878,0.07878,0.07878,0.07878
0.002828,5.94593951790322,23.7837580716129,35.6756371074193,500,2000,3000,109500,108000,107000,10,10,10,1706.48464163823,6825.9385665529,10238.9078498294,0.0473587275452291,0.0236793637726146,0.0193341195588836,0.08484,0.08484,0.08484,0.0473587275452291,0.0236793637726146,0.0193341195588836,0.08484,0.08484,0.08484,0.08484,0.08484,0.08484,0.08484
