"time","load.pin_p.reference.gamma","voltageSource.pin_p.reference.gamma","idealTransformer.v1.re","idealTransformer.v1.im","idealTransformer.i1.re","idealTransformer.i1.im","idealTransformer.v2.re","idealTransformer.v2.im","idealTransformer.i2.re","idealTransformer.i2.im"
0,0,0,964,-48,50,0,192.8,-9.6,-250,-0
0.0002,0.0628318530717959,0.0628318530717959,964.060346987531,-48.0452010230294,49.9999605215876,0.0628318365351163,192.812069397506,-9.60904020460587,-249.999802607938,-0.314159182675581
0.0004,0.125663706143592,0.125663706143592,964.120750728679,-48.0903261761283,49.9998420864127,0.125663573850186,192.824150145736,-9.61806523522567,-249.999210432064,-0.628317869250932
0.0006,0.188495559215388,0.188495559215388,964.181211128059,-48.1353753880381,49.9996446946624,0.188495112725321,192.836242225612,-9.62707507760762,-249.998223473312,-0.942475563626603
0.0008,0.251327412287183,0.251327412287183,964.241728090197,-48.1803485876198,49.9993683466483,0.251326353940943,192.848345618039,-9.63606971752397,-249.996841733241,-1.25663176970472
0.001,0.314159265358979,0.314159265358979,964.302301519526,-48.2252457038547,49.9990130428069,0.314157198277948,192.860460303905,-9.64504914077094,-249.995065214034,-1.57078599138974
0.0012,0.376991118430775,0.376991118430775,964.362931320394,-48.270066665844,49.9985787836992,0.376987546517855,192.872586264079,-9.65401333316881,-249.992893918496,-1.88493773258927
0.0014,0.439822971502571,0.439822971502571,964.423617397057,-48.3148114028094,49.9980655700109,0.439817299442968,192.884723479411,-9.66296228056188,-249.990327850055,-2.19908649721484
0.0016,0.502654824574367,0.502654824574367,964.484359653685,-48.3594798440928,49.9974734025526,0.502646357836533,192.896871930737,-9.67189596881856,-249.987367012763,-2.51323178918266
0.0018,0.565486677646163,0.565486677646163,964.545157994357,-48.4040719191566,49.9968022822593,0.565474622482889,192.909031598871,-9.68081438383132,-249.984011411296,-2.82737311241444
0.002,0.628318530717959,0.628318530717959,964.606012323064,-48.4485875575839,49.9960522101908,0.62830199416763,192.921202464613,-9.68971751151677,-249.980261050954,-3.14150997083815
0.0022,0.691150383789755,0.691150383789755,964.666922543708,-48.4930266890783,49.9952231875316,0.691128373677762,192.933384508742,-9.69860533781567,-249.976115937658,-3.45564186838881
0.0024,0.753982236861551,0.753982236861551,964.727888560104,-48.5373892434645,49.9943152155908,0.753953661801856,192.945577712021,-9.7074778486929,-249.971576077954,-3.76976830900928
0.0026,0.816814089933346,0.816814089933346,964.788910275979,-48.5816751506879,49.9933282958023,0.816777759330206,192.957782055196,-9.71633503013758,-249.966641479011,-4.08388879665103
0.0028,0.879645943005142,0.879645943005142,964.849987594971,-48.625884340815,49.9922624297244,0.879600567054986,192.969997518994,-9.72517686816301,-249.961312148622,-4.39800283527493
0.003,0.942477796076938,0.942477796076938,964.91112042063,-48.6700167440335,49.9911176190405,0.942421985770409,192.982224084126,-9.73400334880671,-249.955588095202,-4.71210992885204
