"time","medium.T","medium.p","medium2.T","medium2.X[1]","medium2.X[2]","medium2.p"
0.0228,222.8,100022.8,300,0.2,0.8,200022.8
0.023,223,100023,300,0.2,0.8,200023
0.0232,223.2,100023.2,300,0.2,0.8,200023.2
0.0234,223.4,100023.4,300,0.2,0.8,200023.4
0.0236,223.6,100023.6,300,0.2,0.8,200023.6
0.0238,223.8,100023.8,300,0.2,0.8,200023.8
0.024,224,100024,300,0.2,0.8,200024
0.0242,224.2,100024.2,300,0.2,0.8,200024.2
0.0244,224.4,100024.4,300,0.2,0.8,200024.4
0.0246,224.6,100024.6,300,0.2,0.8,200024.6
0.0248,224.8,100024.8,300,0.2,0.8,200024.8
0.025,225,100025,300,0.2,0.8,200025
0.0252,225.2,100025.2,300,0.2,0.8,200025.2
0.0254,225.4,100025.4,300,0.2,0.8,200025.4
0.0256,225.6,100025.6,300,0.2,0.8,200025.6
0.0258,225.8,100025.8,300,0.2,0.8,200025.8
0.026,226,100026,300,0.2,0.8,200026
0.0262,226.2,100026.2,300,0.2,0.8,200026.2
0.0264,226.4,100026.4,300,0.2,0.8,200026.4
0.0266,226.6,100026.6,300,0.2,0.8,200026.6
0.0268,226.8,100026.8,300,0.2,0.8,200026.8
0.027,227,100027,300,0.2,0.8,200027
0.0272,227.2,100027.2,300,0.2,0.8,200027.2
0.0274,227.4,100027.4,300,0.2,0.8,200027.4
0.0276,227.6,100027.6,300,0.2,0.8,200027.6
0.0278,227.8,100027.8,300,0.2,0.8,200027.8
0.028,228,100028,300,0.2,0.8,200028
0.0282,228.2,100028.2,300,0.2,0.8,200028.2
0.0284,228.4,100028.4,300,0.2,0.8,200028.4
0.0286,228.6,100028.6,300,0.2,0.8,200028.6
0.0288,228.8,100028.8,300,0.2,0.8,200028.8
0.029,229,100029,300,0.2,0.8,200029
0.0292,229.2,100029.2,300,0.2,0.8,200029.2
0.0294,229.4,100029.4,300,0.2,0.8,200029.4
0.0296,229.6,100029.6,300,0.2,0.8,200029.6
0.0298,229.8,100029.8,300,0.2,0.8,200029.8
0.03,230,100030,300,0.2,0.8,200030
0.0302,230.2,100030.2,300,0.2,0.8,200030.2
0.0304,230.4,100030.4,300,0.2,0.8,200030.4
0.0306,230.6,100030.6,300,0.2,0.8,200030.6
0.0308,230.8,100030.8,300,0.2,0.8,200030.8
0.031,231,100031,300,0.2,0.8,200031
0.0312,231.2,100031.2,300,0.2,0.8,200031.2
0.0314,231.4,100031.4,300,0.2,0.8,200031.4
0.0316,231.6,100031.6,300,0.2,0.8,200031.6
0.0318,231.8,100031.8,300,0.2,0.8,200031.8
0.032,232,100032,300,0.2,0.8,200032
0.0322,232.2,100032.2,300,0.2,0.8,200032.2
0.0324,232.4,100032.4,300,0.2,0.8,200032.4
0.0326,232.6,100032.6,300,0.2,0.8,200032.6
0.0328,232.8,100032.8,300,0.2,0.8,200032.8
0.033,233,100033,300,0.2,0.8,200033
0.0332,233.2,100033.2,300,0.2,0.8,200033.2
0.0334,233.4,100033.4,300,0.2,0.8,200033.4
0.0336,233.6,100033.6,300,0.2,0.8,200033.6
0.0338,233.8,100033.8,300,0.2,0.8,200033.8
0.034,234,100034,300,0.2,0.8,200034
