"Time","harmonic.y_arg","potentialSensor.phi[3]","potentialSensor.phi[1]","filter[1].x[1]","harmonic.mean1.x","toPolar.y[1]","toPolar.y[2]","filter[2].x[1]","harmonic.mean2.x","filter[2].x[2]","integrator.y","harmonic.y_rms","potentialSensor.phi[2]","filter[1].x[2]"
0.0096650636,0,-1.2247449,-1.2247449,0.131871,0.015538564,1.2925497,-0.00019660201,-0.0084207505,0.0010128805,-0.00025411788,0.12145477,0,-1.2247449,1.2925497
0.0099999998,0,-1.2247449,-1.2247449,0.13143963,0.014962859,1.2887523,-0.00021787507,-0.0083932057,0.00094138278,-0.000280787,0.12566371,0,-1.2247449,1.2887523
0.0099999998,0,-1.2247449,-1.2247449,0.13143963,0.014962859,1.2887523,-0.00021787507,-0.0083932057,0.00094138278,-0.000280787,0.12566371,0,-1.2247449,1.2887523
0.010195342,0,-1.2247449,-1.2247449,0.13118869,0.014627238,1.2865427,-0.0002302754,-0.0083771814,0.00089856528,-0.00029625912,0.12811844,0,-1.2247449,1.2865427
0.010195342,0,-1.2247449,1.2247449,0.13118869,0.014627238,1.2865427,-0.0002302754,-0.0083771814,0.00089856528,-0.00029625912,0.12811844,0,-1.2247449,1.2865427
0.0105,0,-1.2247449,1.2247449,0.13561684,0.015150465,1.2831111,-0.00025033308,-0.0089823781,0.00096698804,-0.00032120515,0.13194689,0,-1.2247449,1.283111
0.011,0,-1.2247449,1.2247449,0.14285034,0.016008593,1.2775297,-0.00028648842,-0.010011612,0.0010836215,-0.00036599746,0.13823007,0,-1.2247449,1.2775297
0.0115,0,-1.2247449,1.2247449,0.15004162,0.016865965,1.2720107,-0.00032683476,-0.011085362,0.0012056435,-0.00041573728,0.14451326,0,-1.2247449,1.2720106
0.012,0,-1.2247449,1.2247449,0.15719062,0.017722551,1.2665535,-0.00037154945,-0.012203407,0.0013330501,-0.00047058729,0.15079644,0,-1.2247449,1.2665535
0.0125,0,-1.2247449,1.2247449,0.16429719,0.018578315,1.2611578,-0.0004208489,-0.013365455,0.0014658355,-0.00053075684,0.15707964,0,-1.2247449,1.2611576
0.013,0,-1.2247449,1.2247449,0.17136125,0.01943323,1.2558229,-0.00047491028,-0.014571288,0.0016039952,-0.0005964032,0.16336282,0,-1.2247449,1.2558228
0.0135,0,-1.2247449,1.2247449,0.17838274,0.020287268,1.2505486,-0.00053391152,-0.015820684,0.0017475249,-0.00066768221,0.16964601,0,-1.2247449,1.2505484
0.014,0,-1.2247449,1.2247449,0.18536152,0.021140387,1.2453341,-0.00059806841,-0.017113354,0.0018964183,-0.00074479496,0.17592919,0,-1.2247449,1.2453339
0.014177992,0,-1.2247449,1.2247449,0.18783553,0.021443859,1.2434922,-0.00062218349,-0.017583929,0.0019507156,-0.00077368028,0.1781659,0,-1.2247449,1.243492
0.014177992,0,-1.2247449,1.2247449,0.18783553,0.021443859,1.2434922,-0.00062218349,-0.017583929,0.0019507156,-0.00077368028,0.1781659,0,1.2247449,1.243492
0.0145,0,-1.2247449,1.2247449,0.19056825,0.021992564,1.2401766,-0.00066143827,-0.013613048,0.0020506701,-0.00082030019,0.18221237,0,1.2247449,1.2401762
0.014804658,0,-1.2247449,1.2247449,0.19316038,0.022511326,1.2370569,-0.00068939955,-0.0098800315,0.0021472822,-0.0008528264,0.18604082,0,1.2247449,1.2370566
0.014804658,0,1.2247449,1.2247449,0.19316038,0.022511326,1.2370569,-0.00068939955,-0.0098800315,0.0021472822,-0.0008528264,0.18604082,0,1.2247449,1.2370566
0.015,0,1.2247449,1.2247449,0.19279161,0.022843752,1.2350637,-0.00070445141,-0.0098611694,0.0022102734,-0.00087004225,0.18849556,0,1.2247449,1.2350633
0.015195342,0,1.2247449,1.2247449,0.19242355,0.023176024,1.2330735,-0.0007194943,-0.0098423436,0.0022740802,-0.00088718924,0.1909503,0,1.2247449,1.2330732
0.015195342,0,-1.2247449,1.2247449,0.19242355,0.023176024,1.2330735,-0.0007194943,-0.0098423436,0.0022740802,-0.00088718924,0.1909503,0,1.2247449,1.2330732
0.0155,0,-1.2247449,1.2247449,0.19504231,0.023693921,1.2299806,-0.00073849718,-0.0061482955,0.0023752216,-0.00090833713,0.19477874,0,1.2247449,1.2299802
0.015822008,0,-1.2247449,1.2247449,0.19781695,0.024240889,1.22673,-0.00074892468,-0.0022691276,0.0024842774,-0.0009187283,0.19882523,0,1.2247449,1.2267296
0.015822008,0,-1.2247449,1.2247449,0.19781695,0.024240889,1.22673,-0.00074892468,-0.0022691276,0.0024842774,-0.0009187283,0.19882523,0,-1.2247449,1.2267296
0.016000001,0,-1.2247449,1.2247449,0.20025711,0.024543038,1.2249421,-0.00075233326,-0.0028294208,0.0025455083,-0.00092156458,0.20106193,0,-1.2247449,1.2249417
0.0165,0,-1.2247449,1.2247449,0.20708226,0.025391065,1.219959,-0.00076624088,-0.0044313869,0.0027211262,-0.00093478238,0.20734511,0,-1.2247449,1.2199587
0.017000001,0,-1.2247449,1.2247449,0.21386378,0.026237961,1.2150333,-0.00078673317,-0.0060744383,0.0029020668,-0.00095590693,0.21362831,0,-1.2247449,1.2150329
0.0175,0,-1.2247449,1.2247449,0.22060159,0.027083699,1.2101645,-0.00081399432,-0.0077583604,0.0030883239,-0.00098506699,0.21991149,0,-1.2247449,1.2101642
0.017999999,0,-1.2247449,1.2247449,0.22729559,0.027928252,1.2053523,-0.00084820896,-0.0094829388,0.0032798916,-0.0010223906,0.22619466,0,-1.2247449,1.2053518
0.0185,0,-1.2247449,1.2247449,0.23394571,0.028771585,1.2005962,-0.00088959216,-0.011247896,0.0034767622,-0.0010680407,0.23247786,0,-1.2247449,1.2005957
0.018999999,0,-1.2247449,1.2247449,0.24055184,0.029613661,1.1958956,-0.00093837443,-0.013052923,0.0036789267,-0.0011221976,0.23876104,0,-1.2247449,1.195895
0.0195,0,-1.2247449,1.2247449,0.24711393,0.030454459,1.1912501,-0.0009947099,-0.014897863,0.0038863805,-0.0011849481,0.24504423,0,-1.2247449,1.1912495
0.019804658,0,-1.2247449,1.2247449,0.25109068,0.030966129,1.1884464,-0.0010328324,-0.016041463,0.0040153749,-0.0012274657,0.24887267,0,-1.2247449,1.1884457
0.019804658,0,-1.2247449,-1.2247449,0.25109068,0.030966129,1.1884464,-0.0010328324,-0.016041463,0.0040153749,-0.0012274657,0.24887267,0,-1.2247449,1.1884457
0.02,0,-1.2247449,-1.2247449,0.25061131,0.030638313,1.1866565,-0.0010581985,-0.016010839,0.0039316351,-0.0012557178,0.25132743,0,-1.2247449,1.1866558
0.02,0,-1.2247449,-1.2247449,0.25061131,0.030638313,1.1866565,-0.0010581985,-0.016010839,0.0039316351,-0.0012557178,0.25132743,0,-1.2247449,1.1866558
0.020092094,0,-1.2247449,-1.2247449,0.25038564,0.030483836,1.1858134,-0.0010701503,-0.015996421,0.0038918767,-0.0012689983,0.25248471,0,-1.2247449,1.1858127
0.020092094,0,-1.2247449,1.2247449,0.25038564,0.030483836,1.1858134,-0.0010701503,-0.015996421,0.0038918767,-0.0012689983,0.25248471,0,-1.2247449,1.1858127
0.020500001,0,-1.2247449,1.2247449,0.25568134,0.031167494,1.1820989,-0.0011257821,-0.017573422,0.0040701241,-0.0013307856,0.25761059,0,-1.2247449,1.182098
0.021,0,-1.2247449,1.2247449,0.26213223,0.032004233,1.1775943,-0.0012014885,-0.019541791,0.0042933892,-0.0014148657,0.26389378,0,-1.2247449,1.1775935
0.021500001,0,-1.2247449,1.2247449,0.26853862,0.032839552,1.1731431,-0.0012856572,-0.021548837,0.0045219054,-0.0015082594,0.27017698,0,-1.2247449,1.1731421
0.022,0,-1.2247449,1.2247449,0.27490035,0.033673406,1.1687447,-0.001378505,-0.02359427,0.0047556637,-0.0016111198,0.27646014,0,-1.2247449,1.1687435
0.022500001,0,-1.2247449,1.2247449,0.28121737,0.034505777,1.1643987,-0.0014801999,-0.025677901,0.0049946569,-0.0017235421,0.28274333,0,-1.2247449,1.1643974
0.023,0,-1.2247449,1.2247449,0.28748959,0.035336632,1.1601046,-0.0015909459,-0.027799461,0.0052388762,-0.0018456628,0.28902653,0,-1.2247449,1.1601032
0.023499999,0,-1.2247449,1.2247449,0.29371697,0.036165938,1.155862,-0.0017109672,-0.029958636,0.0054883105,-0.0019776409,0.29530972,0,-1.2247449,1.1558603
0.023664458,0,-1.2247449,1.2247449,0.29575542,0.036438365,1.1544778,-0.0017524875,-0.030677034,0.005571492,-0.002023207,0.29737633,0,-1.2247449,1.154476
0.023664458,0,-1.2247449,1.2247449,0.29575542,0.036438365,1.1544778,-0.0017524875,-0.030677034,0.005571492,-0.002023207,0.29737633,0,1.2247449,1.154476
0.024,0,-1.2247449,1.2247449,0.29871011,0.036993675,1.1516688,-0.0018329705,-0.026937747,0.0057429555,-0.0021109737,0.30159289,0,1.2247449,1.1516668
0.024499999,0,-1.2247449,1.2247449,0.30312333,0.037819792,1.1475179,-0.0019334756,-0.021419218,0.0060027954,-0.0022186965,0.30787608,0,1.2247449,1.1475158
0.024907906,0,-1.2247449,1.2247449,0.30673268,0.038492523,1.1441625,-0.0019983025,-0.016964469,0.0062186164,-0.0022863813,0.31300199,0,1.2247449,1.1441602
0.024907906,0,1.2247449,1.2247449,0.30673268,0.038492523,1.1441625,-0.0019983025,-0.016964469,0.0062186164,-0.0022863813,0.31300199,0,1.2247449,1.1441602
0.025,0,1.2247449,1.2247449,0.30645648,0.038644258,1.1434083,-0.0020111746,-0.016949194,0.00626782,-0.0022995921,0.31415927,0,1.2247449,1.143406
0.025092093,0,1.2247449,1.2247449,0.30618054,0.038795933,1.1426545,-0.0020240401,-0.016933931,0.0063171992,-0.0023127771,0.31531656,0,1.2247449,1.1426522
0.025092093,0,-1.2247449,1.2247449,0.30618054,0.038795933,1.1426545,-0.0020240401,-0.016933931,0.0063171992,-0.0023127771,0.31531656,0,1.2247449,1.1426522
0.0255,0,-1.2247449,1.2247449,0.30981016,0.039467048,1.1393307,-0.0020733522,-0.012533026,0.0065380218,-0.0023622322,0.32044244,0,1.2247449,1.1393282
0.026000001,0,-1.2247449,1.2247449,0.31426969,0.040288121,1.1352942,-0.0021130249,-0.0071963882,0.006813386,-0.0023989032,0.32672563,0,1.2247449,1.1352917
0.026335543,0,-1.2247449,1.2247449,0.31726876,0.040838152,1.1326085,-0.0021268502,-0.0036507444,0.0070010694,-0.0024088868,0.33094218,0,1.2247449,1.132606
0.026335543,0,-1.2247449,1.2247449,0.31726876,0.040838152,1.1326085,-0.0021268502,-0.0036507444,0.0070010694,-0.0024088868,0.33094218,0,-1.2247449,1.132606
0.0265,0,-1.2247449,1.2247449,0.31924045,0.041107446,1.1312995,-0.0021316793,-0.0045004054,0.0070939045,-0.002411566,0.33300883,0,-1.2247449,1.131297
0.027000001,0,-1.2247449,1.2247449,0.32520464,0.041924998,1.1273519,-0.0021538255,-0.0071066734,0.0073795659,-0.0024281172,0.33929202,0,-1.2247449,1.1273493
0.0275,0,-1.2247449,1.2247449,0.33112305,0.042740725,1.1234523,-0.0021873927,-0.0097473264,0.0076703546,-0.0024574294,0.34557518,0,-1.2247449,1.1234496
