"time","SourceP1.ports[1].m_flow","SourceP1.ports[1].p","SourceP1.ports[1].h_outflow","V1.port_b.m_flow","V1.port_b.p","V1.port_b.h_outflow","SinkP1.ports[1].m_flow","SinkP1.ports[1].p","SinkP1.ports[1].h_outflow","Opening.y","downstreamPressure.y"
0,-0,200000,105020.677377917,-0,100000,105020.677377917,0,100000,84011.8111671368,0,100000
0.0006,-0,200000,105020.677377917,-0,100000,105020.677377917,0,100000,84011.8111671368,0,100000
0.0012,-0,200000,105020.677377917,-0,100000,105020.677377917,0,100000,84011.8111671368,0,100000
0.0018,-0,200000,105020.677377917,-0,100000,105020.677377917,0,100000,84011.8111671368,0,100000
0.0024,-0,200000,105020.677377917,-0,100000,105020.677377917,0,100000,84011.8111671368,0,100000
0.003,-0,200000,105020.677377917,-0,100000,105020.677377917,0,100000,84011.8111671368,0,100000
0.0036,-0,200000,105020.677377917,-0,100000,105020.677377917,0,100000,84011.8111671368,0,100000
0.0042,-0,200000,105020.677377917,-0,100000,105020.677377917,0,100000,84011.8111671368,0,100000
0.0048,-0,200000,105020.677377917,-0,100000,105020.677377917,0,100000,84011.8111671368,0,100000
0.0054,-0,200000,105020.677377917,-0,100000,105020.677377917,0,100000,84011.8111671368,0,100000
0.006,-0,200000,105020.677377917,-0,100000,105020.677377917,0,100000,84011.8111671368,0,100000
0.0066,-0,200000,105020.677377917,-0,100000,105020.677377917,0,100000,84011.8111671368,0,100000
0.0072,-0,200000,105020.677377917,-0,100000,105020.677377917,0,100000,84011.8111671368,0,100000
0.0078,-0,200000,105020.677377917,-0,100000,105020.677377917,0,100000,84011.8111671368,0,100000
0.0084,-0,200000,105020.677377917,-0,100000,105020.677377917,0,100000,84011.8111671368,0,100000
0.009,-0,200000,105020.677377917,-0,100000,105020.677377917,0,100000,84011.8111671368,0,100000
0.0096,-0,200000,105020.677377917,-0,100000,105020.677377917,0,100000,84011.8111671368,0,100000
0.0102,-0,200000,105020.677377917,-0,100000,105020.677377917,0,100000,84011.8111671368,0,100000
