"time","damper.s_rel","elastoGap.s_rel","elastoGap.v_rel","position.s","position.v","position1.s","position1.v","position2.s","position2.v","relativeStates.s_rel","relativeStates.v_rel","slidingMass.s","slidingMass.v","springDamper.s_rel","springDamper.v_rel"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00022,-6.31701437283062e-17,-6.31704427240038e-16,-1.11734108894433e-11,1.71618685864221e-06,0.0230799381668248,3.44899442982111e-09,4.66858927653e-05,1.11740426536686e-11,1.52054806554934e-07,-1.11733477192985e-11,-1.5204251454587e-07,1.11734109193418e-11,1.52043632512343e-07,-1.11727792149146e-11,-1.52032459101454e-07
0.00044,-9.88126161676841e-16,-9.88135044731598e-15,-8.92163993629551e-11,1.32013179469285e-05,0.0877580567272683,2.70828222029746e-08,0.000182567646533983,8.92262824899521e-11,6.0821369009372e-07,-8.92154112367323e-11,-6.0811553239071e-07,8.92164002511994e-11,6.08124463813095e-07,-8.9206518900752e-11,-6.08035247413732e-07
0.00066,-4.97574880624012e-15,-4.97581499099705e-14,-3.01036776164229e-10,4.29076871707981e-05,0.187689364723407,8.98757693760792e-08,0.000401684591654217,3.01086547550422e-10,1.36847753588844e-06,-3.01031800414755e-10,-1.36814629641726e-06,3.01036782782037e-10,1.36817644935479e-06,-3.00987024632127e-10,-1.36787541257862e-06
0.00088,-1.57061126449405e-14,-1.57063899155148e-13,-7.13499629092586e-10,9.79508852467479e-05,0.317178677756158,2.09519004289138e-07,0.000698478426885941,7.13656748442156e-10,2.43284488992811e-06,-7.13483922976251e-10,-2.43205972778446e-06,7.13499656815948e-10,2.43213123323789e-06,-7.13342592916793e-10,-2.43141773360879e-06
0.0011,-3.83305231508169e-14,-3.83313675688528e-13,-1.39345558481448e-09,0.000184259633655783,0.471123539109571,4.02522134261011e-07,0.00106776186640619,1.39383906735975e-09,3.80131371593246e-06,-1.39341725427735e-09,-3.79978015201175e-06,1.39345566924228e-09,3.79991987704241e-06,-1.39307235556659e-09,-3.7985264214576e-06
0.00132,-7.94680353038818e-14,-7.94701347080246e-13,-2.40774036011154e-09,0.000306703821494346,0.644965666148744,6.84294742877956e-07,0.0015046930253705,2.40853548129764e-09,5.47388139935023e-06,-2.40766089203459e-09,-5.4712313035402e-06,2.40774057001023e-09,5.47147286430976e-06,-2.40694586866315e-09,-5.46906512394965e-06
0.00154,-1.47208096005262e-13,-1.47212631903947e-12,-3.82317408130099e-09,0.000469205933816817,0.834648186468195,1.06921674977852e-06,0.0020047533144926,3.82464711469438e-09,7.45054474340569e-06,-3.82302687310006e-09,-7.44633632247516e-06,3.8231745347857e-09,7.44672009724343e-06,-3.82170240846666e-09,-7.44289692316213e-06
0.00176,-2.51111992230159e-13,-2.5112083368096e-12,-5.7065624448026e-09,0.000674845186283239,1.03657473805366,1.57070573356751e-06,0.00256372629120869,5.70907542119477e-09,9.73129997317781e-06,-5.70631133257675e-09,-9.72501775735991e-06,5.70656332871347e-09,9.72559089961309e-06,-5.70405212037666e-09,-9.71988433716829e-06
0.00198,-4.02207297998753e-13,-4.02223228476232e-12,-8.12469384535648e-09,0.000925960268492571,1.24756754204237,2.20128592558872e-06,0.00317767598226427,8.12871926326068e-09,1.23161427280238e-05,-8.1242916375851e-09,-1.23071975608687e-05,8.12469543792951e-09,1.23080140121054e-05,-8.12067320564475e-09,-1.22998893182601e-05
