"time","booleanTable.y","onDelay1.delaySignal","onDelay1.t_next","onDelay1.u","onDelay2.delaySignal","onDelay2.t_next","onDelay2.u","onDelay3.delaySignal","onDelay3.t_next","onDelay3.u"
0.2442,0,0,-1,0,0,-1,0,1,-1,1
0.2464,0,0,-1,0,0,-1,0,1,-1,1
0.2486,0,0,-1,0,0,-1,0,1,-1,1
0.2508,0,0,-1,0,0,-1,0,1,-1,1
0.253,0,0,-1,0,0,-1,0,1,-1,1
0.2552,0,0,-1,0,0,-1,0,1,-1,1
0.2574,0,0,-1,0,0,-1,0,1,-1,1
0.2596,0,0,-1,0,0,-1,0,1,-1,1
0.2618,0,0,-1,0,0,-1,0,1,-1,1
0.264,0,0,-1,0,0,-1,0,1,-1,1
0.2662,0,0,-1,0,0,-1,0,1,-1,1
0.2684,0,0,-1,0,0,-1,0,1,-1,1
0.2706,0,0,-1,0,0,-1,0,1,-1,1
0.2728,0,0,-1,0,0,-1,0,1,-1,1
0.275,0,0,-1,0,0,-1,0,1,-1,1
0.2772,0,0,-1,0,0,-1,0,1,-1,1
0.2794,0,0,-1,0,0,-1,0,1,-1,1
0.2816,0,0,-1,0,0,-1,0,1,-1,1
0.2838,0,0,-1,0,0,-1,0,1,-1,1
0.286,0,0,-1,0,0,-1,0,1,-1,1
0.2882,0,0,-1,0,0,-1,0,1,-1,1
0.2904,0,0,-1,0,0,-1,0,1,-1,1
0.2926,0,0,-1,0,0,-1,0,1,-1,1
0.2948,0,0,-1,0,0,-1,0,1,-1,1
0.297,0,0,-1,0,0,-1,0,1,-1,1
0.2992,0,0,-1,0,0,-1,0,1,-1,1
0.3014,0,0,-1,0,0,-1,0,1,-1,1
0.3036,0,0,-1,0,0,-1,0,1,-1,1
0.3058,0,0,-1,0,0,-1,0,1,-1,1
0.308,0,0,-1,0,0,-1,0,1,-1,1
0.3102,0,0,-1,0,0,-1,0,1,-1,1
0.3124,0,0,-1,0,0,-1,0,1,-1,1
0.3146,0,0,-1,0,0,-1,0,1,-1,1
0.3168,0,0,-1,0,0,-1,0,1,-1,1
0.319,0,0,-1,0,0,-1,0,1,-1,1
0.3212,0,0,-1,0,0,-1,0,1,-1,1
0.3234,0,0,-1,0,0,-1,0,1,-1,1
0.3256,0,0,-1,0,0,-1,0,1,-1,1
0.3278,0,0,-1,0,0,-1,0,1,-1,1
0.33,0,0,-1,0,0,-1,0,1,-1,1
0.3322,0,0,-1,0,0,-1,0,1,-1,1
0.3344,0,0,-1,0,0,-1,0,1,-1,1
0.3366,0,0,-1,0,0,-1,0,1,-1,1
0.3388,0,0,-1,0,0,-1,0,1,-1,1
0.341,0,0,-1,0,0,-1,0,1,-1,1
0.3432,0,0,-1,0,0,-1,0,1,-1,1
0.3454,0,0,-1,0,0,-1,0,1,-1,1
0.3476,0,0,-1,0,0,-1,0,1,-1,1
0.3498,0,0,-1,0,0,-1,0,1,-1,1
0.352,0,0,-1,0,0,-1,0,1,-1,1
0.3542,0,0,-1,0,0,-1,0,1,-1,1
0.3564,0,0,-1,0,0,-1,0,1,-1,1
0.3586,0,0,-1,0,0,-1,0,1,-1,1
0.3608,0,0,-1,0,0,-1,0,1,-1,1
0.363,0,0,-1,0,0,-1,0,1,-1,1
0.3652,0,0,-1,0,0,-1,0,1,-1,1
0.3674,0,0,-1,0,0,-1,0,1,-1,1
0.3696,0,0,-1,0,0,-1,0,1,-1,1
0.3718,0,0,-1,0,0,-1,0,1,-1,1
0.374,0,0,-1,0,0,-1,0,1,-1,1
0.3762,0,0,-1,0,0,-1,0,1,-1,1
0.3784,0,0,-1,0,0,-1,0,1,-1,1
0.3806,0,0,-1,0,0,-1,0,1,-1,1
