"time","MIN","A_cross","roughness","d_hyd","K[1]","L","eta","rho","input_mdot[1]","input_dp[1]","M_FLOW[1]","DP[1]","velocity[1]","Re[1]","DP_plot[1]","zeta_TOT[1]","lambda_FRI[1]","input_DP.y"
0,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0,0,0,0,0,0,0,0,0,0
0.0001,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.0100629139685298,0.0041,0.0100629139685298,0.0041,0.00128125,128.125,0.0041,4.99512195121951,0.499512195121951,0.0041
0.0002,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.0201258279370596,0.0082,0.0201258279370596,0.0082,0.0025625,256.25,0.0082,2.49756097560975,0.249756097560975,0.0082
0.0003,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.0301887419055894,0.0123,0.0301887419055894,0.0123,0.00384375,384.375,0.0123,1.6650406504065,0.16650406504065,0.0123
0.0004,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.0402516558741192,0.0164,0.0402516558741192,0.0164,0.005125,512.5,0.0164,1.24878048780488,0.124878048780488,0.0164
0.0005,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.050314569842649,0.0205,0.050314569842649,0.0205,0.00640625,640.625,0.0205,0.999024390243902,0.0999024390243902,0.0205
0.0006,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.0603774838111789,0.0246,0.0603774838111789,0.0246,0.0076875,768.75,0.0246,0.832520325203252,0.0832520325203252,0.0246
0.0007,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.0704403977797087,0.0287,0.0704403977797087,0.0287,0.00896875,896.875,0.0287,0.713588850174215,0.0713588850174215,0.0287
0.0008,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.0805033117482385,0.0328,0.0805033117482385,0.0328,0.01025,1025,0.0328,0.624390243902438,0.0624390243902438,0.0328
0.0009,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.0905662257167683,0.0369,0.0905662257167683,0.0369,0.01153125,1153.125,0.0369,0.555013550135501,0.0555013550135501,0.0369
0.001,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.100629139685298,0.041,0.100629139685298,0.041,0.0128125,1281.25,0.041,0.499512195121951,0.0499512195121951,0.041
0.0011,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.110692053653828,0.0451,0.110692053653828,0.0451,0.01409375,1409.375,0.0451,0.45410199556541,0.045410199556541,0.0451
0.0012,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.120754967622358,0.0492,0.120754967622358,0.0492,0.015375,1537.5,0.0492,0.416260162601626,0.0416260162601626,0.0492
0.0013,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.130817881590888,0.0533,0.130817881590888,0.0533,0.01665625,1665.625,0.0533,0.384240150093808,0.0384240150093808,0.0533
0.0014,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.140880795559417,0.0574,0.140880795559417,0.0574,0.0179375,1793.75,0.0574,0.356794425087108,0.0356794425087108,0.0574
0.0015,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.150943709527947,0.0615,0.150943709527947,0.0615,0.01921875,1921.875,0.0615,0.333008130081301,0.0333008130081301,0.0615
0.0016,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.161006623496477,0.0656,0.161006623496477,0.0656,0.0205,2050,0.0656,0.312195121951219,0.0312195121951219,0.0656
0.0017,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.171069537465007,0.0697,0.171069537465007,0.0697,0.02178125,2178.125,0.0697,0.293830703012912,0.0293830703012912,0.0697
0.0018,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.181132451433537,0.0738,0.181132451433537,0.0738,0.0230625,2306.25,0.0738,0.277506775067751,0.0277506775067751,0.0738
0.0019,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.191195365402066,0.0779,0.191195365402066,0.0779,0.02434375,2434.375,0.0779,0.262901155327343,0.0262901155327343,0.0779
0.002,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.201258279370596,0.082,0.201258279370596,0.082,0.025625,2562.5,0.082,0.249756097560975,0.0249756097560976,0.082
0.0021,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.211321193339126,0.0861,0.211321193339126,0.0861,0.02690625,2690.625,0.0861,0.237862950058072,0.0237862950058072,0.0861
0.0022,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.221384107307656,0.0902,0.221384107307656,0.0902,0.0281875,2818.75,0.0902,0.227050997782705,0.0227050997782705,0.0902
0.0023,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.231447021276186,0.0943,0.231447021276186,0.0943,0.02946875,2946.875,0.0943,0.217179215270413,0.0217179215270413,0.0943
0.0024,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.241509935244715,0.0984,0.241509935244715,0.0984,0.03075,3075,0.0984,0.208130081300813,0.0208130081300813,0.0984
0.0025,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.251572849213245,0.1025,0.251572849213245,0.1025,0.03203125,3203.125,0.1025,0.19980487804878,0.019980487804878,0.1025
0.0026,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.261635763181775,0.1066,0.261635763181775,0.1066,0.0333125,3331.25,0.1066,0.192120075046904,0.0192120075046904,0.1066
0.0027,1e-15,0.00785398163397448,2,0.1,0,1,0.001,1000,0.271698677150305,0.1107,0.271698677150305,0.1107,0.03459375,3459.375,0.1107,0.185004516711834,0.0185004516711834,0.1107
