"time","Re","m_flow[1]","m_flow[2]","m_flow[3]","m_flow[4]","Nu[1]","Nu[2]","Nu[3]","Nu[4]","input_Re.y"
0,0,-3.6868008645996e-11,0,0,0,0.001,0.001,nan,0.001,0
0.000202,2.02,0.0028872683641437,0.00198366043643449,0.00200968351560669,0.00200074909496542,0.481056310585801,0.001,3.51320394447327e+20,0.0981552519485185,2.02
0.000404,4.04,0.00577453672828741,0.00396732087286898,0.00401936703121338,0.00400149818993083,0.709359901427857,0.001,55131570991.3251,0.195956350056656,4.04
0.000606,6.06,0.00866180509243111,0.00595098130930347,0.00602905054682006,0.00600224728489625,0.890292429977907,0.0975151169454672,14319608.5010752,0.293403294324411,6.06
0.000808,8.08,0.0115490734565748,0.00793464174573796,0.00803873406242675,0.00800299637986166,1.04601365511863,3.59240942915407,235818.589084503,0.390496084751785,8.08
0.00101,10.1,0.0144363418207185,0.00991830218217245,0.0100484175780334,0.0100037454748271,1.18532432566949,56.7096476477468,20895.740452946,0.487234721338778,10.1
0.001212,12.12,0.0173236101848622,0.0119019626186069,0.0120581010936401,0.0120044945697925,1.3128146050138,730.519366457843,4284.15761435318,0.58361920408539,12.12
0.001414,14.14,0.0202108785490059,0.0138856230550414,0.0140677846092468,0.0140052436647579,1.4312466697907,11774.7225263262,1413.21196577728,0.67964953299162,14.14
0.001616,16.16,0.0230981469131496,0.0158692834914759,0.0160774681248535,0.0160059927597233,1.54243926741879,393575.359668424,625.68780991206,0.775325708057468,16.16
0.001818,18.18,0.0259854152772933,0.0178529439279104,0.0180871516404602,0.0180067418546887,1.64766700578309,70605612.8485132,336.355831488927,0.870647729282935,18.18
0.00202,20.2,0.028872683641437,0.0198366043643449,0.0200968351560669,0.0200074909496542,1.74786512163835,896065782363.964,206.817430625077,0.965615596668021,20.2
0.002222,22.22,0.0317599520055808,0.0218202648007794,0.0221065186716736,0.0220082400446196,1.84374448550437,7.46820802061009e+22,140.065042968989,1.06022931021273,22.22
0.002424,24.24,0.0346472203697245,0.0238039252372139,0.0241162021872803,0.024008989139585,1.9358607678831,3.05855540070362e+182,101.901489441649,1.15448886991705,24.24
0.002626,26.26,0.0375344887338682,0.0257875856736484,0.0261258857028869,0.0260097382345504,2.02465832610794,0.001,78.2867922526035,1.24839427578099,26.26
