"time","Nu","m_flow[1]","m_flow[2]","m_flow[3]","m_flow[4]","kc_1","kc_4","Re_1","Re_4","input_Nu.y"
0,5,0.188427438227727,1,1,0.113284996507139,17.0811170212766,12.4708737864078,131.828211726655,114.375007601028,5
0.000202,5.202,0.202228304070932,1,1,0.11847840598252,17.7711941489362,12.9746970873786,141.483617974817,119.618387276505,5.202
0.000404,5.404,0.216456243813886,1,1,0.123734276455546,18.4612712765957,13.4785203883495,151.437815041389,124.924828939894,5.404
0.000606,5.606,0.231107768169819,1,1,0.129054917297115,19.1513484042553,13.9823436893204,161.688361740315,130.296664182511,5.606
0.000808,5.808,0.246179542947964,1,1,0.134442783793411,19.8414255319149,14.4861669902913,172.232925394301,135.736371914933,5.808
0.00101,6.01,0.261668376926888,1,1,0.139900490389012,20.5315026595745,14.9899902912621,183.069273350721,141.246591737525,6.01
0.001212,6.212,0.277571211057437,1,1,0.145430825516597,21.221579787234,15.493813592233,194.195265427747,146.830138912848,6.212
0.001414,6.414,0.293885108810428,1,1,0.151036768251997,21.9116569148936,15.9976368932039,205.608847161364,152.490021180946,6.414
0.001616,6.616,0.310607247515008,1,1,0.156721507076897,22.6017340425532,16.5014601941748,217.308043745492,158.229457702593,6.616
0.001818,6.818,0.32773491055848,1,1,0.162488461084678,23.2918111702128,17.0052834951456,229.290954574799,164.051900469171,6.818
0.00202,7.02,0.345265480338611,1,1,0.168341304029845,23.9818882978723,17.5091067961165,241.555748313973,169.961058583492,7.02
0.002222,7.222,0.363196431876013,1,1,0.17428399170144,24.6719654255319,18.0129300970874,254.100658428796,175.960925896605,7.222
0.002424,7.424,0.38152532700782,1,1,0.180320793199852,25.3620425531915,18.5167533980582,266.923979123902,182.055812585535,7.424
0.002626,7.626,0.400249809095209,1,1,0.186456326819662,26.0521196808511,19.0205766990291,280.024061640043,188.250381381394,7.626
0.002828,7.828,0.419367598186744,1,1,0.192695601395767,26.7421968085106,19.5244,293.399310870245,194.549689313331,7.828
0.00303,8.03,0.438876486587393,1,1,0.199044064165187,27.4322739361702,20.0282233009709,307.048182259794,200.959236030857,8.03
0.003232,8.232,0.45877433478975,1,1,0.205507656445288,28.1223510638298,20.5320466019417,320.969178959622,207.485020017793,8.232
0.003434,8.434,0.479059067729597,1,1,0.212092878747644,28.8124281914894,21.0358699029126,335.16084920661,214.133604332654,8.434
0.003636,8.636,0.499728671332727,1,1,0.218806867358791,29.5025053191489,21.5396932038835,349.621783907672,220.912193926244,8.636
0.003838,8.838,0.520781189324027,1,1,0.22565748495704,30.1925824468085,22.0435165048544,364.350614407306,227.828727130375,8.838
0.00404,9.04,0.542214720273302,1,1,0.232653428543887,30.8826595744681,22.5473398058252,379.346010420788,234.891984627775,9.04
0.004242,9.242,0.564027414855327,1,1,0.239804358913935,31.5727367021277,23.0511631067961,394.606678117246,242.111720167751,9.242
0.004444,9.444,0.586217473304227,1,1,0.247121057161897,32.2628138297872,23.554986407767,410.131358338674,249.498818579079,9.444
0.004646,9.646,0.608783143044474,1,1,0.25461561546547,32.9528909574468,24.0588097087379,425.918824942533,257.065488388557,9.646
0.004848,9.848,0.631722716482798,1,1,0.262301671791315,33.6429680851064,24.5626330097087,441.967883256916,264.825498785301,9.848
0.00505,10.05,0.655034528946965,1,1,0.270194701554674,34.333045212766,25.0664563106796,458.277368638467,272.794474086655,10.05
0.005252,10.252,0.678716956758878,1,1,0.278312384094134,35.0231223404255,25.5702796116505,474.846145124283,280.990263739126,10.252
0.005454,10.454,0.702768415430758,1,1,0.286675068846739,35.7131994680851,26.0741029126214,491.673104169916,289.433412978964,10.454
0.005656,10.656,0.727187357974276,1,1,0.295306376525976,36.4032765957447,26.5779262135922,508.757163466405,298.147769794584,10.656
0.005858,10.858,0.751972273313574,1,1,0.304233986403901,37.0933537234043,27.0817495145631,526.097265829986,307.161279783811,10.858
0.00606,11.06,0.77712168479393,1,1,0.313490685364581,37.7834308510638,27.585572815534,543.692378158723,316.50704530115,11.06
0.006262,11.262,0.80263414877867,1,1,0.323115793688165,38.4735079787234,28.0893961165049,561.541490450874,326.224764960534,11.262
0.006464,11.464,0.828508253327598,1,1,0.333157147427564,39.163585106383,28.5932194174757,579.643614880286,336.362735086137,11.464
0.006666,11.666,0.854742616950838,1,1,0.343673928494873,39.8536622340426,29.0970427184466,597.99778492456,346.980707029455,11.666
0.006868,11.868,0.881335887432552,1,1,0.354740832705739,40.5437393617021,29.6008660194175,616.603054542091,358.154095317973,11.868
