"time","pipe1.mediums[1].h","pipe1.mediums[1].p","pipe3.mediums[1].h","pipe3.mediums[1].p","valveIncompressible1.filter.x[1]","valveIncompressible1.filter.x[2]","valveOpening1.a","valveOpening1.b","valveOpening1.last","valveOpening1.nextEvent"
0,84385.8376489031,497500,84381.1337746141,492500,1,1,0,1,2,1
0.001,84210.3521700152,304237.861186004,83994.2458588982,106111.152705635,1,1,0,1,2,1
0.002,84230.1286123454,304153.111815408,83994.3990780002,106108.416227013,1,1,0,1,2,1
0.003,84249.9727514375,304152.356480185,83994.5720229247,106108.445438117,1,1,0,1,2,1
0.004,84269.7972863626,304151.591039163,83994.7644869724,106108.474247886,1,1,0,1,2,1
0.005,84289.6065860362,304150.825051943,83994.9721150291,106108.502986366,1,1,0,1,2,1
0.006,84309.3855987235,304150.0602107,83995.2098227462,106108.531656697,1,1,0,1,2,1
0.007,84329.1510774555,304149.295881545,83995.4609717735,106108.560296576,1,1,0,1,2,1
0.008,84348.9165561876,304148.53155239,83995.7121208007,106108.588936455,1,1,0,1,2,1
0.009,84368.6418109252,304147.768859907,83996.0030383464,106108.617489845,1,1,0,1,2,1
0.01,84388.3200324825,304147.008081155,83996.3404564924,106108.645942105,1,1,0,1,2,1
0.011,84407.9982540399,304146.247302403,83996.6778746383,106108.674394366,1,1,0,1,2,1
0.012,84427.6764755972,304145.486523651,83997.0152927843,106108.702846626,1,1,0,1,2,1
0.013,84447.3546971546,304144.7257449,83997.3527109303,106108.731298887,1,1,0,1,2,1
0.014,84467.0329187119,304143.964966148,83997.6901290762,106108.759751148,1,1,0,1,2,1
0.015,84486.7110846906,304143.204189699,83998.0276019222,106108.788203282,1,1,0,1,2,1
0.016,84506.3024311202,304142.447011711,83998.45052183,106108.816457861,1,1,0,1,2,1
0.017,84525.8937775498,304141.689833723,83998.8734417377,106108.844712441,1,1,0,1,2,1
0.018,84545.4851239794,304140.932655735,83999.2963616454,106108.872967021,1,1,0,1,2,1
0.019,84565.076470409,304140.175477747,83999.7192815532,106108.901221601,1,1,0,1,2,1
0.02,84584.6678168386,304139.418299759,84000.1422014609,106108.92947618,1,1,0,1,2,1
0.021,84604.2591632682,304138.661121771,84000.5651213686,106108.95773076,1,1,0,1,2,1
0.022,84623.8037767839,304137.90588006,84001.0338258006,106108.98587945,1,1,0,1,2,1
0.023,84643.3086284197,304137.152285795,84001.5414851917,106109.013938045,1,1,0,1,2,1
0.024,84662.8134800555,304136.39869153,84002.0491445829,106109.04199664,1,1,0,1,2,1
0.025,84682.3183316912,304135.645097265,84002.556803974,106109.070055235,1,1,0,1,2,1
0.026,84701.823183327,304134.891503,84003.0644633652,106109.09811383,1,1,0,1,2,1
0.027,84721.3280349628,304134.137908735,84003.5721227564,106109.126172425,1,1,0,1,2,1
0.028,84740.8301637963,304133.38442937,84004.0824335514,106109.15422448,1,1,0,1,2,1
0.029,84760.2953381526,304132.632509443,84004.6287297876,106109.182187774,1,1,0,1,2,1
0.03,84779.75009887,304131.88102896,84005.185166592,106109.210126056,1,1,0,1,2,1
0.031,84799.1944459483,304131.129987921,84005.7517439645,106109.238039325,1,1,0,1,2,1
0.032,84818.6283793876,304130.379386327,84006.3284619052,106109.265927582,1,1,0,1,2,1
0.033,84838.0518991879,304129.629224176,84006.9153204141,106109.293790827,1,1,0,1,2,1
0.034,84857.4650053492,304128.87950147,84007.5123194912,106109.321629058,1,1,0,1,2,1
0.035,84876.8676978714,304128.130218208,84008.1194591365,106109.349442278,1,1,0,1,2,1
0.036,84896.2599767547,304127.38137439,84008.7367393499,106109.377230485,1,1,0,1,2,1
0.037,84915.6418419989,304126.632970017,84009.3641601316,106109.40499368,1,1,0,1,2,1
0.038,84935.013293604,304125.885005087,84010.0017214814,106109.432731862,1,1,0,1,2,1
0.039,84954.3743315702,304125.137479602,84010.6494233993,106109.460445031,1,1,0,1,2,1
0.04,84973.7249558973,304124.390393561,84011.3072658855,106109.488133189,1,1,0,1,2,1
0.041,84993.063057273,304123.643827442,84011.9772397205,106109.515792926,1,1,0,1,2,1
0.042,85012.3784369563,304122.898170366,84012.6689705316,106109.543407773,1,1,0,1,2,1
0.043,85031.6813779795,304122.153029996,84013.3727531369,106109.570994337,1,1,0,1,2,1
0.044,85050.9718803426,304121.408406332,84014.0885875363,106109.598552618,1,1,0,1,2,1
0.045,85070.2499440457,304120.664299375,84014.8164737298,106109.626082616,1,1,0,1,2,1
0.046,85089.5155690886,304119.920709124,84015.5564117174,106109.653584331,1,1,0,1,2,1
0.047,85108.7687554715,304119.17763558,84016.3084014992,106109.681057762,1,1,0,1,2,1
0.048,85128.0095031943,304118.435078742,84017.0724430751,106109.708502911,1,1,0,1,2,1
0.049,85147.237812257,304117.69303861,84017.8485364451,106109.735919776,1,1,0,1,2,1
0.05,85166.4536826596,304116.951515184,84018.6366816092,106109.763308359,1,1,0,1,2,1
0.051,85185.6571144021,304116.210508465,84019.4368785675,106109.790668658,1,1,0,1,2,1
0.052,85204.8481074845,304115.470018452,84020.2491273198,106109.818000675,1,1,0,1,2,1
0.053,85224.0266619069,304114.730045145,84021.0734278663,106109.845304408,1,1,0,1,2,1
0.054,85243.1920383373,304113.990615188,84021.9103368646,106109.872579024,1,1,0,1,2,1
0.055,85262.3423249616,304113.251797473,84022.7612937574,106109.899822367,1,1,0,1,2,1
0.056,85281.4797019559,304112.513513437,84023.6246570468,106109.927036895,1,1,0,1,2,1
0.057,85300.6041693204,304111.775763079,84024.5004267329,106109.954222608,1,1,0,1,2,1
0.058,85319.7157270549,304111.0385464,84025.3886028157,106109.981379507,1,1,0,1,2,1
0.059,85338.8143751595,304110.301863398,84026.2891852951,106110.008507592,1,1,0,1,2,1
0.06,85357.9001136342,304109.565714075,84027.2021741711,106110.035606863,1,1,0,1,2,1
0.061,85376.972942479,304108.83009843,84028.1275694438,106110.062677319,1,1,0,1,2,1
0.062,85396.0328616939,304108.095016464,84029.0653711131,106110.089718961,1,1,0,1,2,1
0.063,85415.0798712789,304107.360468175,84030.0155791791,106110.116731788,1,1,0,1,2,1
0.064,85434.1139712339,304106.626453565,84030.9781936417,106110.143715801,1,1,0,1,2,1
0.065,85453.1351615591,304105.892972633,84031.953214501,106110.170671,1,1,0,1,2,1
0.066,85472.1434422543,304105.160025379,84032.9406417569,106110.197597384,1,1,0,1,2,1
0.067,85491.138768214,304104.427610497,84033.9400997544,106110.224495706,1,1,0,1,2,1
0.068,85510.1210736392,304103.69572608,84034.9510404954,106110.251367063,1,1,0,1,2,1
0.069,85529.0904479992,304102.964374721,84035.9742091135,106110.278209963,1,1,0,1,2,1
0.07,85548.0468912942,304102.233556418,84037.0096056087,106110.305024405,1,1,0,1,2,1
0.071,85566.9904035241,304101.503271173,84038.0572299811,106110.331810391,1,1,0,1,2,1
0.072,85585.920984689,304100.773518985,84039.1170822307,106110.358567919,1,1,0,1,2,1
0.073,85604.8386347887,304100.044299854,84040.1891623574,106110.385296991,1,1,0,1,2,1
0.074,85623.7433538235,304099.315613781,84041.2734703613,106110.411997605,1,1,0,1,2,1
0.075,85642.6351417931,304098.587460765,84042.3700062423,106110.438669763,1,1,0,1,2,1
0.076,85661.5139986977,304097.859840806,84043.4787700005,106110.465313463,1,1,0,1,2,1
