"time","cp[1]","cp[2]","cp[3]","eta[1]","eta[2]","eta[3]","lambda[1]","lambda[2]","lambda[3]","rho[1]","rho[2]","rho[3]","m_flow[1]","m_flow[2]","m_flow[3]","Re_1[1]","Re_1[2]","Re_1[3]","Nu_1[1]","Nu_1[2]","Nu_1[3]","Nu_2[1]","Nu_2[2]","Nu_2[3]","Nu_3[1]","Nu_3[2]","Nu_3[3]","Nu_4[1]","Nu_4[2]","Nu_4[3]","Re","Pr[1]","Pr[2]","Pr[3]","input_mflow_0.y","input_mflow_1.y","input_mflow_2.y"
0,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0,0,0,0,0,0,3.66,3.66,3.66,4.364,4.364,4.364,3.66,3.66,3.66,4.364,4.364,4.364,0,0.714973919813157,7.01036324143693,996.999224806202,0,0,0
0.000202,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,3.232e-06,0.00017747649122807,0.0202,2.25609112312722,2.25609112312722,2.25609112312722,3.66865768154168,3.7089343174615,9.31541248986636,4.36951227658331,4.44845581076294,11.4916445156293,3.66921236272574,3.71439713468552,9.43754092173305,4.37056726825948,4.45841627350553,11.7005684982233,2.25609112312722,0.714973919813157,7.01036324143693,996.999224806202,0.0202,0.126920309129513,0.201796117304121
0.000404,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,6.464e-06,0.00035495298245614,0.0404,4.51218224625443,4.51218224625444,4.51218224625444,3.67019228630569,3.78056666164447,11.7941677606608,4.3748306175423,4.56250682565254,14.4978859650695,3.67175941768589,3.79540149289496,12.0085760020546,4.37780602867099,4.58919202480506,14.8664941166461,4.51218224625443,0.714973919813157,7.01036324143693,996.999224806202,0.0404,0.253840413806001,0.403185017878649
0.000606,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,9.696e-06,0.000532429473684211,0.0606,6.76827336938165,6.76827336938165,6.76827336938165,3.67304685361438,3.86056476648417,13.5555988763971,4.38193540922212,4.68167324353886,16.6311283940918,3.67592036357335,3.88662666932728,13.852672339547,4.38738081402065,4.72804518058043,17.1430042525532,6.76827336938165,0.714973919813157,7.01036324143693,996.999224806202,0.0606,0.380760109576771,0.604167523471144
0.000808,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1.2928e-05,0.000709905964912281,0.0808,9.02436449250887,9.02436449250887,9.02436449250887,3.67683056653884,3.94361810861091,14.9649342050078,4.39014144456736,4.80088289237445,18.3370896062563,3.68124367976551,3.98195699386108,15.3390707529325,4.3984883850474,4.86849369423175,18.9825307979892,9.02436449250887,0.714973919813157,7.01036324143693,996.999224806202,0.0808,0.507679191989786,0.804744454170891
0.00101,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1.616e-05,0.000887382456140351,0.101,11.2804556156361,11.2804556156361,11.2804556156361,3.68130950545828,4.02747108047574,16.1582666961407,4.39911745748469,4.91825759538368,19.7812146349635,3.68745912900653,4.07869032705325,16.6055686806452,4.41072654603848,5.00791976831768,20.5534153874037,11.2804556156361,0.714973919813157,7.01036324143693,996.999224806202,0.101,0.634597456593999,1.00491662841227
0.001212,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1.9392e-05,0.00106485894736842,0.1212,13.5365467387633,13.5365467387633,13.5365467387633,3.68633423200962,4.11098294563254,17.2031256413135,4.40866966888972,5.03300618849697,21.0454680891222,3.69439194849745,4.17541485761816,17.7206316964461,4.42385194327177,5.14510602342137,21.9392282535143,13.5365467387633,0.714973919813157,7.01036324143693,996.999224806202,0.1212,0.761514698939678,1.20468486297811
0.001414,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,2.2624e-05,0.00124233543859649,0.1414,15.7926378618905,15.7926378618905,15.7926378618905,3.69180209695637,4.19353360036283,18.1385254298468,4.41867164411331,5.1448079690406,22.1771632671793,3.70192031357483,4.27133877001392,18.7238623307414,4.43770057878286,5.27947480620882,23.1882977421049,15.7926378618905,0.714973919813157,7.01036324143693,996.999224806202,0.1414,0.888430714578741,1.404049973003
0.001616,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,2.5856e-05,0.00141981192982456,0.1616,18.0487289850177,18.0487289850177,18.0487289850177,3.6976386107387,4.2747787232795,18.9892850984029,4.42903479897758,5.2535699813449,23.2063821006221,3.70995444442189,4.3660064558736,19.6404814334432,4.45215393533371,5.41077460379383,24.3314026514032,18.0487289850177,0.714973919813157,7.01036324143693,996.999224806202,0.1616,1.01534529906508,1.60301277197659
0.001818,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,2.9088e-05,0.00159728842105263,0.1818,20.304820108145,20.304820108145,20.304820108145,3.70378742982091,4.35453131963351,19.772286561447,4.43969387255762,5.35931550576375,24.1535786239865,3.71842536652503,4.459157975544,20.4876617977499,4.46712206838779,5.53893000688835,25.3895034811756,20.304820108145,0.714973919813157,7.01036324143693,996.999224806202,0.1818,1.14225824795489,1.80157407174697
