"time","directMass.mass.s","directMass.mass.v","mass2a.s","mass2a.v","mass2b.s","mass2b.v","mass3a.s","mass3a.v","mass3b.s","mass3b.v"
0,0,0,0,0,0,0,0,0,0,0
0.0005,9.54499219633847e-10,4.76005050409195e-06,2.81598528125252e-09,1.40216438425575e-05,2.37561888244679e-11,1.2925383485902e-07,2.86265234616974e-09,1.42753702925994e-05,4.22656365900841e-13,2.39060983823465e-09
0.001,7.63514403493939e-09,1.90396814255317e-05,2.2150856786056e-08,5.50667504706294e-05,3.77287659380933e-10,1.02614690298261e-06,2.28784212394648e-08,5.70426546174139e-05,1.35054326766562e-11,3.81948295905422e-08
0.0015,2.42388625411947e-08,4.28383672054703e-05,6.95408093169108e-08,0.000122033674279126,1.58788915333643e-09,3.24071366864212e-06,7.25717703200261e-08,0.000128192590397008,7.24086517789946e-11,1.61255609701417e-07
0.002,5.52226486947914e-08,7.61551735813136e-05,1.56760793431496e-07,0.00021377448206609,4.45357632643887e-09,7.34551933892513e-06,1.6517894449248e-07,0.000227558355978743,2.44500795947015e-10,4.53582382598901e-07
0.0025,1.05282594599614e-07,0.000118988784456489,2.95706782875689e-07,0.000329105318905536,1.00705004615759e-08,1.39305172319653e-05,3.14554171170281e-07,0.000354909298747484,6.46806314280412e-10,1.02852731099156e-06
0.003,1.78637808139832e-07,0.000171337543094686,4.96380012506515e-07,0.000467000292819349,1.97667059565364e-08,2.35061682324227e-05,5.32977313913226e-07,0.000509963306010925,1.46805525313489e-09,2.02466163656778e-06
0.0035,2.79937914967092e-07,0.000233199522173769,7.69657406981263e-07,0.000626336953880426,3.50781689602109e-08,3.66308063207393e-05,8.33943760911635e-07,0.000692393620787869,2.93499199482353e-09,3.60247286672258e-06
0.004,4.14193029381256e-07,0.000304572072935182,1.12642035464615e-06,0.00080595932414567,5.80793667491956e-08,5.38784473303766e-05,1.231686864224e-06,0.000901754642973104,5.44611195988518e-09,5.98078791622252e-06
0.0045,5.86336305881469e-07,0.000385452743989477,1.57761266473456e-06,0.00100471462897682,9.06981264554753e-08,7.58218014961364e-05,1.74030449834612e-06,0.00113763318544526,9.35220964914376e-09,9.36252326157777e-06
0.005,8.01172913332311e-07,0.000475838015701537,2.1322253155127e-06,0.00122159014806016,1.3564671224284e-07,0.000102961949522488,2.372853018131e-06,0.00139944023063637,1.53328609329583e-08,1.40369082341044e-05
0.0055,1.06358205342859e-06,0.000575724640016068,2.7998684286809e-06,0.00145552574805347,1.95438865803344e-07,0.000135824085997743,3.14278601310071e-06,0.00168663142366681,2.3980073592506e-08,2.02712481906705e-05
0.006,1.37831611959556e-06,0.000685108432975745,3.58854883214104e-06,0.00170559219376529,2.73199763324027e-07,0.000174866552581593,4.06243073882489e-06,0.00199852242967775,3.62588099808509e-08,2.84014346247073e-05
0.0065,1.7501465659074e-06,0.000803985210780317,4.50630968382589e-06,0.00197085427228527,3.72065006949869e-07,0.00022055068002886,5.14419778167745e-06,0.00233442703707123,5.31209580223175e-08,3.87642976348148e-05
0.007,2.1838195670233e-06,0.000932350194181907,5.56046289659743e-06,0.00225044778551,4.95497902238677e-07,0.000273301398519386,6.39979533755061e-06,0.00269358294835186,7.58316817595609e-08,5.1733817096875e-05
0.0075,2.68405571750543e-06,0.0010701983135106,6.75785749398091e-06,0.00254354508268043,6.4715482927113e-07,0.000333524928927744,7.84063162900218e-06,0.00307518391463994,1.05767761756935e-07,6.77055129458708e-05
0.008,3.25561966538519e-06,0.00121752437768118,8.10548689277968e-06,0.00284931986494468,8.30686051692662e-07,0.000401626634052043,9.47795779808458e-06,0.00347842715480954,1.44450599035341e-07,8.70729891169281e-05
0.0085,3.90325484155143e-06,0.00137432219636369,9.60919844482109e-06,0.00316705663723793,1.05028303992283e-06,0.00047795497592973,1.1321905203309e-05,0.00390238749679024,1.93929660672464e-07,0.000110289546150333
0.009,4.63170579589382e-06,0.0015405858225443,1.12750939495832e-05,0.00349601397498855,1.31001171905711e-06,0.000562871746325863,1.33828796948469e-05,0.00434616797896963,2.56118846417078e-07,0.000137794744331561
0.0095,5.44571451043235e-06,0.00171630875085027,1.31086913031205e-05,0.00383550995634686,1.61422611409816e-06,0.000656708148106103,1.56706572226928e-05,0.00480880690271388,3.33243154301866e-07,0.000170059674918384
0.01,6.34997189172806e-06,0.00190148396510344,1.51149585358286e-05,0.00418492553694314,1.96747856968979e-06,0.000759763179188094,1.81942034029031e-05,0.00528930590849025,4.27856136140257e-07,0.000207572993409959
0.0105,7.34914672000912e-06,0.00209610402601174,1.72984147083427e-05,0.00454369025895428,2.37451272585666e-06,0.00087231090954529,2.09619095784756e-05,0.00578662692481613,5.42765290775526e-07,0.00025084257660948
0.011,8.44795501720596e-06,0.00230016128129592,1.96633716787758e-05,0.00491124800710079,2.84024668643781e-06,0.000994617918398527,2.39821584695665e-05,0.00629968485731631,6.80853291025325e-07,0.000300399493285668
0.0115,9.65107874534865e-06,0.00251364761941416,2.22136507436203e-05,0.00528709714373669,3.36979274623223e-06,0.00112692285725804,2.7262661212963e-05,0.00682735615738667,8.45287511541045e-07,0.000356793350427829
0.012,1.0963255877365e-05,0.00273655465022062,2.49536232658359e-05,0.00567073814756411,3.96807218315167e-06,0.00126946290155408,3.08103989179046e-05,0.00736858926257033,1.03968435709479e-06,0.0004205373440457
0.0125,1.23892675100776e-05,0.00296887368401129,2.78880232056181e-05,0.00606168152455009,4.63988966233219e-06,0.00142246976374709,3.46316731227901e-05,0.00792238242803686,1.26806470372092e-06,0.000492119311998434
0.013,1.39337712017909e-05,0.00321059546053104,3.10195226564365e-05,0.00645955011662295,5.39089547449561e-06,0.00158611813249026,3.87327583314251e-05,0.008487497030046,1.53427763697327e-06,0.0005721446757735
0.0135,1.56014735936988e-05,0.00346171042965587,3.43512429954202e-05,0.00686397313494051,6.2265888928684e-06,0.00176057907701869,4.31192261454177e-05,0.00906275451328497,1.84259731783888e-06,0.000661188387841262
0.014,1.73970685751356e-05,0.00372220867713848,3.78864900438018e-05,0.00727459875614913,7.15235784083539e-06,0.00194601363763826,4.77958414311938e-05,0.00964704480956384,2.19768214710595e-06,0.000759790610925733
0.0145,1.93252297542352e-05,0.00399207992967842,4.16290625131389e-05,0.00769108204186529,8.17331337481895e-06,0.00214257887359002,5.27663639794135e-05,0.0102393889809445,2.60466264164549e-06,0.000868425404045317
0.015,2.13906617072185e-05,0.00427131352041158,4.55811525319356e-05,0.00811316716606231,9.29541629489816e-06,0.00235038669759117,5.80348985321241e-05,0.0108385128323435,3.06854329476512e-06,0.000987713864445535
0.0155,2.35980528647602e-05,0.0045598984206358,4.97452756982224e-05,0.00854061182317121,1.05244414480697e-05,0.002569541719373,6.36046536984882e-05,0.0114432388908277,3.59475244789549e-06,0.00111822818553978
0.016,2.5952078842971e-05,0.00485782323822072,5.41240519476997e-05,0.00897318909831334,1.18660922906498e-05,0.00280014030817929,6.94782063428434e-05,0.0120524542602656,4.18901509303419e-06,0.00126050772719822
0.0165,2.84573800917322e-05,0.00516507623413627,5.87209341388156e-05,0.00941064374382179,1.33256030682361e-05,0.00304229247929834,7.56573124816498e-05,0.0126652865558662,4.8574138967727e-06,0.00141497107327125
0.017,3.11186402832516e-05,0.00548164526448624,6.35376528637121e-05,0.00985284551995231,1.49091339930694e-05,0.00329604513675801,8.21435704785844e-05,0.0132804868918066,5.60617518558445e-06,0.00158222445082597
0.0175,3.39405203058098e-05,0.00580751782931832,6.85763680181114e-05,0.0102996600759614,1.66225964497094e-05,0.00356144670600157,8.89378626081343e-05,0.0138969494299669,6.44184915464683e-06,0.00176280202899395
0.018,3.69276719943238e-05,0.00614268106288236,7.38392499252889e-05,0.0107509701750324,1.84718830288941e-05,0.00383853650681214,9.6040565206117e-05,0.0145136163879093,7.37122538842641e-06,0.00195721340036881
0.0185,4.00847143624598e-05,0.00648712175358258,7.93294196991537e-05,0.0112065966782163,2.0462361694168e-05,0.00412738429127051,0.000103451890086051,0.015129740644644,8.40112650066337e-06,0.00216581230805181
0.019,4.34162973463663e-05,0.00684082629046724,8.50484272593086e-05,0.0116665104597179,2.26002323899526e-05,0.00442798420584673,0.000111170968885445,0.0157441814511906,9.53896157682613e-06,0.00238914871010548
0.0195,4.69270512689724e-05,0.00720378070565134,9.09982507476528e-05,0.0121306644015539,2.4891451529692e-05,0.00474033885770485,0.000119196578991318,0.0163559627875987,1.07922874077987e-05,0.00262768966467761
0.02,5.06215995692178e-05,0.00757597066456828,9.71808108776156e-05,0.0125990334344726,2.73419939150812e-05,0.00506443927962093,0.000127526996344326,0.0169641385882097,1.2168901181663e-05,0.00288188670274748
0.0205,5.45045469368919e-05,0.00795738149573173,0.000103598820075947,0.0130715269851593,2.99574103674292e-05,0.00540030875102276,0.000136160919082026,0.0175680477887546,1.36763608643238e-05,0.0031520483492202
0.021,5.85805042936024e-05,0.00834799812807486,0.00011025399469535,0.0135481733103264,3.27437590927957e-05,0.00574791053695394,0.000145095522895734,0.0181667773489218,1.53229949925357e-05,0.0034386085176513
0.0215,6.28540702074724e-05,0.00874780513756863,0.00011714838508981,0.0140289823561175,3.57069127663733e-05,0.00610721652829904,0.00015432790780317,0.0187595617520101,1.71171514096224e-05,0.00374192683034777
0.022,6.73298354008366e-05,0.00915678673591489,0.000124284053016921,0.0145139790203113,3.88527265928664e-05,0.00647819059372152,0.00016385474724692,0.0193456861099227,1.90673794777935e-05,0.00406233704891082
0.0225,7.2012382675184e-05,0.00957492679095162,0.000131663160715354,0.015003178749762,4.21869936551733e-05,0.00686080081155124,0.000173673118639511,0.019924528356532,2.11820146930188e-05,0.00440012600816119
0.023,7.69062866207993e-05,0.0100022087883546,0.000139287830099001,0.0154966314353285,4.57155148817748e-05,0.00725499746487238,0.000183778933963859,0.0204954871536167,2.34699629492677e-05,0.00475556960572316
0.0235,8.20161135663239e-05,0.0104386158587547,0.000147160258119841,0.0159943892000199,4.94440412896444e-05,0.00766072918812686,0.000194168044733638,0.0210580371521189,2.59401479826648e-05,0.00512890521207211
0.024,8.73464214106207e-05,0.0108841307727649,0.000155282706462975,0.0164965115225887,5.33782788845249e-05,0.0080779403978577,0.000204836035001945,0.0216117217771326,2.86016146149562e-05,0.00552033527058043
