"time","V_flow[1]","V_flow[2]","V_flow[3]","a[1]","a[2]","a[3]","rho","input_mdot[1]","input_mdot[2]","input_mdot[3]","input_dp[1]","input_dp[2]","input_dp[3]","M_FLOW[1]","M_FLOW[2]","M_FLOW[3]","DP[1]","DP[2]","DP[3]","DP_plot[1]","DP_plot[2]","DP_plot[3]","input_DP.y"
0,-3.33333333333333e-17,-1.66666666666667e-17,-1.11111111111111e-17,15,30,45,1.2,-4e-17,-2e-17,-1.33333333333333e-17,0,0,0,-4e-17,-2e-17,-1.33333333333333e-17,0,0,0,0,0,0,0
0.0001,0.00318881683179397,0.00225483400572332,0.00184106425623266,15,30,45,1.2,0.00382658019815276,0.00270580080686799,0.0022092771074792,0.003125,0.003125,0.003125,0.00382658019815276,0.00270580080686799,0.0022092771074792,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125
0.0002,0.00637389603885838,0.00450702511165484,0.00367997059382158,15,30,45,1.2,0.00764867524663005,0.0054084301339858,0.0044159647125859,0.00625,0.00625,0.00625,0.00764867524663005,0.0054084301339858,0.0044159647125859,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625
0.0003,0.00955149999646361,0.00675393041800271,0.00551456109412298,15,30,45,1.2,0.0114617999957563,0.00810471650160325,0.00661747331294758,0.009375,0.009375,0.009375,0.0114617999957563,0.00810471650160325,0.00661747331294758,0.009375,0.009375,0.009375,0.009375,0.009375,0.009375,0.009375
0.0004,0.0127178910798801,0.00899290702497511,0.00734267783849311,15,30,45,1.2,0.0152614692958561,0.0107914884299701,0.00881121340619173,0.0125,0.0125,0.0125,0.0152614692958561,0.0107914884299701,0.00881121340619173,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
0.0005,0.0158693316643782,0.0112213120327802,0.00916216290828821,15,30,45,1.2,0.0190431979972538,0.0134655744393363,0.0109945954899458,0.015625,0.015625,0.015625,0.0190431979972538,0.0134655744393363,0.0109945954899458,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625
0.0006,0.0190020841252284,0.0134365025416262,0.0109708583848645,15,30,45,1.2,0.022802500950274,0.0161238030499515,0.0131650300618374,0.01875,0.01875,0.01875,0.022802500950274,0.0161238030499515,0.0131650300618374,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875
0.0007,0.022112410837701,0.0156358356517213,0.0127666063495783,15,30,45,1.2,0.0265348930052412,0.0187630027820655,0.0153199276194939,0.021875,0.021875,0.021875,0.0265348930052412,0.0187630027820655,0.0153199276194939,0.021875,0.021875,0.021875,0.021875,0.021875,0.021875,0.021875
0.0008,0.0251965741770665,0.0178166684632736,0.0145472488837857,15,30,45,1.2,0.0302358890124798,0.0213800021559283,0.0174566986605429,0.025,0.025,0.025,0.0302358890124798,0.0213800021559283,0.0174566986605429,0.025,0.025,0.025,0.025,0.025,0.025,0.025
0.0009,0.0282508365185953,0.0199763580764913,0.0163106280688431,15,30,45,1.2,0.0339010038223144,0.0239716296917896,0.0195727536826118,0.028125,0.028125,0.028125,0.0339010038223144,0.0239716296917896,0.0195727536826118,0.028125,0.028125,0.028125,0.028125,0.028125,0.028125,0.028125
0.001,0.0312714602375578,0.0221122615915826,0.0180545859861067,15,30,45,1.2,0.0375257522850694,0.0265347139098992,0.021665503183328,0.03125,0.03125,0.03125,0.0375257522850694,0.0265347139098992,0.021665503183328,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125
