"time","pipe.mediums[1].h","pipe.mediums[1].p","pipe.mediums[2].h","pipe.mediums[2].p","pipe.mediums[3].h","pipe.mediums[3].p","pipe.mediums[4].h","pipe.mediums[4].p","pipe.mediums[5].h","pipe.mediums[5].p","m_flow_initial"
0,2000142.83925331,9903731.36634523,2000142.83937792,9806208.80077872,2000142.8393632,9707409.92633887,2000142.83939676,9607290.86558357,2000142.839347,9505805.20509753,0
0.0008,2000142.83925333,9903731.36634538,2000142.83937789,9806208.800779,2000142.8393632,9707409.9263386,2000142.83939675,9607290.86558324,2000142.83934701,9505805.20509752,0
0.0016,2000142.83925335,9903731.36634554,2000142.83937787,9806208.80077927,2000142.83936321,9707409.92633834,2000142.83939674,9607290.86558291,2000142.83934702,9505805.20509751,0
0.0024,2000142.83925338,9903731.3663457,2000142.83937784,9806208.80077953,2000142.83936321,9707409.92633809,2000142.83939673,9607290.86558259,2000142.83934703,9505805.2050975,0
0.0032,2000142.8392534,9903731.36634585,2000142.83937782,9806208.8007798,2000142.83936321,9707409.92633783,2000142.83939672,9607290.86558227,2000142.83934704,9505805.20509748,0
0.004,2000142.83925342,9903731.36634601,2000142.83937779,9806208.80078004,2000142.83936321,9707409.9263376,2000142.8393967,9607290.86558196,2000142.83934705,9505805.20509747,0
0.0048,2000142.83925344,9903731.36634616,2000142.83937776,9806208.80078027,2000142.83936321,9707409.92633736,2000142.83939669,9607290.86558165,2000142.83934707,9505805.20509745,0
0.0056,2000142.83925347,9903731.36634631,2000142.83937774,9806208.80078051,2000142.83936321,9707409.92633713,2000142.83939668,9607290.86558135,2000142.83934708,9505805.20509744,0
0.0064,2000142.83925349,9903731.36634647,2000142.83937771,9806208.80078075,2000142.83936321,9707409.92633689,2000142.83939667,9607290.86558104,2000142.83934709,9505805.20509743,0
0.0072,2000142.83925351,9903731.36634661,2000142.83937768,9806208.80078096,2000142.83936321,9707409.92633668,2000142.83939666,9607290.86558075,2000142.8393471,9505805.20509741,0
0.008,2000142.83925354,9903731.36634676,2000142.83937766,9806208.80078116,2000142.83936321,9707409.92633647,2000142.83939665,9607290.86558047,2000142.83934711,9505805.2050974,0
