"time","J2.phi","J2.w","J3.phi","J3.w","J5.phi","J5.w"
0,0,0,0,0,0,0
0.0004,4.03181926358321e-11,2.51331696062637e-07,2.0159096317916e-10,1.25665848031319e-06,2.0159096317916e-10,1.25665848031319e-06
0.0008,3.22513143581886e-10,1.00531165231711e-06,1.61256571790943e-09,5.02655826158557e-06,1.61256571790943e-09,5.02655826158557e-06
0.0012,1.16160574094902e-09,2.26193275817926e-06,5.80802870474508e-09,1.13096637908963e-05,5.80802870474508e-09,1.13096637908963e-05
0.0016,2.57996933468727e-09,4.02119418896275e-06,1.28998466734363e-08,2.01059709448137e-05,1.28998466734363e-08,2.01059709448137e-05
0.002,5.33647764412407e-09,6.28304008824946e-06,2.66823882206204e-08,3.14152004412473e-05,2.66823882206204e-08,3.14152004412473e-05
0.0024,9.29166364869731e-09,9.04748067580284e-06,4.64583182434866e-08,4.52374033790142e-05,4.64583182434866e-08,4.52374033790142e-05
0.0028,1.43923862117754e-08,1.23145198456606e-05,7.19619310588772e-08,6.15725992283031e-05,7.19619310588772e-08,6.15725992283031e-05
0.0032,2.06386453333585e-08,1.60841575978228e-05,1.03193226666792e-07,8.04207879891141e-05,1.03193226666792e-07,8.04207879891141e-05
0.0036,3.03028254520647e-08,2.03560594482918e-05,1.51514127260323e-07,0.000101780297241459,1.51514127260323e-07,0.000101780297241459
0.004,4.26849741277793e-08,2.51303284266809e-05,2.13424870638897e-07,0.000125651642133405,2.13424870638897e-07,0.000125651642133405
0.0044,5.73579725693632e-08,3.04070274028103e-05,2.86789862846816e-07,0.000152035137014052,2.86789862846816e-07,0.000152035137014052
0.0048,7.43218207768162e-08,3.618615637668e-05,3.71609103884081e-07,0.0001809307818834,3.71609103884081e-07,0.0001809307818834
0.0052,9.35765187501384e-08,4.24677153482899e-05,4.67882593750692e-07,0.000212338576741449,4.67882593750692e-07,0.000212338576741449
