"time","prismatic.s","prismatic.v","revolute.phi","revolute.w"
0,0.5,0,0,0
0.002,0.499988010174164,-0.0119877218025438,-7.84533332668469e-06,-0.00784533559681574
0.004,0.499952083144659,-0.0239497775392231,-3.13814765425785e-05,-0.0156907645152887
0.006,0.499892266111721,-0.0358849857487037,-7.06086917673283e-05,-0.023536352579946
0.008,0.499808607134554,-0.0477921953794341,-0.000125527341141241,-0.0313821634609511
0.01,0.499701163886606,-0.0596700744969881,-0.000196137949848177,-0.0392282703440138
0.012,0.499569991819685,-0.0715174051831939,-0.000282441136579827,-0.0470747393923793
0.014,0.499415156894137,-0.0833328310638567,-0.000384437801478834,-0.0549216428086749
0.016,0.499236712056457,-0.0951152493073349,-0.00050212864198998,-0.0627690395321426
0.018,0.499034739034843,-0.106863123066008,-0.000635515016790237,-0.0706170085246504
0.02,0.498809300165909,-0.118575186605656,-0.000784597802737058,-0.0784656168048622
0.022,0.498560473515706,-0.130250116305648,-0.00094937853630764,-0.0863149290478591
0.024,0.498288335070932,-0.141886585657638,-0.00112985864929548,-0.0941650110211809
0.026,0.497992964627415,-0.153483313887704,-0.0013260397887759,-0.102015922124533
0.028,0.497674457385785,-0.165039100860561,-0.00153792441181337,-0.109867707267801
0.03,0.497332889653648,-0.176552634978935,-0.00176551397476708,-0.11772043048817
0.032,0.496968343757134,-0.188022640152671,-0.002008810252779,-0.125574149729668
0.034,0.496580902022372,-0.19944784029161,-0.00226781502099105,-0.133428922936327
0.036,0.496170670379094,-0.210827003257974,-0.00254253096157641,-0.141284782933949
0.038,0.49573772869913,-0.222158848391442,-0.002832959755364,-0.149141790278354
0.04,0.495282160482193,-0.233442101787192,-0.00313910322259386,-0.157000001664679
0.042,0.494804051993064,-0.244675494689247,-0.00346096328976101,-0.164859470845566
0.044,0.4943035613177,-0.255857998537821,-0.00379854476106207,-0.172720171452111
0.046,0.49378075680531,-0.266988284660742,-0.00415184884515839,-0.180582177223025
0.048,0.493235731534982,-0.278065107091557,-0.00452087774157784,-0.188445534309113
0.05,0.492668583083493,-0.289087234511381,-0.00490563381815714,-0.196310283625218
0.052,0.492079482473359,-0.300053659276399,-0.00530612172287072,-0.204176371989729
