"time","signalSource.V_m","signalSource.Phi","cuboid.G_m","cuboid.A ","hollowCylinderAxialFlux.G_m","hollowCylinderAxialFlux.A","hollowCylinderRadialFlux.G_m","hollowCylinderRadialFlux.A","genericFluxTube.G_m","genericFluxTube.A"
0,0,-0,6.28318530717959e-06,0.0001,1.97392088021787e-05,0.000314159265358979,5.695531729995e-05,0.000942477796076938,6.28318530717959e-06,0.0001
0.0005,0.0025,-2.2505206205194e-07,6.33802281162768e-06,0.0001,1.99114859032941e-05,0.000314159265358979,5.74332935673376e-05,0.000942477796076938,6.33802281162768e-06,0.0001
0.001,0.005,-4.53952683255227e-07,6.39358375245865e-06,0.0001,2.00860357468352e-05,0.000314159265358979,5.7917333538173e-05,0.000942477796076938,6.39358375245865e-06,0.0001
0.0015,0.0075,-6.86776026359071e-07,6.44987608646457e-06,0.0001,2.02628833298016e-05,0.000314159265358979,5.84075014392636e-05,0.000942477796076938,6.44987608646457e-06,0.0001
0.002,0.01,-9.23597289484384e-07,6.50690764027359e-06,0.0001,2.04420532402708e-05,0.000314159265358979,5.89038604993414e-05,0.000942477796076938,6.50690764027359e-06,0.0001
0.0025,0.0125,-1.16449268205353e-06,6.56468609424924e-06,0.0001,2.06235696068165e-05,0.000314159265358979,5.94064728272351e-05,0.000942477796076938,6.56468609424924e-06,0.0001
0.003,0.015,-1.4095393982261e-06,6.62321896569164e-06,0.0001,2.08074560457334e-05,0.000314159265358979,5.99153992872405e-05,0.000942477796076938,6.62321896569164e-06,0.0001
0.0035,0.0175,-1.65881558701902e-06,6.68251359134049e-06,0.0001,2.09937356060692e-05,0.000314159265358979,6.04306993694758e-05,0.000942477796076938,6.68251359134049e-06,0.0001
0.004,0.02,-1.91240031896182e-06,6.74257710918545e-06,0.0001,2.11824307124797e-05,0.000314159265358979,6.09524310552566e-05,0.000942477796076938,6.74257710918545e-06,0.0001
0.0045,0.0225,-2.17037354913983e-06,6.80341643959346e-06,0.0001,2.13735631059388e-05,0.000314159265358979,6.14806506775514e-05,0.000942477796076938,6.80341643959346e-06,0.0001
0.005,0.025,-2.43281607648195e-06,6.86503826576688e-06,0.0001,2.15671537823461e-05,0.000314159265358979,6.20154127766045e-05,0.000942477796076938,6.86503826576688e-06,0.0001
0.0055,0.0275,-2.69980949915389e-06,6.92744901355065e-06,0.0001,2.17632229290886e-05,0.000314159265358979,6.25567699508434e-05,0.000942477796076938,6.92744901355065e-06,0.0001
0.006,0.03,-2.97143616592373e-06,6.99065483061152e-06,0.0001,2.19617898596311e-05,0.000314159265358979,6.310477270322e-05,0.000942477796076938,6.99065483061152e-06,0.0001
0.0065,0.0325,-3.24777912337424e-06,7.05466156501776e-06,0.0001,2.21628729462221e-05,0.000314159265358979,6.36594692831656e-05,0.000942477796076938,7.05466156501776e-06,0.0001
0.007,0.035,-3.52892205884465e-06,7.11947474325297e-06,0.0001,2.23664895508216e-05,0.000314159265358979,6.42209055243787e-05,0.000942477796076938,7.11947474325297e-06,0.0001
0.0075,0.0375,-3.81494923899555e-06,7.18509954770359e-06,0.0001,2.25726559543769e-05,0.000314159265358979,6.47891246787002e-05,0.000942477796076938,7.18509954770359e-06,0.0001
0.008,0.04,-4.10594544390192e-06,7.25154079366575e-06,0.0001,2.2781387284587e-05,0.000314159265358979,6.536416724637e-05,0.000942477796076938,7.25154079366575e-06,0.0001
0.0085,0.0425,-4.40199589659357e-06,7.31880290592323e-06,0.0001,2.299269744232e-05,0.000314159265358979,6.5946070803001e-05,0.000942477796076938,7.31880290592323e-06,0.0001
0.009,0.045,-4.70318618758395e-06,7.38688989495521e-06,0.0001,2.32065990256173e-05,0.000314159265358979,6.65348698236494e-05,0.000942477796076938,7.38688989495521e-06,0.0001
0.0095,0.0475,-5.0096021966942e-06,7.45580533283881e-06,0.0001,2.34231032589807e-05,0.000314159265358979,6.71305955044018e-05,0.000942477796076938,7.45580533283881e-06,0.0001
0.01,0.05,-5.32133000627024e-06,7.52555232891864e-06,0.0001,2.36422199094655e-05,0.000314159265358979,6.77332755819482e-05,0.000942477796076938,7.52555232891864e-06,0.0001
0.0105,0.0525,-5.63845581359643e-06,7.59613350532221e-06,0.0001,2.38639572147285e-05,0.000314159265358979,6.83429341516534e-05,0.000942477796076938,7.59613350532221e-06,0.0001
0.011,0.055,-5.96106583667705e-06,7.66755097240746e-06,0.0001,2.40883218046547e-05,0.000314159265358979,6.89595914846865e-05,0.000942477796076938,7.66755097240746e-06,0.0001
0.0115,0.0575,-6.28924621575668e-06,7.7398063042352e-06,0.0001,2.4315318624302e-05,0.000314159265358979,6.95832638448137e-05,0.000942477796076938,7.7398063042352e-06,0.0001
0.012,0.06,-6.62308291025839e-06,7.81290051416635e-06,0.0001,2.45449508572377e-05,0.000314159265358979,7.02139633055087e-05,0.000942477796076938,7.81290051416635e-06,0.0001
