"time","volume1.mC_scaled[1]","volume1.medium.T","volume1.medium.Xi[1]","volume1.medium.p","volume2.mC_scaled[1]","volume2.medium.T","volume2.medium.Xi[1]","volume2.medium.p","volume3.mC_scaled[1]","volume3.medium.T","volume3.medium.Xi[1]","volume3.medium.p"
0,119.683869358109,293.15,0.01,101325,119.683869358109,293.15,0.01,101325,119.683869358109,293.15,0.01,101325
0.000202,119.638975954034,293.10614999888,0.01,101271.842256951,119.638975954034,293.10614999888,0.01,101271.842256951,119.638975954034,293.10614999888,0.01,101271.842256951
0.000404,119.595043897107,293.063229430542,0.01,101219.830390352,119.595043897107,293.063229430542,0.01,101219.830390352,119.595043897107,293.063229430542,0.01,101219.830390352
0.000606,119.552070668745,293.021236797167,0.01,101168.960654606,119.552070668745,293.021236797167,0.01,101168.960654606,119.552070668745,293.021236797167,0.01,101168.960654606
0.000808,119.510056089568,292.980171991532,0.01,101119.23278338,119.510056089568,292.980171991532,0.01,101119.23278338,119.510056089568,292.980171991532,0.01,101119.23278338
0.00101,119.468994037148,292.940031214033,0.01,101070.637799865,119.468994037148,292.940031214033,0.01,101070.637799865,119.468994037148,292.940031214033,0.01,101070.637799865
0.001212,119.428885636612,292.900815162704,0.01,101023.177353923,119.428885636612,292.900815162704,0.01,101023.177353923,119.428885636612,292.900815162704,0.01,101023.177353923
0.001414,119.38973131667,292.862524103519,0.01,100976.852074202,119.38973131667,292.862524103519,0.01,100976.852074202,119.38973131667,292.862524103519,0.01,100976.852074202
0.001616,119.351531077319,292.825158036476,0.01,100931.661960701,119.351531077319,292.825158036476,0.01,100931.661960701,119.351531077319,292.825158036476,0.01,100931.661960701
0.001818,119.314275420765,292.788710615024,0.01,100887.593449163,119.314275420765,292.788710615024,0.01,100887.593449163,119.314275420765,292.788710615024,0.01,100887.593449163
0.00202,119.277967272571,292.753183794062,0.01,100844.650717725,119.277967272571,292.753183794062,0.01,100844.650717725,119.277967272571,292.753183794062,0.01,100844.650717725
