"time","cActuator.flange.f","pmActuator.flange.f","pmActuator.coil.Phi","pmActuator.coil.L_stat"
0,11.64,9.89604366064084,-0.000167121028202289,0.00779898131610681
0.0012,11.635344,9.89278350801728,-0.000167165059832023,0.00780415778860987
0.0024,11.630688,9.88952279655831,-0.000167209091461758,0.00780933840560653
0.0036,11.626032,9.88626152626394,-0.000167253123091493,0.00781452317207616
0.0048,11.621376,9.88299969713416,-0.000167297154721227,0.00781971209300609
0.006,11.61672,9.87973730916897,-0.000167341186350962,0.00782490517339168
0.0072,11.612064,9.87647436236837,-0.000167385217980697,0.00783010241823629
0.0084,11.607408,9.87321085673237,-0.000167429249610431,0.00783530383255128
0.0096,11.602752,9.86994679226096,-0.000167473281240166,0.00784050942135609
0.0108,11.598096,9.86668216895415,-0.000167517312869901,0.00784571918967821
0.012,11.59344,9.86341698681193,-0.000167561344499635,0.0078509331425532
0.0132,11.588784,9.8601512458343,-0.00016760537612937,0.00785615128502472
0.0144,11.584128,9.85688494602126,-0.000167649407759105,0.00786137362214452
0.0156,11.579472,9.85361808737282,-0.00016769343938884,0.0078666001589725
0.0168,11.574816,9.85035066988897,-0.000167737471018574,0.00787183090057669
0.018,11.57016,9.84708269356972,-0.000167781502648309,0.00787706585203328
0.0192,11.565504,9.84381415841505,-0.000167825534278044,0.00788230501842663
0.0204,11.560848,9.84054506442498,-0.000167869565907778,0.00788754840484929
0.0216,11.556192,9.83727541159951,-0.000167913597537513,0.00789279601640203
0.0228,11.551536,9.83400519993863,-0.000167957629167248,0.00789804785819383
0.024,11.54688,9.83073442944234,-0.000168001660796982,0.0079033039353419
0.0252,11.542224,9.82746310011064,-0.000168045692426717,0.00790856425297175
0.0264,11.537568,9.82419121194354,-0.000168089724056452,0.00791382881621711
0.0276,11.532912,9.82091876494103,-0.000168133755686186,0.00791909763022005
0.0288,11.528256,9.81764575910311,-0.000168177787315921,0.00792437070013089
0.03,11.5236,9.81437219442979,-0.000168221818945656,0.00792964803110834
0.0312,11.518944,9.81109807092106,-0.00016826585057539,0.0079349296283194
0.0324,11.514288,9.80782338857692,-0.000168309882205125,0.00794021549693944
0.0336,11.509632,9.80454814739738,-0.00016835391383486,0.00794550564215221
0.0348,11.504976,9.80127234738243,-0.000168397945464594,0.00795080006914987
0.036,11.50032,9.79799598853208,-0.000168441977094329,0.00795609878313294
