"time","Counter.FF[1].RS1.TD1.x","Counter.FF[1].RS2.TD1.x","Counter.FF[2].RS1.TD1.x","Counter.FF[2].RS2.TD1.x","Counter.FF[3].RS1.TD1.x","Counter.FF[3].RS2.TD1.x","Counter.FF[4].RS1.TD1.x","Counter.FF[4].RS2.TD1.x"
0,3,3,3,3,3,3,3,3
0.001,3,3,3,3,3,3,3,3
0.001,3,3,3,3,3,3,3,3
0.02,3,3,3,3,3,3,3,3
0.04,3,3,3,3,3,3,3,3
0.06,3,3,3,3,3,3,3,3
0.08,3,3,3,3,3,3,3,3
0.1,3,3,3,3,3,3,3,3
0.12,3,3,3,3,3,3,3,3
0.14,3,3,3,3,3,3,3,3
0.16,3,3,3,3,3,3,3,3
0.18,3,3,3,3,3,3,3,3
0.2,3,3,3,3,3,3,3,3
0.22,3,3,3,3,3,3,3,3
0.24,3,3,3,3,3,3,3,3
0.26,3,3,3,3,3,3,3,3
0.28,3,3,3,3,3,3,3,3
0.3,3,3,3,3,3,3,3,3
0.32,3,3,3,3,3,3,3,3
0.34,3,3,3,3,3,3,3,3
0.36,3,3,3,3,3,3,3,3
0.38,3,3,3,3,3,3,3,3
0.4,3,3,3,3,3,3,3,3
0.42,3,3,3,3,3,3,3,3
0.44,3,3,3,3,3,3,3,3
0.46,3,3,3,3,3,3,3,3
0.48,3,3,3,3,3,3,3,3
0.5,3,3,3,3,3,3,3,3
0.5,3,3,3,3,3,3,3,3
0.52,3,3,3,3,3,3,3,3
0.54,3,3,3,3,3,3,3,3
0.56,3,3,3,3,3,3,3,3
0.58,3,3,3,3,3,3,3,3
0.6,3,3,3,3,3,3,3,3
0.62,3,3,3,3,3,3,3,3
0.64,3,3,3,3,3,3,3,3
0.66,3,3,3,3,3,3,3,3
0.68,3,3,3,3,3,3,3,3
0.7,3,3,3,3,3,3,3,3
0.72,3,3,3,3,3,3,3,3
0.74,3,3,3,3,3,3,3,3
0.76,3,3,3,3,3,3,3,3
0.78,3,3,3,3,3,3,3,3
0.8,3,3,3,3,3,3,3,3
0.82,3,3,3,3,3,3,3,3
0.84,3,3,3,3,3,3,3,3
0.86,3,3,3,3,3,3,3,3
0.88,3,3,3,3,3,3,3,3
0.9,3,3,3,3,3,3,3,3
0.92,3,3,3,3,3,3,3,3
0.94,3,3,3,3,3,3,3,3
0.96,3,3,3,3,3,3,3,3
0.98,3,3,3,3,3,3,3,3
1,3,3,3,3,3,3,3,3
1,3,4,3,3,3,3,3,3
1.001,3,4,3,3,3,3,3,3
1.001,3,4,3,3,3,3,3,3
1.02,3,4,3,3,3,3,3,3
1.04,3,4,3,3,3,3,3,3
1.06,3,4,3,3,3,3,3,3
1.08,3,4,3,3,3,3,3,3
1.1,3,4,3,3,3,3,3,3
1.12,3,4,3,3,3,3,3,3
1.14,3,4,3,3,3,3,3,3
1.16,3,4,3,3,3,3,3,3
1.18,3,4,3,3,3,3,3,3
1.2,3,4,3,3,3,3,3,3
1.22,3,4,3,3,3,3,3,3
1.24,3,4,3,3,3,3,3,3
1.26,3,4,3,3,3,3,3,3
1.28,3,4,3,3,3,3,3,3
1.3,3,4,3,3,3,3,3,3
1.32,3,4,3,3,3,3,3,3
1.34,3,4,3,3,3,3,3,3
1.36,3,4,3,3,3,3,3,3
1.38,3,4,3,3,3,3,3,3
