"time","gearConstraint.actuatedRevolute_b.phi","gearConstraint.actuatedRevolute_b.w","inertia2.phi","inertia2.w"
0,0,0,0,-0
0.001,7.73213928721767e-09,1.92799390270578e-05,-7.73213928721767e-09,-1.92799390270578e-05
0.002,6.18502309292271e-08,7.71176475256501e-05,-6.18502309292271e-08,-7.71176475256501e-05
0.003,2.22760934003454e-07,0.000173508269439926,-2.22760934003454e-07,-0.000173508269439926
0.004,4.94754354249863e-07,0.000308451404124013,-4.94754354249863e-07,-0.000308451404124013
0.005,9.48418566569172e-07,0.000481935737365407,-9.48418566569172e-07,-0.000481935737365407
0.006,1.57066247089804e-06,0.000693963351659137,-1.57066247089804e-06,-0.000693963351659137
0.007,2.44998699261829e-06,0.000944515081378498,-2.44998699261829e-06,-0.000944515081378498
0.008,3.57823695228917e-06,0.0012335926675856,-3.57823695228917e-06,-0.0012335926675856
0.009,5.03487055403998e-06,0.00156117245249742,-5.03487055403998e-06,-0.00156117245249742
0.01,6.82157087800865e-06,0.00192725395116887,-6.82157087800865e-06,-0.00192725395116887
0.011,8.9852982270849e-06,0.00233181626175284,-8.9852982270849e-06,-0.00233181626175284
0.012,1.15736545264049e-05,0.00277483989035742,-1.15736545264049e-05,-0.00277483989035742
0.013,1.46119784190347e-05,0.0032563144603273,-1.46119784190347e-05,-0.0032563144603273
0.014,1.81353615584702e-05,0.00377622560096425,-1.81353615584702e-05,-0.00377622560096425
0.015,2.21940667010517e-05,0.00433454153678796,-2.21940667010517e-05,-0.00433454153678796
0.016,2.68303856522336e-05,0.00493123963685194,-2.68303856522336e-05,-0.00493123963685194
0.017,3.20784818551516e-05,0.00556630659533108,-3.20784818551516e-05,-0.00556630659533108
0.018,3.79776694203627e-05,0.00623972319738722,-3.79776694203627e-05,-0.00623972319738722
0.019,4.45673850914954e-05,0.00695144883391661,-4.45673850914954e-05,-0.0069514488339166
0.02,5.18870325968347e-05,0.00770144865559149,-5.18870325968347e-05,-0.00770144865559149
0.021,5.99758930387137e-05,0.00848970920610777,-5.99758930387137e-05,-0.00848970920610777
0.022,6.88733121680381e-05,0.00931620575072948,-6.88733121680381e-05,-0.00931620575072948
0.023,7.86165185911436e-05,0.0101808937641556,-7.86165185911436e-05,-0.0101808937641556
0.024,8.92422459131961e-05,0.0110837240939317,-8.92422459131961e-05,-0.0110837240939317
0.025,0.000100790791469746,0.0120246809005092,-0.000100790791469746,-0.0120246809005092
0.026,0.000113300822666275,0.01300373310814,-0.000113300822666275,-0.01300373310814
0.027,0.000126809730173261,0.0140208345650318,-0.000126809730173261,-0.0140208345650318
0.028,0.000141353639886558,0.0150759241845792,-0.000141353639886557,-0.0150759241845792
0.029,0.000156972136059844,0.0161689817174344,-0.000156972136059844,-0.0161689817174344
0.03,0.000173703355969525,0.0172999698279368,-0.000173703355969525,-0.0172999698279368
0.031,0.000191585224931844,0.0184688432990896,-0.000191585224931844,-0.0184688432990896
0.032,0.000210655083394685,0.0196755351666763,-0.000210655083394685,-0.0196755351666763
0.033,0.000230951139379965,0.0209200107255741,-0.000230951139379965,-0.0209200107255741
0.034,0.000252511222381565,0.0222022211958133,-0.000252511222381565,-0.0222022211958133
0.035,0.000275373123056452,0.0235221163533477,-0.000275373123056452,-0.0235221163533477
0.036,0.000299574593224682,0.0248796445300541,-0.000299574593224683,-0.0248796445300541
0.037,0.000325153345869402,0.0262747526137327,-0.000325153345869402,-0.0262747526137327
0.038,0.000352147055136845,0.0277073860481066,-0.000352147055136844,-0.0277073860481065
