"time","der_.c.v","der_.opAmp.out.v","der_.opAmp.out.i"
0,0,-15,0.02
0.0005,0.311704799315896,-15,0.0196882952006841
0.001,0.618551495622058,-15,0.0193814485043779
0.0015,0.92061588125701,-15,0.019079384118743
0.002,1.21797254745869,-15,0.0187820274525413
0.0025,1.51069483823998,-15,0.01848930516176
0.003,1.7988550044378,-15,0.0182011449955622
0.0035,2.08252415744267,-15,0.0179174758425573
0.004,2.36177226593403,-15,0.017638227734066
0.0045,2.63666822560838,-15,0.0173633317743916
0.005,2.9072798628417,-15,0.0170927201371583
0.0055,3.17367395226808,-15,0.0168263260477319
0.006,3.43591622738229,-15,0.0165640837726177
0.0065,3.69407139796225,-15,0.0163059286020378
0.007,3.94820316193554,-15,0.0160517968380645
0.0075,4.1983742241462,-15,0.0158016257758538
0.008,4.44464631017569,-15,0.0155553536898243
0.0085,4.68708018170973,-15,0.0153129198182903
0.009,4.92573565963008,-15,0.0150742643403699
0.0095,4.99999999999999,-7.99360577730113e-11,7.99413868435295e-14
0.01,5,0,-0
0.0105,5,0,-0
0.011,5,0,-0
0.0115,5,0,-0
0.012,5,0,-0
0.0125,5,0,-0
0.013,5,0,-0
0.0135,5,0,-0
0.014,5,0,-0
0.0145,5,0,-0
0.015,5,0,-0
0.015,5,-2.66453525910038e-11,2.66471289478432e-14
0.0155,4.76508075991197,15,-0.015015080759912
0.016,4.52911418413995,15,-0.0150291141841399
0.0165,4.29292887311465,15,-0.0150429288731146
0.017,4.05652809939925,15,-0.0150565280993992
0.0175,3.8199152845548,15,-0.0150699152845548
0.018,3.58309380696726,15,-0.0150830938069673
0.0185,3.34606691642144,15,-0.0150960669164214
0.019,3.10883783305184,15,-0.0151088378330518
0.0195,2.8714097284537,15,-0.0151214097284537
0.02,2.63378568856781,15,-0.0151337856885678
0.0205,2.39596876625067,15,-0.0151459687662507
0.021,2.15796197814771,15,-0.0151579619781477
0.0215,1.91976827314779,15,-0.0151697682731478
0.022,1.68139056812582,15,-0.0151813905681258
0.0225,1.44283173566181,15,-0.0151928317356618
0.023,1.20409460691883,15,-0.0152040946069188
0.0235,0.965181946918112,15,-0.0152151819469181
0.024,0.726096489726168,15,-0.0152260964897262
0.0245,0.486840920164079,15,-0.0152368409201641
