"time","delta[1]","delta[2]","delta[3]","R_0[1]","R_0[2]","eta","rho","input_mdot_1[1]","input_mdot_1[2]","input_dp_1[1]","input_dp_1[2]","M_FLOW_1[1]","M_FLOW_1[2]","DP_1[1]","DP_1[2]","input_mdot_2[1]","input_mdot_2[2]","input_mdot_2[3]","input_dp_2[1]","input_dp_2[2]","input_dp_2[3]","M_FLOW_2[1]","M_FLOW_2[2]","M_FLOW_2[3]","DP_2[1]","DP_2[2]","DP_2[3]","frac_RD[1]","frac_RD[2]","velocity_1[1]","velocity_1[2]","Re_1[1]","Re_1[2]","velocity_2[1]","velocity_2[2]","velocity_2[3]","Re_2[1]","Re_2[2]","Re_2[3]","DP_plot_1[1]","DP_plot_1[2]","DP_plot_2[1]","DP_plot_2[2]","DP_plot_2[3]","zeta_TOT_1[1]","zeta_TOT_1[2]","zeta_TOT_2[1]","zeta_TOT_2[2]","zeta_TOT_2[3]","input_DP.y"
0,0.523598775598299,0.785398163397448,1.5707963267949,0.226,1.171,0.001,1000,0.00182604600640708,0.00183998085796682,0.001,0.001,0.00183705362948511,0.00184493255002356,0.001,0.001,0.0018447811337039,0.00184214774787525,0.00183705362948511,0.001,0.001,0.001,0.0018447811337039,0.00184214774787525,0.00183705362948511,0.001,0.001,0.001,2.26,11.71,0.000232499398586321,0.000234273638991909,23.2499398586321,23.4273638991909,0.000234884829081317,0.000234549535983959,0.00023390093268597,23.4884829081317,23.4549535983959,23.390093268597,0.001,0.001,0.001,0.001,0.001,36.9986883467158,36.4404010987283,36.2510058511261,36.354722958739,36.5566245597254,0.001
0.000202,0.523598775598299,0.785398163397448,1.5707963267949,0.226,1.171,0.001,1000,0.6620556550581,0.928182500631071,2.425,2.425,1.00164291281017,1.17430769995912,2.425,2.425,1.48653511350956,1.27639833908294,1.00164291281017,2.425,2.425,2.425,1.48653511350956,1.27639833908294,1.00164291281017,2.425,2.425,2.425,2.26,11.71,0.0842955440835515,0.118179866453465,8429.55440835515,11817.9866453465,0.189271529115775,0.162516084015468,0.127533136629362,18927.1529115775,16251.6084015468,12753.3136629362,2.425,2.425,2.425,2.425,2.425,0.682546905964069,0.347259990352058,0.135385189453185,0.183632285936992,0.298191772374529,2.425
0.000404,0.523598775598299,0.785398163397448,1.5707963267949,0.226,1.171,0.001,1000,0.980799436270834,1.31069063647102,4.849,4.849,1.45131444265005,1.64344970271986,4.849,4.849,2.10664241073299,1.81681886011634,1.45131444265005,4.849,4.849,4.849,2.10664241073299,1.81681886011634,1.45131444265005,4.849,4.849,4.849,2.26,11.71,0.124879262771398,0.1668823149269,12487.9262771398,16688.23149269,0.268226042396146,0.231324561832079,0.184787094022732,26822.6042396146,23132.4561832079,18478.7094022732,4.849,4.849,4.849,4.849,4.849,0.621872750898244,0.348226284308354,0.134797021571429,0.181233585833013,0.284013450566241,4.849
0.000606,0.523598775598299,0.785398163397448,1.5707963267949,0.226,1.171,0.001,1000,1.21100797479016,1.55796219753786,7.273,7.273,1.74942385998936,1.98798169280406,7.273,7.273,2.55545271186828,2.16384809945879,1.74942385998936,7.273,7.273,7.273,2.55545271186828,2.16384809945879,1.74942385998936,7.273,7.273,7.273,2.26,11.71,0.154190324249247,0.198365907910769,15419.0324249247,19836.5907910769,0.32537034474514,0.275509696903095,0.222743563904169,32537.034474514,27550.9696903095,22274.3563904169,7.273,7.273,7.273,7.273,7.273,0.611827987906868,0.369666005369766,0.137400289665455,0.191632782359084,0.293179267222326,7.273
0.000808,0.523598775598299,0.785398163397448,1.5707963267949,0.226,1.171,0.001,1000,1.38726412061957,1.73673318836594,9.697,9.697,1.96932124963254,2.33040314727686,9.697,9.697,3.01147602923517,2.45088548767834,1.96932124963254,9.697,9.697,9.697,3.01147602923517,2.45088548767834,1.96932124963254,9.697,9.697,9.697,2.26,11.71,0.176631953736509,0.22112773740815,17663.1953736509,22112.773740815,0.383433036844424,0.312056432252958,0.250741769131941,38343.3036844424,31205.6432252958,25074.1769131941,9.697,9.697,9.697,9.697,9.697,0.621625534744516,0.39662578699049,0.131913223393979,0.199159539533324,0.308470771592473,9.697
0.00101,0.523598775598299,0.785398163397448,1.5707963267949,0.226,1.171,0.001,1000,1.52892012820037,1.90653497428725,12.121,12.121,2.14003355843098,2.63613442743637,12.121,12.121,3.42000855208253,2.78238238771117,2.14003355843098,12.121,12.121,12.121,3.42000855208253,2.78238238771117,2.14003355843098,12.121,12.121,12.121,2.26,11.71,0.194668156796627,0.242747572268316,19466.8156796627,24274.7572268316,0.435449013184392,0.35426392846085,0.272477535365463,43544.9013184392,35426.392846085,27247.7535365463,12.121,12.121,12.121,12.121,12.121,0.639703332679666,0.411394666011306,0.127847966740602,0.193158835456643,0.326517935770285,12.121
0.001212,0.523598775598299,0.785398163397448,1.5707963267949,0.226,1.171,0.001,1000,1.64673608616449,2.10734318788716,14.545,14.545,2.30017593961177,2.91548491353947,14.545,14.545,3.79425373454456,3.08780687302927,2.30017593961177,14.545,14.545,14.545,3.79425373454456,3.08780687302927,2.30017593961177,14.545,14.545,14.545,2.26,11.71,0.209668950464704,0.26831526811462,20966.8950464704,26831.526811462,0.483099389758121,0.393151781724589,0.292867496616206,48309.9389758121,39315.1781724589,29286.7496616206,14.545,14.545,14.545,14.545,14.545,0.661721855299804,0.404066595650742,0.124643817979635,0.188201562560393,0.339157457846844,14.545
0.001414,0.523598775598299,0.785398163397448,1.5707963267949,0.226,1.171,0.001,1000,1.74652867063704,2.29466920640414,16.969,16.969,2.50288618401028,3.17464829235639,16.969,16.969,4.14218018763319,3.3718107291038,2.50288618401028,16.969,16.969,16.969,4.14218018763319,3.3718107291038,2.50288618401028,16.969,16.969,16.969,2.26,11.71,0.222374936946882,0.29216635756798,22237.4936946882,29216.635756798,0.527398761631309,0.429312275765726,0.318677366545317,52739.8761631309,42931.2275765726,31867.7366545317,16.969,16.969,16.969,16.969,16.969,0.68630090160429,0.397581193270523,0.122013541784749,0.184136392977188,0.334182578830095,16.969
0.001616,0.523598775598299,0.785398163397448,1.5707963267949,0.226,1.171,0.001,1000,1.83192344818617,2.47034761786361,19.393,19.393,2.70265044615669,3.41769734159938,19.393,19.393,4.46904441254861,3.63866780611777,2.70265044615669,19.393,19.393,19.393,4.46904441254861,3.63866780611777,2.70265044615669,19.393,19.393,19.393,2.26,11.71,0.233247737715823,0.314534427630626,23324.7737715823,31453.4427630626,0.569016407323461,0.463289574090388,0.344112142364282,56901.6407323462,46328.9574090388,34411.2142364282,19.393,19.393,19.393,19.393,19.393,0.712918874412067,0.392047434478231,0.119791337683371,0.180704904258345,0.327548034893724,19.393
0.001818,0.523598775598299,0.785398163397448,1.5707963267949,0.226,1.171,0.001,1000,1.90677307019617,2.63643918097323,21.817,21.817,2.89191057159707,3.64748309709267,21.817,21.817,4.77853569599006,3.89137851023186,2.89191057159707,21.817,21.817,21.817,4.77853569599006,3.89137851023186,2.89191057159707,21.817,21.817,21.817,2.26,11.71,0.242777887580984,0.33568186225043,24277.7887580984,33568.186225043,0.608422061406311,0.495465700275981,0.368209489959506,60842.2061406311,49546.5700275981,36820.9489959506,21.817,21.817,21.817,21.817,21.817,0.740298331766192,0.38723024915087,0.117873212771802,0.177745182045398,0.321836333782827,21.817
0.00202,0.523598775598299,0.785398163397448,1.5707963267949,0.226,1.171,0.001,1000,1.97841909549492,2.7944544756624,24.241,24.241,3.07229873866065,3.86609542868763,24.241,24.241,5.07336437144062,4.13214758491285,3.07229873866065,24.241,24.241,24.241,5.07336437144062,4.13214758491285,3.07229873866065,24.241,24.241,24.241,2.26,11.71,0.25190014284433,0.355800994437553,25190.014284433,35580.0994437553,0.645960814256865,0.526121370979294,0.39117722473027,64596.0814256865,52612.1370979294,39117.722473027,24.241,24.241,24.241,24.241,24.241,0.764053377182216,0.38297128507519,0.116189847211379,0.175149394770554,0.316835185163679,24.241
