"time","Th","Ts","h2","s2"
0,300,300,27020.0037756874,259.934963703563
0.0002,300.040362535408,300.030899064744,27060.6323685579,260.038634153367
0.0004,300.080725011749,300.061801277379,27101.2609614281,260.142304603174
0.0006,300.121087428973,300.092706638196,27141.8895542987,260.245975052977
0.0008,300.161449787028,300.123615147486,27182.5181471687,260.349645502779
0.001,300.201812085861,300.154526805539,27223.1467400393,260.45331595259
0.0012,300.24217432542,300.185441612644,27263.7753329095,260.556986402395
0.0014,300.282536505654,300.216359569093,27304.4039257797,260.660656852198
0.0016,300.322898626511,300.247280675175,27345.0325186499,260.764327302002
0.0018,300.363260687938,300.278204931181,27385.6611115204,260.867997751809
0.002,300.403622689886,300.3091323374,27426.289704391,260.971668201611
0.0022,300.4439846323,300.340062894124,27466.9182972612,261.075338651415
0.0024,300.484346515131,300.370996601644,27507.5468901319,261.179009101224
0.0026,300.524708338324,300.401933460248,27548.1754830021,261.282679551027
0.0028,300.565070101829,300.43287347023,27588.8040758728,261.386350000832
0.003,300.605431805594,300.463816631876,27629.432668743,261.490020450638
0.0032,300.645793449567,300.494762945478,27670.0612616132,261.593690900442
0.0034,300.686155033696,300.525712411329,27710.6898544836,261.697361350248
0.0036,300.72651655793,300.556665029716,27751.3184473538,261.801031800052
0.0038,300.766878022216,300.587620800931,27791.9470402242,261.904702249857
0.004,300.807239426502,300.618579725264,27832.5756330944,262.008372699664
0.0042,300.847600770736,300.649541803005,27873.2042259651,262.112043149467
0.0044,300.887962054868,300.680507034446,27913.8328188355,262.215713599274
0.0046,300.928323278843,300.711475419877,27954.4614117055,262.319384049079
0.0048,300.968684442612,300.742446959588,27995.0900045759,262.42305449888
0.005,301.009045546121,300.77342165387,28035.7185974459,262.526724948689
0.0052,301.04940658932,300.804399503012,28076.3471903163,262.630395398493
0.0054,301.089767572156,300.835380507306,28116.9757831877,262.734065848295
0.0056,301.130128494577,300.866364667044,28157.6043760572,262.837736298102
0.0058,301.170489356532,300.897351982513,28198.2329689283,262.941406747906
0.006,301.210850157966,300.928342454007,28238.861561798,263.045077197713
0.0062,301.251210898832,300.959336081814,28279.4901546685,263.148747647516
0.0064,301.291571579075,300.990332866226,28320.1187475394,263.252418097321
0.0066,301.331932198643,301.021332807533,28360.7473404096,263.356088547125
0.0068,301.372292757485,301.052335906027,28401.3759332797,263.459758996933
0.007,301.412653255549,301.083342161997,28442.0045261499,263.563429446735
0.0072,301.453013692782,301.114351575733,28482.6331190199,263.66709989654
0.0074,301.493374069135,301.145364147529,28523.261711891,263.770770346347
0.0076,301.533734384552,301.176379877673,28563.890304761,263.874440796153
0.0078,301.574094638984,301.207398766455,28604.5188976319,263.978111245955
