"time","massFlowRate.m_flow","volumeFlowRate.V_flow","simpleGenericOrifice.port_b.m_flow","simpleGenericOrifice.port_b.p","simpleGenericOrifice.port_b.h_outflow"
0,0,0,-0,101325,209412.941376983
0.000202,0.00126920309129513,2.15948149366869e-06,-0.00126920309129513,101325,209412.94138053
0.000404,0.00253840413806001,3.74277632962771e-06,-0.00253840413806001,101325,209412.941384077
0.000606,0.00380760109576771,4.9926888177295e-06,-0.00380760109576771,101325,209412.941387625
0.000808,0.00507679191989786,6.05844331086466e-06,-0.00507679191989786,101325,209412.941391173
0.00101,0.00634597456593999,7.0417838621536e-06,-0.00634597456593999,101325,209412.941394721
0.001212,0.00761514698939678,8.02216580069692e-06,-0.00761514698939678,101325,209412.941398269
0.001414,0.00888430714578741,9.07334452875256e-06,-0.00888430714578741,101325,209412.941401818
0.001616,0.0101534529906508,1.02763265370669e-05,-0.0101534529906508,101325,209412.941405367
0.001818,0.0114225824795489,1.15608145883527e-05,-0.0114225824795489,101325,209412.941408917
0.00202,0.01269169356807,1.28452840165877e-05,-0.01269169356807,101325,209412.941412467
0.002222,0.0139607842118322,1.41297327526493e-05,-0.0139607842118322,101325,209412.941416018
0.002424,0.0152298523664863,1.54141587274485e-05,-0.0152298523664863,101325,209412.94141957
0.002626,0.0164988959877195,1.66985598719328e-05,-0.0164988959877195,101325,209412.941423122
0.002828,0.0177679130312583,1.79829341170899e-05,-0.0177679130312583,101325,209412.941426676
0.00303,0.0190369014528723,1.92672793939505e-05,-0.0190369014528723,101325,209412.94143023
0.003232,0.0203058592083769,2.05515936335923e-05,-0.0203058592083769,101325,209412.941433785
0.003434,0.0215747842536373,2.18358747671428e-05,-0.0215747842536373,101325,209412.941437342
0.003636,0.022843674544571,2.31201207257829e-05,-0.022843674544571,101325,209412.941440899
0.003838,0.0241125280371517,2.44043294407502e-05,-0.0241125280371517,101325,209412.941444458
0.00404,0.0253813426874123,2.56884988433421e-05,-0.0253813426874123,101325,209412.941448018
0.004242,0.0266501164514483,2.69726268649196e-05,-0.0266501164514483,101325,209412.941451579
0.004444,0.027918847285421,2.82567114369103e-05,-0.027918847285421,101325,209412.941455142
0.004646,0.029187533145561,2.95407504908115e-05,-0.029187533145561,101325,209412.941458706
0.004848,0.0304561719881712,3.08247419581942e-05,-0.0304561719881712,101325,209412.941462272
0.00505,0.0317247617696303,3.21086837707059e-05,-0.0317247617696303,101325,209412.94146584
0.005252,0.032993300446396,3.33925738600741e-05,-0.032993300446396,101325,209412.941469409
0.005454,0.0342617859750084,3.46764101581095e-05,-0.0342617859750084,101325,209412.94147298
0.005656,0.0355302163120932,3.59601905967097e-05,-0.0355302163120932,101325,209412.941476552
0.005858,0.0367985894143648,3.7243913107862e-05,-0.0367985894143648,101325,209412.941480127
0.00606,0.0380669032386302,3.85275756236473e-05,-0.0380669032386302,101325,209412.941483704
0.006262,0.0393351557417915,3.9811176076243e-05,-0.0393351557417915,101325,209412.941487282
0.006464,0.0406033448808498,4.10947123979263e-05,-0.0406033448808498,101325,209412.941490863
0.006666,0.0418714686129082,4.23781825210781e-05,-0.0418714686129082,101325,209412.941494446
0.006868,0.0431395248951751,4.36615843781856e-05,-0.0431395248951751,101325,209412.941498031
0.00707,0.0444075116849678,4.49449159018462e-05,-0.0444075116849678,101325,209412.941501619
0.007272,0.0456754269397152,4.62281750247704e-05,-0.0456754269397152,101325,209412.941505209
0.007474,0.0469432686169617,4.75113596797854e-05,-0.0469432686169617,101325,209412.941508801
0.007676,0.0482110346743702,4.87944677998385e-05,-0.0482110346743702,101325,209412.941512397
0.007878,0.0494787230697252,5.00774973180001e-05,-0.0494787230697252,101325,209412.941515994
0.00808,0.0507463317609364,5.13604461674672e-05,-0.0507463317609364,101325,209412.941519595
0.008282,0.0520138587060422,5.2643312281567e-05,-0.0520138587060422,101325,209412.941523198
0.008484,0.0532813018632122,5.39260935937597e-05,-0.0532813018632122,101325,209412.941526804
0.008686,0.0545486591907513,5.52087880376422e-05,-0.0545486591907513,101325,209412.941530413
0.008888,0.0558159286471025,5.64913935469515e-05,-0.0558159286471025,101325,209412.941534025
0.00909,0.0570831081908504,5.77739080555675e-05,-0.0570831081908504,101325,209412.941537641
0.009292,0.0583501957807245,5.90563294975171e-05,-0.0583501957807245,101325,209412.941541259
0.009494,0.0596171893756024,6.03386558069767e-05,-0.0596171893756024,101325,209412.941544881
0.009696,0.060884086934513,6.16208849182764e-05,-0.060884086934513,101325,209412.941548506
0.009898,0.0621508864166401,6.29030147659025e-05,-0.0621508864166401,101325,209412.941552134
0.0101,0.0634175857813252,6.41850432845015e-05,-0.0634175857813252,101325,209412.941555766
