"time","inertia2.s","inertia2.v","mass1.s","mass1.v"
0,0,0,0,0
0.0005,-1.23750008017846e-06,-0.00494999715908164,-1.23750008017846e-06,-0.00494999715908164
0.001,-4.94999169644899e-06,-0.0098999772732889,-4.94999169644899e-06,-0.0098999772732889
0.0015,-1.11374499994224e-05,-0.0148499214581656,-1.11374499994224e-05,-0.0148499214581656
0.002,-1.97998564056898e-05,-0.0197998181896433,-1.97998564056898e-05,-0.0197998181896433
0.0025,-3.09371561237612e-05,-0.0247496517806447,-3.09371561237612e-05,-0.0247496517806447
0.003,-4.45491886463807e-05,-0.0296993716858772,-4.45491886463807e-05,-0.0296993716858772
0.0035,-6.06360334857739e-05,-0.0346490029445121,-6.06360334857739e-05,-0.0346490029445121
0.004,-7.91976906419409e-05,-0.0395985455565497,-7.91976906419409e-05,-0.0395985455565497
0.0045,-0.000100234160114882,-0.0445479995219897,-0.000100234160114882,-0.0445479995219897
0.005,-0.000123745089643215,-0.0494972911664763,-0.000123745089643215,-0.0494972911664763
0.0055,-0.000149730461936447,-0.0544464168737571,-0.000149730461936447,-0.0544464168737571
0.006,-0.000178190439056515,-0.0593954105385747,-0.000178190439056515,-0.0593954105385747
0.0065,-0.000209125021003418,-0.0643442721609292,-0.000209125021003418,-0.0643442721609292
0.007,-0.000242534207777156,-0.0692930017408204,-0.000242534207777156,-0.0692930017408204
0.0075,-0.000278416969618939,-0.0742414356425404,-0.000278416969618939,-0.0742414356425404
0.008,-0.000316773917111566,-0.0791896708918681,-0.000316773917111566,-0.0791896708918681
0.0085,-0.000357605087919835,-0.084137713473997,-0.000357605087919835,-0.084137713473997
0.009,-0.000400910482043744,-0.0890855633889272,-0.000400910482043744,-0.0890855633889272
0.0095,-0.000446689739244286,-0.0940331776840614,-0.000446689739244286,-0.0940331776840614
0.01,-0.000494941941822305,-0.0989804469388167,-0.000494941941822305,-0.0989804469388167
0.0105,-0.000545667842150239,-0.103927460861275,-0.000545667842150239,-0.103927460861275
0.011,-0.000598867440228089,-0.108874219451436,-0.000598867440228089,-0.108874219451436
0.0115,-0.000654540736055855,-0.113820722709299,-0.000654540736055855,-0.113820722709299
0.012,-0.000712686975521544,-0.118766905931339,-0.000712686975521544,-0.118766905931339
0.0125,-0.000773305776558874,-0.123712736335902,-0.000773305776558874,-0.123712736335902
0.013,-0.000836397367860303,-0.12865823354502,-0.000836397367860303,-0.12865823354502
0.0135,-0.000901961604841753,-0.133603385153242,-0.000901961604841753,-0.133603385153242
0.014,-0.000969998342919149,-0.138548178755116,-0.000969998342919149,-0.138548178755116
0.0145,-0.00104050743750841,-0.143492601945191,-0.00104050743750841,-0.143492601945191
0.015,-0.00111348874402547,-0.148436642318014,-0.00111348874402547,-0.148436642318014
0.0155,-0.00118894211788624,-0.153380287468135,-0.00118894211788624,-0.153380287468135
0.016,-0.00126686741450665,-0.158323524990101,-0.00126686741450665,-0.158323524990101
0.0165,-0.00134726422619396,-0.163266334461093,-0.00134726422619396,-0.163266334461093
0.017,-0.00143013155721792,-0.168208677539785,-0.00143013155721792,-0.168208677539785
0.0175,-0.00151546993193902,-0.173150562204606,-0.00151546993193902,-0.173150562204606
0.018,-0.00160327915648768,-0.178091974548291,-0.00160327915648768,-0.178091974548291
0.0185,-0.00169355903699432,-0.183032900663576,-0.00169355903699432,-0.183032900663576
0.019,-0.00178630937958939,-0.187973326643196,-0.00178630937958939,-0.187973326643196
0.0195,-0.0018815299904033,-0.192913238579887,-0.0018815299904033,-0.192913238579887
0.02,-0.00197922067556649,-0.197852622566384,-0.00197922067556649,-0.197852622566384
0.0205,-0.00207938124120939,-0.202791464695423,-0.00207938124120939,-0.202791464695423
0.021,-0.00218201149346242,-0.207729751059739,-0.00218201149346242,-0.207729751059739
0.0215,-0.00228710954558334,-0.212667466909504,-0.00228710954558334,-0.212667466909504
0.022,-0.00239467608939171,-0.217604598778273,-0.00239467608939171,-0.217604598778273
0.0225,-0.00250471108569255,-0.222541132835764,-0.00250471108569255,-0.222541132835764
0.023,-0.00261721428253192,-0.227477055145803,-0.00261721428253192,-0.227477055145803
0.0235,-0.00273218542795589,-0.232412351772217,-0.00273218542795589,-0.232412351772217
0.024,-0.00284962427001053,-0.237347008778832,-0.00284962427001053,-0.237347008778832
0.0245,-0.00296953055674191,-0.242281012229473,-0.00296953055674191,-0.242281012229473
0.025,-0.00309190403619609,-0.247214348187968,-0.00309190403619609,-0.247214348187968
0.0255,-0.00321674445641914,-0.252147002718142,-0.00321674445641914,-0.252147002718142
0.026,-0.00334404976058183,-0.257078967320104,-0.00334404976058183,-0.257078967320104
0.0265,-0.00347381892181104,-0.262010230391737,-0.00347381892181104,-0.262010230391737
0.027,-0.00360605305260616,-0.266940773887133,-0.00360605305260616,-0.266940773887133
0.0275,-0.00374075178922696,-0.27187058420682,-0.00374075178922696,-0.27187058420682
0.028,-0.00387791476793323,-0.276799647751325,-0.00387791476793323,-0.276799647751325
0.0285,-0.00401754162498475,-0.281727950921173,-0.00401754162498475,-0.281727950921173
0.029,-0.00415963199664132,-0.28665548011689,-0.00415963199664132,-0.28665548011689
0.0295,-0.00430418551916271,-0.291582221739004,-0.00430418551916271,-0.291582221739004
0.03,-0.00445120182880872,-0.29650816218804,-0.00445120182880872,-0.29650816218804
0.0305,-0.00460068056183912,-0.301433287864526,-0.00460068056183912,-0.301433287864526
