"time","cp[1]","cp[2]","cp[3]","eta[1]","eta[2]","eta[3]","lambda[1]","lambda[2]","lambda[3]","rho[1]","rho[2]","rho[3]","m_flow[1]","m_flow[2]","m_flow[3]","Re_1[1]","Re_1[2]","Re_1[3]","Nu_1[1]","Nu_1[2]","Nu_1[3]","Nu_2[1]","Nu_2[2]","Nu_2[3]","Nu_3[1]","Nu_3[2]","Nu_3[3]","Nu_4[1]","Nu_4[2]","Nu_4[3]","Re","Pr[1]","Pr[2]","Pr[3]","input_mflow_0.y","input_mflow_1.y","input_mflow_2.y"
0,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0,0,0,0,0,0,3.66,3.66,3.66,4.364,4.364,4.364,3.66,3.66,3.66,4.364,4.364,4.364,0,0.714973919813157,7.01036324143693,996.999224806202,0,0,0
0.000202,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.0003232,0.017747649122807,2.02,225.609112312722,225.609112312722,225.609112312722,4.44804632810403,8.28112251462515,44.8967752759775,5.48222844683705,10.2340968926377,54.539094390286,4.7972922168265,9.25862603854879,49.69302323598,6.08409138934638,11.8512340006405,62.7016498998625,225.609112312722,0.714973919813157,7.01036324143693,996.999224806202,2.02,0.0012692034320162,0.201796117304121
0.000404,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.0006464,0.035495298245614,4.04,451.218224625444,451.218224625444,451.218224625444,5.15476646777321,10.456669838956,56.7431603796597,6.38712337363787,12.8766750949305,68.8649961295686,5.85121868055272,12.1235852285465,64.935744619022,7.55673463996654,15.6203687731321,82.6691217826042,451.218224625444,0.714973919813157,7.01036324143693,996.999224806202,4.04,0.00253840686382795,0.403185017878649
0.000606,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.0009696,0.0532429473684211,6.06,676.827336938165,676.827336938166,676.827336938165,5.73659090768293,12.0115335264068,65.0540413389049,7.11444775027259,14.7612245280206,78.9153257323389,6.73260555040787,14.2705020956853,76.213805693311,8.76844695492231,18.4650710586084,97.5892991634711,676.827336938165,0.714973919813157,7.01036324143693,996.999224806202,6.06,0.00380761029523079,0.604167523471144
0.000808,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.0012928,0.0709905964912281,8.08,902.436449250887,902.436449250887,902.436449250887,6.23358517552184,13.2583855484071,71.6706106076803,7.72926085957071,16.2712784220949,86.9167078914801,7.49730690683689,16.052977937497,85.5374573583183,9.81422316627613,20.8385341034195,109.996869102616,902.436449250887,0.714973919813157,7.01036324143693,996.999224806202,8.08,0.00507681372602027,0.804744454170891
0.00101,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.001616,0.0887382456140351,10.1,1128.04556156361,1128.04556156361,1128.04556156361,6.67022104245624,14.3154050821679,77.2581829065224,8.26631610469242,17.5509231996033,93.6737204663987,8.17932618366438,17.6065963954245,93.6479462987099,10.7451591131146,22.9147570186206,120.834231743382,1128.04556156361,0.714973919813157,7.01036324143693,996.999224806202,10.1,0.00634601715599194,1.00491662841227
0.001212,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.0019392,0.106485894736842,12.12,1353.65467387633,1353.65467387633,1353.65467387633,7.06166450503742,15.2416023303963,82.1424401751962,8.74606784245554,18.671927990346,99.5802141648129,8.79949075204155,18.9999285808146,100.913969421759,11.5911745557514,24.7819978108389,130.572965062051,1353.65467387633,0.714973919813157,7.01036324143693,996.999224806202,12.12,0.00761522058494135,1.20468486297811
0.001414,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.0022624,0.124233543859649,14.14,1579.26378618905,1579.26378618905,1579.26378618905,7.41788346910117,16.0711936441976,86.5100716675243,9.18159499279468,19.6758510443328,104.861953437351,9.3713768911876,20.2731934336113,107.549775901346,12.3713334258652,26.4921770205065,139.488415426949,1579.26378618905,0.714973919813157,7.01036324143693,996.999224806202,14.14,0.00888442401266403,1.404049973003
0.001616,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.0025856,0.141981192982456,16.16,1804.87289850177,1804.87289850177,1804.87289850177,7.74577889083009,16.8259975208536,90.4792292663336,9.58179949614419,20.5891699347484,109.661819705813,9.90433609783853,21.4523061705528,113.692604519135,13.0985932858534,28.0788429973936,147.757659633242,1804.87289850177,0.714973919813157,7.01036324143693,996.999224806202,16.16,0.0101536274389555,1.60301277197659
0.001818,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.0029088,0.159728842105263,18.18,2030.4820108145,2030.4820108145,2030.4820108145,8.05033438397558,17.5208798579077,94.1299864844733,9.95303641452258,21.4299144368709,114.076645929652,10.4051027578584,22.555094204352,119.436481710279,13.7822066672231,29.5651327910397,155.502430226024,2030.4820108145,0.714973919813157,7.01036324143693,996.999224806202,18.18,0.0114228308636114,1.80157407174697
