"time","Inertia.phi","Inertia.w"
0,0.001,0
0.0001,0.0010000470202952483,0.00094039845176100085
0.00020000000000000001,0.0010001880895382075,0.0018809104483957831
0.00030000000000000003,0.0010004232243104147,0.0028216177722200112
0.00040000000000000002,0.0010007524564641941,0.0037626196829393947
0.00050000000000000001,0.0010011758281087881,0.0047039946858268645
0.00060000000000000006,0.0010016934489037541,0.005645952247364922
0.00069999999999999999,0.001002305284321143,0.006588425749815518
0.00080000000000000004,0.0010030113932514718,0.0075314931622286734
0.00090000000000000008,0.0010038119289277265,0.0084753573598876902
0.001,0.0010047067950008919,0.0094198907799599614
0.0011000000000000001,0.0010056962317263349,0.010365357623263738
0.0012000000000000001,0.0010067803161328437,0.011311842595789059
0.0013000000000000002,0.0010079589563559597,0.012259244677253296
0.0014,0.001009232652476023,0.013207991684948441
0.0015,0.0010106011847756109,0.014157895651251513
0.0016000000000000001,0.0010120647196309202,0.015109072695397423
0.0017000000000000001,0.0010136236496075229,0.016061798051927263
0.0018000000000000002,0.0010152777508254261,0.017015914754689686
0.0019,0.0010170273613858243,0.017971608989065451
0.002,0.001018872733579593,0.018929019686456192
0.0021000000000000003,0.0010208139239689265,0.01988817799450044
0.0022000000000000001,0.001022851081776767,0.020849166087206317
0.0023,0.0010249843562260561,0.021812066138581939
0.0024000000000000002,0.001027214018523262,0.022776992391129965
0.0025000000000000001,0.0010295404467722479,0.023744087189824542
0.0026000000000000003,0.0010319636814030439,0.024713404107886448
0.0027000000000000001,0.0010344839134089115,0.025685036300406843
0.0028,0.0010371013337831098,0.026659076922476901
0.0029000000000000002,0.0010398161581330872,0.027635619229504284
0.0030000000000000001,0.0010426290696559986,0.028614758382584739
0.0031000000000000003,0.0010455400168929555,0.029596586548682097
0.0032000000000000002,0.0010485492339083497,0.030581197058426345
0.0033,0.0010516569547665733,0.031568683242447444
0.0034000000000000002,0.0010548634135320173,0.032559138431375395
0.0035000000000000001,0.0010581695735444952,0.033552662116589319
0.0036000000000000003,0.0010615756386690405,0.034549347373602053
0.0037000000000000002,0.0010650817420865607,0.035549286680803351
0.0038,0.0010686882025938659,0.036552574084622966
0.0039000000000000003,0.0010723953389877661,0.03755930363149064
0.0040000000000000001,0.0010762034700650719,0.038569569367836114
0.0041000000000000003,0.0010801129146225939,0.039583465340089136
0.0042000000000000006,0.0010841239914571412,0.040601085594679447
0.0043,0.0010882370193655247,0.041622524178036795
0.0044000000000000003,0.0010924523171445548,0.042647875136590914
0.0045000000000000005,0.0010967703734067248,0.043677239515717038
0.0045999999999999999,0.0011011927238468216,0.04471076151623822
0.0047000000000000002,0.0011057187573415858,0.045748496857971936
0.0048000000000000004,0.0011103488384614402,0.046790541473905253
0.0048999999999999998,0.0011150833317768083,0.047836991297025219
0.0050000000000000001,0.0011199226018581135,0.048887942260318916
0.0051000000000000004,0.0011248670132757786,0.049943490296773412
0.0052000000000000006,0.0011299169306002268,0.051003731339375767
0.0053,0.0011350727184018807,0.052068761321113023
0.0054000000000000003,0.0011403347412511646,0.053138676174972296
0.0055000000000000005,0.0011457033637185014,0.054213571833940613
0.0055999999999999999,0.0011511807027089899,0.055293605564631282
0.0057000000000000002,0.001156767792763459,0.056378896749726785
0.0058000000000000005,0.0011624636124882609,0.057469492811959032
0.0058999999999999999,0.0011682686118974818,0.058565492674936506
0.0060000000000000001,0.0011741832410052068,0.05966699526226777
0.0061000000000000004,0.0011802079498255229,0.060774099497561317
0.0062000000000000006,0.0011863431883725149,0.061886904304425651
0.0063,0.0011925894066602692,0.063005508606469307
0.0064000000000000003,0.0011989470547028719,0.064130011327300812
0.0065000000000000006,0.0012054165825144084,0.065260511390528658
0.0066,0.0012120023839934625,0.066397283048440711
0.0067000000000000002,0.0012187023634671365,0.067540312054004473
0.0068000000000000005,0.0012255169037289407,0.068689694342481594
0.0069000000000000008,0.0012324465669943266,0.069845533825486
0.0070000000000000001,0.0012394919154787465,0.071007934414631699
0.0071000000000000004,0.0012466535113976522,0.072177000021532656
0.0072000000000000007,0.001253931916966496,0.073352834557802782
0.0073000000000000001,0.0012613276944007294,0.074535541935056043
0.0074000000000000003,0.001268841405915805,0.075725226064906476
0.0075000000000000006,0.0012764748467276811,0.076922056607137551
0.0076,0.0012842299514263644,0.078126210653475081
0.0077000000000000002,0.0012921057432160709,0.079337710049734014
0.0078000000000000005,0.0013001028816982357,0.080556663900510903
0.0079000000000000008,0.0013082220264742956,0.081783181310402339
0.0080000000000000002,0.001316463837145686,0.083017371384004876
0.0080999999999999996,0.0013248289733138439,0.084259343225915134
0.0082000000000000007,0.0013333180945802054,0.08550920594072968
0.0083000000000000001,0.0013419318605462061,0.086767068633045077
0.0084000000000000012,0.0013506735188482026,0.088033194478985444
0.0085000000000000006,0.001359542802075497,0.089307637396034312
0.0086,0.0013685398936466131,0.090590478140550781
0.0087000000000000011,0.0013776655637925033,0.091881832403154839
0.0088000000000000005,0.0013869205827441204,0.093181815874466473
0.0088999999999999999,0.0013963057207324174,0.094490544245105695
0.0090000000000000011,0.0014058217479883462,0.095808133205692508
0.0091000000000000004,0.0014154694347428599,0.097134698446846884
0.0091999999999999998,0.0014252499996567595,0.098470384817065937
0.009300000000000001,0.0014351662347040317,0.099815439465067476
0.0094000000000000004,0.001445217366092987,0.10116987768578517
0.0094999999999999998,0.0014554042586687366,0.10253382132185589
0.0096000000000000009,0.0014657277772763913,0.10390739221591651
0.0097000000000000003,0.0014761887867610608,0.10529071221060386
0.0097999999999999997,0.0014867881519678564,0.10668390314855482
