"time","rho_a","rho_b","mu_a","mu_b","dp","m_flow1","m_flow2","der_m_flow1"
0,0.1,0.2,0.01,0.08,-1,-0.00782504603312092,-0.000174530970543459,-0.00586878452484069
0.0006,0.1006,0.2003,0.01006,0.08012,-0.9994,-0.00782856299221824,-0.000174600254623454,-0.0058544156945244
0.0012,0.1012,0.2006,0.01012,0.08024,-0.9988,-0.0078320713358201,-0.000174668637162233,-0.0058400661929486
0.0018,0.1018,0.2009,0.01018,0.08036,-0.9982,-0.00783557107549915,-0.000174736123536712,-0.00582573593821254
0.0024,0.1024,0.2012,0.01024,0.08048,-0.9976,-0.00783906222277902,-0.000174802719081124,-0.0058114248488097
0.003,0.103,0.2015,0.0103,0.0806,-0.997,-0.00784254478913456,-0.000174868429087431,-0.00579713284362508
0.0036,0.1036,0.2018,0.01036,0.08072,-0.9964,-0.00784601878599206,-0.000174933258805753,-0.00578285984193256
0.0042,0.1042,0.2021,0.01042,0.08084,-0.9958,-0.00784948422472951,-0.000174997213444772,-0.00576860576339226
0.0048,0.1048,0.2024,0.01048,0.08096,-0.9952,-0.00785294111667677,-0.000175060298172145,-0.00575437052804792
0.0054,0.1054,0.2027,0.01054,0.08108,-0.9946,-0.00785638947311589,-0.000175122518114907,-0.00574015405632433
0.006,0.106,0.203,0.0106,0.0812,-0.994,-0.00785982930528124,-0.000175183878359868,-0.0057259562690247
0.0066,0.1066,0.2033,0.01066,0.08132,-0.9934,-0.00786326062435983,-0.000175244383954007,-0.0057117770873282
0.0072,0.1072,0.2036,0.01072,0.08144,-0.9928,-0.00786668344149146,-0.000175304039904861,-0.00569761643278734
0.0078,0.1078,0.2039,0.01078,0.08156,-0.9922,-0.00787009776776899,-0.000175362851180912,-0.00568347422732552
0.0084,0.1084,0.2042,0.01084,0.08168,-0.9916,-0.00787350361423853,-0.000175420822711965,-0.0056693503932345
0.009,0.109,0.2045,0.0109,0.0818,-0.991,-0.00787690099189968,-0.000175477959389522,-0.00565524485317196
0.0096,0.1096,0.2048,0.01096,0.08192,-0.9904,-0.00788028991170574,-0.000175534266067157,-0.00564115753015903
0.0102,0.1102,0.2051,0.01102,0.08204,-0.9898,-0.00788367038456395,-0.000175589747560884,-0.00562708834757785
0.0108,0.1108,0.2054,0.01108,0.08216,-0.9892,-0.00788704242133567,-0.000175644408649512,-0.00561303722916917
0.0114,0.1114,0.2057,0.01114,0.08228,-0.9886,-0.00789040603283661,-0.000175698254075013,-0.00559900409902997
0.012,0.112,0.206,0.0112,0.0824,-0.988,-0.00789376122983704,-0.000175751288542871,-0.00558498888161105
0.0126,0.1126,0.2063,0.01126,0.08252,-0.9874,-0.00789710802306204,-0.000175803516722433,-0.0055709915017147
0.0132,0.1132,0.2066,0.01132,0.08264,-0.9868,-0.00790044642319163,-0.000175854943247257,-0.00555701188449234
0.0138,0.1138,0.2069,0.01138,0.08276,-0.9862,-0.00790377644086106,-0.000175905572715453,-0.00554304995544222
0.0144,0.1144,0.2072,0.01144,0.08288,-0.9856,-0.00790709808666097,-0.000175955409690022,-0.00552910564040712
0.015,0.115,0.2075,0.0115,0.083,-0.985,-0.00791041137113759,-0.00017600445869919,-0.00551517886557205
