"time","medium.T","medium.p"
0,300,100000
0.0002,300.000665503524,100000.399916935
0.0004,300.001331004667,100000.799833867
0.0006,300.00199650343,100001.199750795
0.0008,300.002661999813,100001.599667721
0.001,300.003327493817,100001.999584642
0.0012,300.00399298544,100002.399501561
0.0014,300.004658474683,100002.799418477
0.0016,300.005323961546,100003.199335389
0.0018,300.005989446029,100003.599252297
0.002,300.006654928132,100003.999169203
0.0022,300.007320407856,100004.399086105
0.0024,300.007985885199,100004.799003004
0.0026,300.008651360162,100005.1989199
0.0028,300.009316832745,100005.598836793
0.003,300.009982302949,100005.998753682
0.0032,300.010647770772,100006.398670568
0.0034,300.011313236216,100006.79858745
0.0036,300.01197869928,100007.19850433
0.0038,300.012644159964,100007.598421206
0.004,300.013309618269,100007.998338078
0.0042,300.013975074194,100008.398254948
0.0044,300.014640527738,100008.798171814
0.0046,300.015305978903,100009.198088677
0.0048,300.015971427689,100009.598005537
0.005,300.016636874094,100009.997922393
0.0052,300.017302318119,100010.397839246
0.0054,300.017967759765,100010.797756096
0.0056,300.018633199031,100011.197672943
0.0058,300.019298635917,100011.597589786
0.006,300.019964070423,100011.997506626
0.0062,300.02062950255,100012.397423463
0.0064,300.021294932296,100012.797340296
0.0066,300.021960359663,100013.197257126
0.0068,300.022625784653,100013.597173953
0.007,300.023291207263,100013.997090777
0.0072,300.023956627493,100014.397007597
0.0074,300.024622045344,100014.796924414
0.0076,300.025287460815,100015.196841228
0.0078,300.025952873907,100015.596758039
0.008,300.026618284619,100015.996674846
0.0082,300.027283692952,100016.39659165
0.0084,300.027949098905,100016.796508451
0.0086,300.028614502479,100017.196425248
0.0088,300.029279903673,100017.596342042
0.009,300.029945302487,100017.996258833
0.0092,300.030610698922,100018.39617562
0.0094,300.031276092977,100018.796092405
0.0096,300.031941484653,100019.196009186
0.0098,300.03260687395,100019.595925964
0.01,300.033272260866,100019.995842738
0.0102,300.033937645404,100020.395759509
0.0104,300.034603027561,100020.795676277
0.0106,300.035268407339,100021.195593042
0.0108,300.035933784738,100021.595509803
0.011,300.036599159757,100021.995426561
0.0112,300.037264532397,100022.395343316
0.0114,300.037929902656,100022.795260067
0.0116,300.038595270537,100023.195176816
0.0118,300.039260636038,100023.595093561
0.012,300.039925999159,100023.995010302
0.0122,300.040591359901,100024.394927041
0.0124,300.041256718263,100024.794843776
0.0126,300.041922074246,100025.194760508
0.0128,300.042587427849,100025.594677236
0.013,300.043252779073,100025.994593962
0.0132,300.043918127921,100026.394510684
0.0134,300.044583474396,100026.794427402
0.0136,300.045248818491,100027.194344118
0.0138,300.045914160208,100027.59426083
0.014,300.046579499546,100027.994177539
0.0142,300.047244836504,100028.394094244
0.0144,300.047910171084,100028.794010947
0.0146,300.048575503285,100029.193927646
0.0148,300.049240833107,100029.593844341
0.015,300.049906160549,100029.993761034
0.0152,300.050571485613,100030.393677723
0.0154,300.051236808298,100030.793594409
0.0156,300.051902128604,100031.193511092
0.0158,300.052567446531,100031.593427771
0.016,300.053232762079,100031.993344447
0.0162,300.053898075248,100032.39326112
0.0164,300.054563386038,100032.793177789
0.0166,300.055228694449,100033.193094456
0.0168,300.055894000481,100033.593011119
0.017,300.056559304134,100033.992927778
0.0172,300.057224605408,100034.392844435
0.0174,300.057889904303,100034.792761088
0.0176,300.05855520082,100035.192677738
0.0178,300.059220494957,100035.592594384
0.018,300.059885786715,100035.992511028
0.0182,300.060551076094,100036.392427668
0.0184,300.061216363095,100036.792344304
0.0186,300.061881647716,100037.192260938
0.0188,300.062546929959,100037.592177568
0.019,300.063212209822,100037.992094195
0.0192,300.063877487307,100038.392010818
0.0194,300.064542762412,100038.791927439
0.0196,300.065208035139,100039.191844056
0.0198,300.065873305486,100039.59176067
0.02,300.066538573455,100039.99167728
0.0202,300.067203839045,100040.391593887
0.0204,300.067869102255,100040.791510491
0.0206,300.068534363087,100041.191427092
0.0208,300.06919962154,100041.591343689
0.021,300.069864877613,100041.991260283
0.0212,300.070530131308,100042.391176874
0.0214,300.071195382624,100042.791093462
0.0216,300.071860631561,100043.191010046
0.0218,300.072525878119,100043.590926627
0.022,300.073191122298,100043.990843205
0.0222,300.073856364098,100044.390759779
0.0224,300.074521603519,100044.79067635
0.0226,300.075186840561,100045.190592918
0.0228,300.075852075224,100045.590509483
0.023,300.076517307508,100045.990426044
0.0232,300.077182537413,100046.390342602
0.0234,300.077847764939,100046.790259157
0.0236,300.078512990087,100047.190175708
0.0238,300.079178212855,100047.590092257
0.024,300.079843433244,100047.990008802
0.0242,300.080508651254,100048.389925343
0.0244,300.081173866886,100048.789841882
0.0246,300.081839080138,100049.189758417
0.0248,300.082504291012,100049.589674948
0.025,300.083169499506,100049.989591477
0.0252,300.083834705622,100050.389508002
0.0254,300.084499909358,100050.789424524
0.0256,300.085165110716,100051.189341043
0.0258,300.085830309694,100051.589257558
0.026,300.086495506294,100051.98917407
0.0262,300.087160700514,100052.389090579
0.0264,300.087825892392,100052.789007085
0.0266,300.088491081894,100053.188923587
0.0268,300.089156269018,100053.588840086
0.027,300.089821453764,100053.988756581
0.0272,300.090486636133,100054.388673074
0.0274,300.091151816124,100054.788589563
0.0276,300.091816993737,100055.188506049
0.0278,300.092482168972,100055.588422531
0.028,300.093147341829,100055.98833901
0.0282,300.093812512309,100056.388255486
0.0284,300.09447768041,100056.788171959
0.0286,300.095142846134,100057.188088428
0.0288,300.09580800948,100057.588004895
0.029,300.096473170449,100057.987921357
0.0292,300.097138329039,100058.387837817
0.0294,300.097803485252,100058.787754273
0.0296,300.098468639086,100059.187670726
0.0298,300.099133790543,100059.587587176
0.03,300.099798939623,100059.987503622
0.0302,300.100464086324,100060.387420065
0.0304,300.101129230647,100060.787336505
0.0306,300.101794372593,100061.187252942
0.0308,300.102459512161,100061.587169375
0.031,300.103124649351,100061.987085805
0.0312,300.103789784163,100062.387002232
0.0314,300.104454916598,100062.786918655
0.0316,300.105120046655,100063.186835075
0.0318,300.105785174333,100063.586751492
0.032,300.106450299634,100063.986667906
0.0322,300.107115422558,100064.386584316
0.0324,300.107780543103,100064.786500723
0.0326,300.10844566127,100065.186417127
0.0328,300.10911077706,100065.586333527
0.033,300.109775890472,100065.986249925
0.0332,300.110441001506,100066.386166319
0.0334,300.111106110162,100066.786082709
0.0336,300.111771216441,100067.185999096
0.0338,300.112436320342,100067.585915481
0.034,300.113101421864,100067.985831861
0.0342,300.113766521009,100068.385748239
0.0344,300.114431617777,100068.785664613
0.0346,300.115096712166,100069.185580984
0.0348,300.115761804178,100069.585497352
0.035,300.116426893811,100069.985413716
0.0352,300.117091981067,100070.385330077
0.0354,300.117757065945,100070.785246435
0.0356,300.118422148446,100071.185162789
0.0358,300.119087228568,100071.585079141
0.036,300.119752306313,100071.984995489
0.0362,300.12041738168,100072.384911833
0.0364,300.121082454669,100072.784828175
0.0366,300.12174752528,100073.184744513
0.0368,300.122412593513,100073.584660848
0.037,300.123077659369,100073.984577179
0.0372,300.123742722847,100074.384493507
0.0374,300.124407783947,100074.784409832
0.0376,300.125072842669,100075.184326154
0.0378,300.125737899013,100075.584242473
0.038,300.12640295298,100075.984158788
0.0382,300.127068004568,100076.3840751
0.0384,300.127733053779,100076.783991408
0.0386,300.128398100612,100077.183907713
0.0388,300.129063145068,100077.583824015
0.039,300.129728187145,100077.983740314
0.0392,300.130393226844,100078.38365661
0.0394,300.131058264166,100078.783572902
0.0396,300.13172329911,100079.183489191
0.0398,300.132388331676,100079.583405476
0.04,300.133053361865,100079.983321759
0.0402,300.133718389675,100080.383238038
0.0404,300.134383415108,100080.783154313
0.0406,300.135048438163,100081.183070586
0.0408,300.13571345884,100081.582986855
0.041,300.136378477139,100081.982903121
0.0412,300.137043493061,100082.382819384
0.0414,300.137708506604,100082.782735643
0.0416,300.13837351777,100083.182651899
0.0418,300.139038526558,100083.582568152
0.042,300.139703532968,100083.982484401
0.0422,300.140368537001,100084.382400648
0.0424,300.141033538655,100084.782316891
0.0426,300.141698537932,100085.18223313
0.0428,300.142363534831,100085.582149367
0.043,300.143028529352,100085.9820656
0.0432,300.143693521495,100086.381981829
0.0434,300.144358511261,100086.781898056
0.0436,300.145023498648,100087.181814279
0.0438,300.145688483658,100087.581730499
0.044,300.14635346629,100087.981646716
0.0442,300.147018446544,100088.381562929
0.0444,300.147683424421,100088.781479139
0.0446,300.148348399919,100089.181395346
0.0448,300.14901337304,100089.58131155
0.045,300.149678343783,100089.98122775
0.0452,300.150343312148,100090.381143947
0.0454,300.151008278135,100090.781060141
0.0456,300.151673241745,100091.180976331
0.0458,300.152338202976,100091.580892518
0.046,300.15300316183,100091.980808702
0.0462,300.153668118306,100092.380724883
0.0464,300.154333072404,100092.78064106
0.0466,300.154998024125,100093.180557234
0.0468,300.155662973467,100093.580473405
0.047,300.156327920432,100093.980389572
0.0472,300.156992865019,100094.380305737
0.0474,300.157657807228,100094.780221898
0.0476,300.158322747059,100095.180138055
0.0478,300.158987684513,100095.58005421
0.048,300.159652619589,100095.979970361
0.0482,300.160317552286,100096.379886508
0.0484,300.160982482606,100096.779802653
0.0486,300.161647410549,100097.179718794
0.0488,300.162312336113,100097.579634932
0.049,300.1629772593,100097.979551067
0.0492,300.163642180108,100098.379467198
0.0494,300.164307098539,100098.779383326
0.0496,300.164972014593,100099.179299451
0.0498,300.165636928268,100099.579215572
0.05,300.166301839565,100099.979131691
0.0502,300.166966748485,100100.379047806
0.0504,300.167631655027,100100.778963917
0.0506,300.168296559191,100101.178880026
0.0508,300.168961460977,100101.578796131
0.051,300.169626360386,100101.978712233
0.0512,300.170291257416,100102.378628331
0.0514,300.170956152069,100102.778544426
0.0516,300.171621044344,100103.178460518
0.0518,300.172285934241,100103.578376607
0.052,300.172950821761,100103.978292693
0.0522,300.173615706902,100104.378208775
0.0524,300.174280589666,100104.778124854
0.0526,300.174945470182,100105.178040929
0.0528,300.175610348343,100105.577957001
0.053,300.17627522413,100105.977873069
0.0532,300.17694009754,100106.377789135
0.0534,300.177604968576,100106.777705197
0.0536,300.178269837236,100107.177621256
0.0538,300.17893470352,100107.577537311
0.054,300.179599567428,100107.977453363
0.0542,300.180264428962,100108.377369412
0.0544,300.180929288119,100108.777285458
0.0546,300.181594144901,100109.1772015
0.0548,300.182258999308,100109.577117539
0.055,300.182923851339,100109.977033575
0.0552,300.183588700995,100110.376949608
0.0554,300.184253548275,100110.776865637
0.0556,300.184918393179,100111.176781663
0.0558,300.185583235709,100111.576697685
0.056,300.186248075862,100111.976613705
0.0562,300.18691291364,100112.376529721
0.0564,300.187577749043,100112.776445734
0.0566,300.18824258207,100113.176361743
0.0568,300.188907412721,100113.576277749
0.057,300.189572240997,100113.976193752
0.0572,300.190237066897,100114.376109752
0.0574,300.190901890422,100114.776025748
0.0576,300.191566711572,100115.175941741
0.0578,300.192231530346,100115.575857731
0.058,300.192896346744,100115.975773718
0.0582,300.193561160767,100116.375689701
0.0584,300.194225972414,100116.775605681
0.0586,300.194890781686,100117.175521657
0.0588,300.195555588582,100117.575437631
0.059,300.196220393103,100117.975353601
0.0592,300.196885195248,100118.375269568
0.0594,300.197549995018,100118.775185531
0.0596,300.198214792412,100119.175101491
0.0598,300.198879587431,100119.575017448
0.06,300.199544380074,100119.974933402
0.0602,300.200209170342,100120.374849352
0.0604,300.200873958234,100120.774765299
0.0606,300.20153874375,100121.174681243
0.0608,300.202203526891,100121.574597183
0.061,300.202868307657,100121.97451312
0.0612,300.203533086047,100122.374429054
0.0614,300.204197862062,100122.774344985
0.0616,300.204862635701,100123.174260912
0.0618,300.205527406964,100123.574176836
0.062,300.206192175852,100123.974092757
0.0622,300.206856942364,100124.374008675
0.0624,300.207521706501,100124.773924589
0.0626,300.208186468263,100125.1738405
0.0628,300.208851227649,100125.573756407
0.063,300.209515984659,100125.973672312
0.0632,300.210180739294,100126.373588213
0.0634,300.210845491553,100126.77350411
0.0636,300.211510241437,100127.173420005
0.0638,300.212174988946,100127.573335896
0.064,300.212839734078,100127.973251784
0.0642,300.213504476836,100128.373167668
0.0644,300.214169217217,100128.77308355
0.0646,300.214833955224,100129.172999428
0.0648,300.215498690854,100129.572915302
0.065,300.21616342411,100129.972831174
0.0652,300.216828154989,100130.372747042
0.0654,300.217492883493,100130.772662907
0.0656,300.218157609622,100131.172578768
0.0658,300.218822333375,100131.572494627
0.066,300.219487054753,100131.972410482
0.0662,300.220151773755,100132.372326333
0.0664,300.220816490382,100132.772242182
0.0666,300.221481204633,100133.172158027
0.0668,300.222145916508,100133.572073869
0.067,300.222810626008,100133.971989707
0.0672,300.223475333133,100134.371905543
0.0674,300.224140037882,100134.771821375
0.0676,300.224804740255,100135.171737203
0.0678,300.225469440253,100135.571653029
