"time","volume.medium.h","volume.medium.p","volume1.medium.h","volume1.medium.p"
0,107390,100000,426126.767223709,100000
0.000202,107391.207557397,101780.893757232,426112.230255755,99998.3548034305
0.000404,107392.211182813,103253.707818076,426071.849485506,99993.7826807164
0.000606,107393.045746303,104471.119792128,426010.009873305,99986.7748118295
0.000808,107393.740427325,105477.21076669,425930.386816082,99977.7407395545
0.00101,107394.319143729,106308.113289563,425835.996687048,99967.0152060424
0.001212,107394.801660169,106993.685782992,425729.334249544,99954.8742314205
0.001414,107395.20441181,107558.756871876,425612.474986325,99941.5470178185
0.001616,107395.541047974,108023.946637464,425487.14292195,99927.2237417911
0.001818,107395.822861989,108406.315977775,425354.764520073,99912.061653564
0.00202,107396.059216482,108720.009087839,425216.522161622,99896.1910766143
0.002222,107396.257893776,108976.782795124,425073.398313248,99879.7203258016
0.002424,107396.425340748,109186.376461252,424926.206463813,99862.7391277054
0.002626,107396.566885125,109356.838748442,424775.618486327,99845.3216341831
0.002828,107396.686945499,109494.844877554,424622.191200098,99827.5293488351
0.00303,107396.789175441,109605.914344353,424466.384641226,99809.41312558
0.003232,107396.876620565,109694.648200431,424308.581941623,99791.0153539982
0.003434,107396.951822061,109764.885456766,424149.102461947,99772.3713927702
0.003636,107397.016860328,109819.769001788,423988.20735565,99753.5101669233
0.003838,107397.073478602,109861.932366001,423826.115208545,99734.4558893315
0.00404,107397.123104278,109893.531936193,423663.004755991,99715.228352486
0.004242,107397.166916876,109916.349633699,423499.023466334,99695.8438780895
0.004444,107397.20590216,109931.874663553,423334.294406251,99676.3160657497
0.004646,107397.24087736,109941.341629993,423168.91941196,99656.6561485428
0.004848,107397.272516262,109945.768429775,423002.982273518,99636.8733394509
0.00505,107397.301387089,109946.013486668,422836.553521234,99616.9753599932
0.005252,107397.327953948,109942.777935379,422669.690606089,99596.9684605764
0.005454,107397.352600335,109936.641126336,422502.440862561,99576.8577497997
0.005656,107397.375646702,109928.087174139,422334.843728653,99556.6474395612
