"time","damper.phi_rel","damper.w_rel","inertia3.phi","inertia3.w"
0,0,-0,0,0
0.0005,-5.56193037465503e-09,-3.27194168839495e-05,4.22483369062793e-13,3.71804057526605e-09
0.001,-4.37103225181591e-08,-0.000130843341601454,1.20979233019443e-11,5.61707028198734e-08
0.0015,-1.4725515124077e-07,-0.00029429846564496,9.36661954305498e-11,2.84715886941663e-07
0.002,-3.4882886045694e-07,-0.000522981555181666,3.90169199349854e-10,8.97898673137655e-07
0.0025,-6.81039481962836e-07,-0.000816765569210548,1.14937930237847e-09,2.16942701380506e-06
0.003,-1.17638645810141e-06,-0.00117548995631818,2.78971290782747e-09,4.46467468373884e-06
0.0035,-1.86728983696844e-06,-0.00159896457738377,5.93195213355252e-09,8.22955729879411e-06
0.004,-2.7860704762421e-06,-0.00208697027652961,1.14381657414117e-08,1.39886457308154e-05
0.0045,-3.96493180329817e-06,-0.00263925986569981,2.0456207093457e-08,2.23419628762698e-05
0.005,-5.43595387038582e-06,-0.00325555834490559,3.44350923979807e-08,3.39641889385626e-05
0.0055,-7.2310565453479e-06,-0.00393555877294575,5.52199436463562e-08,4.96150022107438e-05
0.006,-9.38202469542691e-06,-0.00467892633517374,8.49875726064659e-08,7.01284840002678e-05
0.0065,-1.1920435594997e-05,-0.00548529985142529,1.2643624327499e-07,9.64062553704828e-05
0.007,-1.48777158449307e-05,-0.00635428857113138,1.82636304360842e-07,0.000129428371860875
0.0075,-1.82850520460539e-05,-0.00728547679451641,2.57264925456013e-07,0.000170236587638045
0.008,-2.21734499358447e-05,-0.00827842053342577,3.5444906235551e-07,0.000219946060557033
0.0085,-2.65736588306202e-05,-0.00933265043558153,4.78962921857288e-07,0.000279733431891235
0.009,-3.15162035304916e-05,-0.0104476704443824,6.36141110800999e-07,0.000350841784543937
0.0095,-3.70313509423438e-05,-0.0116229587966964,8.31965945680929e-07,0.000434576128473394
0.01,-4.31490984895362e-05,-0.012857968957966,1.07308776599536e-06,0.000532299123692122
0.0105,-4.98991644027801e-05,-0.0141521295582811,1.36685225868153e-06,0.000645430941138351
0.011,-5.73109823952247e-05,-0.0155048446743604,1.72131203930775e-06,0.000775447948168486
