"time","Inertia2.phi","Inertia2.w","bearingFriction.mode","bearingFriction.startBackward","bearingFriction.startForward","gear.mode"
0,0,0,0,1,0,0
5.93750016028623e-11,-4.19844651329513e-20,-5.00000000000001e-11,0,1,0,0
5.93750016028623e-11,-4.19844651329513e-20,-5.00000000000001e-11,-1,0,0,-1
0.0005,-1.04658863817481e-07,-0.000417668733451985,-1,0,0,-1
0.001,-4.16483877806511e-07,-0.000828570608966076,-1,0,0,-1
0.0015,-9.32090642670802e-07,-0.00123270715139129,-1,0,0,-1
0.002,-1.64807669742583e-06,-0.0016300799605043,-1,0,0,-1
0.0025,-2.56105595935562e-06,-0.0020206907077711,-1,0,0,-1
0.003,-3.66765392595831e-06,-0.00240454110841837,-1,0,0,-1
0.0035,-4.96448451665581e-06,-0.00278163296001864,-1,0,0,-1
0.004,-6.4481682504039e-06,-0.00315196804944535,-1,0,0,-1
0.0045,-8.1153309393173e-06,-0.00351554834241242,-1,0,0,-1
0.005,-9.96259453762181e-06,-0.00387237576236295,-1,0,0,-1
0.0055,-1.19865840177292e-05,-0.00422245237856936,-1,0,0,-1
0.006,-1.41839263379583e-05,-0.00456578040798314,-1,0,0,-1
0.0065,-1.65512487659943e-05,-0.00490236208716473,-1,0,0,-1
0.007,-1.90851771536734e-05,-0.00523219955288842,-1,0,0,-1
0.0075,-2.17823392909407e-05,-0.00555529505675535,-1,0,0,-1
0.008,-2.4639367792234e-05,-0.00587165111593533,-1,0,0,-1
0.0085,-2.76528881233534e-05,-0.00618126985409472,-1,0,0,-1
0.009,-3.08195293634309e-05,-0.00648415359542143,-1,0,0,-1
0.0095,-3.41359377764956e-05,-0.00678030563559573,-1,0,0,-1
0.01,-3.75987377754182e-05,-0.00706972803501361,-1,0,0,-1
0.0105,-4.12045609622106e-05,-0.00735242326048579,-1,0,0,-1
0.011,-4.49500583297402e-05,-0.00762839476871544,-1,0,0,-1
0.0115,-4.88318608793095e-05,-0.0078976449958474,-1,0,0,-1
0.012,-5.28466033099512e-05,-0.0081601765667936,-1,0,0,-1
0.0125,-5.69909368250584e-05,-0.00841599287869588,-1,0,0,-1
0.013,-6.12615028670693e-05,-0.00866509687527474,-1,0,0,-1
0.0135,-6.56549384177279e-05,-0.00890749129304007,-1,0,0,-1
0.014,-7.0167895594939e-05,-0.00914317953105256,-1,0,0,-1
0.0145,-7.47970262981968e-05,-0.00937216497898109,-1,0,0,-1
0.015,-7.95389701629917e-05,-0.00959445049913363,-1,0,0,-1
0.0155,-8.43903786349726e-05,-0.0098100394358933,-1,0,0,-1
0.016,-8.93479134601181e-05,-0.0100189355345894,-1,0,0,-1
0.0165,-9.44082235161641e-05,-0.0102211420396477,-1,0,0,-1
0.017,-9.95679644139277e-05,-0.0104166624575827,-1,0,0,-1
0.0175,-0.000104823793339617,-0.0106055003562322,-1,0,0,-1
0.018,-0.00011017236905483,-0.0107876593647567,-1,0,0,-1
0.0185,-0.000115610352353595,-0.0109631431851454,-1,0,0,-1
0.019,-0.000121134414249515,-0.0111319557983184,-1,0,0,-1
0.0195,-0.000126741215261329,-0.0112941009426632,-1,0,0,-1
0.02,-0.000132427422361774,-0.0114495825407038,-1,0,0,-1
0.0205,-0.000138189704318571,-0.0115984045818154,-1,0,0,-1
0.021,-0.000144024731694431,-0.0117405711222243,-1,0,0,-1
0.0215,-0.000149929176847052,-0.0118760862850077,-1,0,0,-1
0.022,-0.000155899720529414,-0.0120049541582445,-1,0,0,-1
0.0225,-0.00016193303932365,-0.0121271789889237,-1,0,0,-1
0.023,-0.000168025810484147,-0.0122427651082106,-1,0,0,-1
0.0235,-0.000174174715073079,-0.0123517168830618,-1,0,0,-1
0.024,-0.000180376436086943,-0.012454038745135,-1,0,0,-1
0.0245,-0.000186627658456564,-0.0125497351907888,-1,0,0,-1
0.025,-0.000192925073709279,-0.012638810745096,-1,0,0,-1
0.0255,-0.000199265378465065,-0.0127212699734522,-1,0,0,-1
0.026,-0.000205645259678232,-0.012797117595492,-1,0,0,-1
0.0265,-0.00021206141195933,-0.0128663583513846,-1,0,0,-1
0.027,-0.000218510532023708,-0.0129289970446845,-1,0,0,-1
0.0275,-0.000224989318691516,-0.0129850385423308,-1,0,0,-1
0.028,-0.000231494473482592,-0.0130344877735577,-1,0,0,-1
0.0285,-0.000238022715544621,-0.0130773497025234,-1,0,0,-1
0.029,-0.000244570742879631,-0.0131136293993998,-1,0,0,-1
0.0295,-0.000251135264960735,-0.0131433319805712,-1,0,0,-1
0.03,-0.000257712993567907,-0.0131664626254367,-1,0,0,-1
0.0305,-0.000264300642787986,-0.0131830265764099,-1,0,0,-1
0.031,-0.000270894929014671,-0.013193029138919,-1,0,0,-1
0.0315,-0.000277492582136716,-0.0131964756871742,-1,0,0,-1
0.032,-0.000284090324453202,-0.0131933716532989,-1,0,0,-1
0.0325,-0.000290684877960164,-0.0131837225310856,-1,0,0,-1
0.033,-0.000297272970673544,-0.0131675338792557,-1,0,0,-1
0.0335,-0.000303851333120561,-0.0131448113196504,-1,0,0,-1
0.034,-0.00031041669833971,-0.013115560537231,-1,0,0,-1
0.0345,-0.000316965805973649,-0.0130797872748543,-1,0,0,-1
0.035,-0.000323495402421033,-0.0130374973330786,-1,0,0,-1
0.0355,-0.000330002225704393,-0.01298869658948,-1,0,0,-1
