"time","revolute1.phi","revolute1.w","revolute2.phi","revolute2.w"
0,0,0,0,0
0.0006,-3.45412575853132e-06,-0.0115132505950191,-3.45412575853128e-06,-0.0115132505950188
0.0012,-1.38141444016438e-05,-0.0230215695017601,-1.38141444016437e-05,-0.0230215695017598
0.0018,-3.1075362120584e-05,-0.0345249487622465,-3.10753621205836e-05,-0.0345249487622461
0.0024,-5.52376951458967e-05,-0.0460233882340578,-5.5237695145896e-05,-0.0460233882340571
0.003,-8.62890371153728e-05,-0.0575168666488609,-8.62890371153717e-05,-0.0575168666488602
0.0036,-0.000124232999594319,-0.0690053903509917,-0.000124232999594318,-0.069005390350991
0.0042,-0.000169069781795556,-0.0804889596904017,-0.000169069781795554,-0.0804889596904009
0.0048,-0.000220799383719083,-0.0919675746670908,-0.000220799383719081,-0.0919675746670901
0.0054,-0.00027940245452852,-0.103441199513805,-0.000279402454528518,-0.103441199513804
0.006,-0.000344889389440115,-0.114909853444616,-0.000344889389440112,-0.114909853444615
0.0066,-0.000417260972082018,-0.126373537907947,-0.000417260972082014,-0.126373537907946
0.0072,-0.00049651720245423,-0.137832252903798,-0.000496517202454226,-0.137832252903797
0.0078,-0.000582631779157364,-0.149285947795347,-0.000582631779157359,-0.149285947795346
0.0084,-0.000675617913668679,-0.160734648018016,-0.000675617913668674,-0.160734648018015
0.009,-0.000775477243909722,-0.172178356725218,-0.000775477243909717,-0.172178356725217
0.0096,-0.000882209769880493,-0.183617073916953,-0.000882209769880487,-0.183617073916952
0.0102,-0.000995789022827293,-0.195050745750175,-0.000995789022827287,-0.195050745750174
0.0108,-0.00111622732637804,-0.206479397293751,-0.00111622732637804,-0.206479397293751
0.0114,-0.0012435269347489,-0.217903033133234,-0.0012435269347489,-0.217903033133233
0.012,-0.00137768784793987,-0.229321653268624,-0.00137768784793987,-0.229321653268623
0.0126,-0.0015186923647824,-0.24073521836513,-0.00151869236478239,-0.240735218365129
0.0132,-0.00166654293989074,-0.252143733877294,-0.00166654293989073,-0.252143733877293
0.0138,-0.00182123853149927,-0.263547197490147,-0.00182123853149926,-0.263547197490146
0.0144,-0.00198277638049651,-0.274945603072509,-0.0019827763804965,-0.274945603072508
0.015,-0.00215115372777101,-0.286338944493198,-0.002151153727771,-0.286338944493197
0.0156,-0.0023263678142113,-0.297727215621033,-0.00232636781421129,-0.297727215621033
0.0162,-0.00250841588070591,-0.309110410324834,-0.0025084158807059,-0.309110410324834
0.0168,-0.00269729516814339,-0.32048852247342,-0.00269729516814338,-0.320488522473419
0.0174,-0.00289299732136552,-0.331861526972696,-0.00289299732136551,-0.331861526972695
0.018,-0.00309552158760156,-0.343229424490221,-0.00309552158760155,-0.34322942449022
0.0186,-0.00330486578660021,-0.354592210856355,-0.0033048657866002,-0.354592210856354
0.0192,-0.00352102680660662,-0.365949878744941,-0.00352102680660661,-0.36594987874494
0.0198,-0.00374400153586593,-0.377302420829819,-0.00374400153586591,-0.377302420829819
0.0204,-0.00397378686262329,-0.388649829784834,-0.00397378686262328,-0.388649829784833
0.021,-0.00421037967512387,-0.399992098283826,-0.00421037967512386,-0.399992098283825
0.0216,-0.00445377686161281,-0.411329219000639,-0.0044537768616128,-0.411329219000638
0.0222,-0.00470397450165084,-0.422661168263116,-0.00470397450165082,-0.422661168263116
0.0228,-0.00496096973763943,-0.433987943882382,-0.00496096973763941,-0.433987943882381
0.0234,-0.00522475960350923,-0.445309541477029,-0.00522475960350921,-0.445309541477028
0.024,-0.0054953409459184,-0.456625952880298,-0.00549534094591838,-0.456625952880298
0.0246,-0.00577271061152508,-0.467937169925432,-0.00577271061152506,-0.467937169925431
0.0252,-0.00605686544698743,-0.47924318444567,-0.00605686544698741,-0.47924318444567
0.0258,-0.00634780229896359,-0.490543988274255,-0.00634780229896357,-0.490543988274254
0.0264,-0.00664551801411172,-0.501839573244427,-0.0066455180141117,-0.501839573244426
0.027,-0.00695000945541503,-0.513129913784429,-0.00695000945541501,-0.513129913784428
0.0276,-0.00726127346605109,-0.524415005438337,-0.00726127346605107,-0.524415005438337
0.0282,-0.00757930688865989,-0.535694844323354,-0.00757930688865987,-0.535694844323353
0.0288,-0.00790410657080182,-0.546969421310798,-0.0079041065708018,-0.546969421310798
0.0294,-0.00823566936003727,-0.558238727271992,-0.00823566936003725,-0.558238727271991
0.03,-0.00857399210392662,-0.569502753078254,-0.0085739921039266,-0.569502753078253
0.0306,-0.00891907165003026,-0.580761489600905,-0.00891907165003024,-0.580761489600904
0.0312,-0.00927090484590857,-0.592014927711266,-0.00927090484590855,-0.592014927711265
0.0318,-0.00962948824881849,-0.603263040500929,-0.00962948824881847,-0.603263040500928
0.0324,-0.00999481873476859,-0.614505820583534,-0.00999481873476856,-0.614505820583533
0.033,-0.0103668932445916,-0.625743264542894,-0.0103668932445916,-0.625743264542893
0.0336,-0.0107457086085297,-0.63697536218967,-0.0107457086085297,-0.63697536218967
