"Time","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertiaQS.phi","loadInertia.phi","loadInertia.w","loadInertiaQS.w","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imc.stator.zeroInductor.i0","imcQS.rotorCage.port_p.reference.gamma","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
0,0,-0.78539819,0,0,0,-0,0,1.5707964,0,-0
4.9999999e-05,-1.8469644e-11,-0.78539819,4.9874932e-23,1.3525783e-18,2.0484482e-14,5.2150858e-07,9.0098953e-18,1.5865043,1.5767866e-09,-8.184327e-09
9.9999997e-05,-7.388444e-11,-0.78539819,7.981107e-22,1.0819877e-17,4.0968964e-14,5.2281558e-07,-2.874202e-16,1.6022123,3.1525444e-09,-1.6403593e-08
0.00015000001,-1.5354229e-10,-0.78539819,2.3998458e-21,2.8243718e-17,6.145344e-14,5.2402709e-07,-8.510086e-16,1.6179202,4.7270596e-09,-2.46435e-08
0.00019999999,-2.9530542e-10,-0.78539819,1.276373e-20,8.6508567e-17,8.1937922e-14,5.2499149e-07,-7.3688018e-16,1.6336281,6.296025e-09,-3.2929133e-08
0.00025000001,-4.5433859e-10,-0.78539819,2.556417e-20,1.5613038e-16,1.024224e-13,5.2588712e-07,-4.3429407e-16,1.6493361,7.8634468e-09,-4.122748e-08
0.00030000001,-6.133718e-10,-0.78539819,3.8364611e-20,2.257522e-16,1.2290689e-13,5.267828e-07,-1.3170793e-16,1.6650441,9.4308694e-09,-4.9525831e-08
0.00034999999,-8.612418e-10,-0.78539819,1.0161814e-19,4.1284103e-16,1.4339138e-13,5.2731667e-07,-2.0107594e-19,1.680752,1.0983508e-08,-5.7868835e-08
0.00039999999,-1.177393e-09,-0.78539819,2.0365055e-19,6.902165e-16,1.6387586e-13,5.2757247e-07,-1.8785457e-19,1.69646,1.2524784e-08,-6.6246159e-08
0.00044999999,-1.4935441e-09,-0.78539819,3.0568297e-19,9.6759189e-16,1.8436035e-13,5.2782826e-07,-1.7463318e-19,1.712168,1.406606e-08,-7.4623493e-08
0.00050000002,-1.8096952e-09,-0.78539819,4.0771536e-19,1.2449674e-15,2.0484484e-13,5.2808406e-07,-1.614118e-19,1.7278759,1.5607336e-08,-8.300082e-08
0.00055,-2.1258464e-09,-0.78539819,5.0974778e-19,1.5223429e-15,2.2532932e-13,5.2833985e-07,-1.4819043e-19,1.7435839,1.7148613e-08,-9.1378148e-08
0.00060000003,-2.4419975e-09,-0.78539819,6.117802e-19,1.7997182e-15,2.4581381e-13,5.2859565e-07,-1.3496904e-19,1.7592919,1.8689889e-08,-9.9755475e-08
0.00065,-2.7978493e-09,-0.78539819,8.0635557e-19,2.1844819e-15,2.662983e-13,5.2868097e-07,-1.1786182e-19,1.7749999,2.0218165e-08,-1.0813321e-07
0.00069999998,-3.4161503e-09,-0.78539819,1.6127016e-18,3.2791532e-15,2.8678275e-13,5.2763943e-07,-7.506666e-20,1.7907078,2.1660506e-08,-1.1651368e-07
0.00075000001,-4.034451e-09,-0.78539819,2.4190477e-18,4.3738245e-15,3.0726723e-13,5.2659789e-07,-3.2271485e-20,1.8064158,2.3102848e-08,-1.2489414e-07
0.00079999998,-4.652752e-09,-0.78539819,3.2253939e-18,5.4684955e-15,3.2775171e-13,5.2555635e-07,1.0523686e-20,1.8221238,2.4545187e-08,-1.3327461e-07
