"time","dFFREG.dFFR.clock","dFFREG.dFFR.reset","dFFREG.delay.inertialDelaySensitive[1].x","dFFREG.delay.inertialDelaySensitive[1].y","dFFREG.delay.inertialDelaySensitive[2].x","dFFREG.delay.inertialDelaySensitive[2].y"
0,3,3,1,1,1,1
0.005,3,3,1,1,1,1
0.01,3,3,1,1,1,1
0.015,3,3,1,1,1,1
0.02,3,3,1,1,1,1
0.025,3,3,1,1,1,1
0.03,3,3,1,1,1,1
0.035,3,3,1,1,1,1
0.04,3,3,1,1,1,1
0.045,3,3,1,1,1,1
0.05,3,3,1,1,1,1
0.055,3,3,1,1,1,1
0.06,3,3,1,1,1,1
0.065,3,3,1,1,1,1
0.07,3,3,1,1,1,1
0.075,3,3,1,1,1,1
0.08,3,3,1,1,1,1
0.085,3,3,1,1,1,1
0.09,3,3,1,1,1,1
0.095,3,3,1,1,1,1
0.1,3,3,1,1,1,1
0.105,3,3,1,1,1,1
0.11,3,3,1,1,1,1
0.115,3,3,1,1,1,1
0.12,3,3,1,1,1,1
0.125,3,3,1,1,1,1
0.13,3,3,1,1,1,1
0.135,3,3,1,1,1,1
0.14,3,3,1,1,1,1
0.145,3,3,1,1,1,1
0.15,3,3,1,1,1,1
0.155,3,3,1,1,1,1
0.16,3,3,1,1,1,1
0.165,3,3,1,1,1,1
0.17,3,3,1,1,1,1
0.175,3,3,1,1,1,1
0.18,3,3,1,1,1,1
0.185,3,3,1,1,1,1
0.19,3,3,1,1,1,1
0.195,3,3,1,1,1,1
0.2,3,3,1,1,1,1
0.205,3,3,1,1,1,1
0.21,3,3,1,1,1,1
0.215,3,3,1,1,1,1
0.22,3,3,1,1,1,1
0.225,3,3,1,1,1,1
0.23,3,3,1,1,1,1
0.235,3,3,1,1,1,1
0.24,3,3,1,1,1,1
0.245,3,3,1,1,1,1
0.25,3,3,1,1,1,1
0.255,3,3,1,1,1,1
0.26,3,3,1,1,1,1
0.265,3,3,1,1,1,1
0.27,3,3,1,1,1,1
0.275,3,3,1,1,1,1
0.28,3,3,1,1,1,1
0.285,3,3,1,1,1,1
0.29,3,3,1,1,1,1
0.295,3,3,1,1,1,1
0.3,3,3,1,1,1,1
0.305,3,3,1,1,1,1
0.31,3,3,1,1,1,1
0.315,3,3,1,1,1,1
0.32,3,3,1,1,1,1
0.325,3,3,1,1,1,1
0.33,3,3,1,1,1,1
0.335,3,3,1,1,1,1
0.34,3,3,1,1,1,1
0.345,3,3,1,1,1,1
0.35,3,3,1,1,1,1
0.355,3,3,1,1,1,1
0.36,3,3,1,1,1,1
0.365,3,3,1,1,1,1
0.37,3,3,1,1,1,1
0.375,3,3,1,1,1,1
0.38,3,3,1,1,1,1
0.385,3,3,1,1,1,1
0.39,3,3,1,1,1,1
0.395,3,3,1,1,1,1
0.4,3,3,1,1,1,1
0.405,3,3,1,1,1,1
0.41,3,3,1,1,1,1
0.415,3,3,1,1,1,1
0.42,3,3,1,1,1,1
0.425,3,3,1,1,1,1
0.43,3,3,1,1,1,1
0.435,3,3,1,1,1,1
0.44,3,3,1,1,1,1
0.445,3,3,1,1,1,1
0.45,3,3,1,1,1,1
0.455,3,3,1,1,1,1
0.46,3,3,1,1,1,1
0.465,3,3,1,1,1,1
0.47,3,3,1,1,1,1
0.475,3,3,1,1,1,1
0.48,3,3,1,1,1,1
0.485,3,3,1,1,1,1
0.49,3,3,1,1,1,1
0.495,3,3,1,1,1,1
0.5,3,3,1,1,1,1
0.505,3,3,1,1,1,1
0.51,3,3,1,1,1,1
0.515,3,3,1,1,1,1
0.52,3,3,1,1,1,1
0.525,3,3,1,1,1,1
0.53,3,3,1,1,1,1
0.535,3,3,1,1,1,1
0.54,3,3,1,1,1,1
0.545,3,3,1,1,1,1
0.55,3,3,1,1,1,1
0.555,3,3,1,1,1,1
0.56,3,3,1,1,1,1
0.565,3,3,1,1,1,1
0.57,3,3,1,1,1,1
0.575,3,3,1,1,1,1
0.58,3,3,1,1,1,1
0.585,3,3,1,1,1,1
0.59,3,3,1,1,1,1
0.595,3,3,1,1,1,1
0.6,3,3,1,1,1,1
0.605,3,3,1,1,1,1
0.61,3,3,1,1,1,1
0.615,3,3,1,1,1,1
0.62,3,3,1,1,1,1
0.625,3,3,1,1,1,1
0.63,3,3,1,1,1,1
0.635,3,3,1,1,1,1
0.64,3,3,1,1,1,1
0.645,3,3,1,1,1,1
0.65,3,3,1,1,1,1
0.655,3,3,1,1,1,1
0.66,3,3,1,1,1,1
0.665,3,3,1,1,1,1
0.67,3,3,1,1,1,1
0.675,3,3,1,1,1,1
0.68,3,3,1,1,1,1
0.685,3,3,1,1,1,1
0.69,3,3,1,1,1,1
0.695,3,3,1,1,1,1
0.7,3,3,1,1,1,1
0.705,3,3,1,1,1,1
0.71,3,3,1,1,1,1
0.715,3,3,1,1,1,1
0.72,3,3,1,1,1,1
0.725,3,3,1,1,1,1
0.73,3,3,1,1,1,1
0.735,3,3,1,1,1,1
0.74,3,3,1,1,1,1
0.745,3,3,1,1,1,1
0.75,3,3,1,1,1,1
0.755,3,3,1,1,1,1
