"time","inertiaLoad.phi","inertiaLoad.w","smpm.idq_sr[1]","smpm.idq_sr[2]","voltageController.PI_d.x","voltageController.PI_q.x"
0,0,-157.07963267949,0,0,75.6604255869606,-119.642467376764
0.0005,-0.0784980435436738,-156.911449645356,-0.937245338380302,8.57601590693906,74.7744504690827,-118.289244470167
0.001,-0.156911153132955,-156.740760581276,-1.83743052104759,9.88455731166587,73.8991792105362,-116.958133779811
0.0015,-0.235238578008336,-156.56871445483,-2.72658195913832,11.1762714701991,73.0343402612136,-115.642428081683
0.002,-0.313479645346305,-156.395333012708,-3.60508533587877,12.452923699446,72.1798086768165,-114.341946889048
0.0025,-0.391633693674094,-156.220637482031,-4.47306775409205,13.714691365247,71.3354613492535,-113.056513350294
0.003,-0.469700070540559,-156.044648871387,-5.33065473821056,14.9617480161754,70.501176426952,-111.785952376642
0.0035,-0.547678136066806,-155.867387884754,-6.17796997087632,16.1942645660878,69.6768338093521,-110.530091334428
0.004,-0.62556726275715,-155.688874925763,-7.01513542020815,17.4124098033817,68.862315120798,-109.288760008645
0.0045,-0.703366829060185,-155.509130252956,-7.84227221069493,18.6163512892044,68.0575028142064,-108.06178934675
0.005,-0.7810762156043,-155.328174071858,-8.65950116190965,19.8062561779777,67.2622796462183,-106.849010722184
0.0055,-0.858694832780411,-155.146025863051,-9.46693885670189,20.9822858175492,66.4765325214587,-105.650261327126
0.006,-0.936222075160536,-154.962705492109,-10.2647041272939,22.1446046376332,65.7001461401734,-104.465375261758
0.0065,-1.01365737424134,-154.778231923019,-11.0529105480279,23.293369849811,64.9330103506779,-103.294193849713
0.007,-1.09100014710585,-154.592624471002,-11.8316737463212,24.4287414923854,64.1750129924488,-102.136555596585
0.0075,-1.16824983937917,-154.405901752488,-12.6011052846213,25.5508740374147,63.4260458861955,-100.992304595868
0.008,-1.24540588987122,-154.218082549008,-13.3613176934724,26.6599232805439,62.6859999039959,-99.8612836111569
0.0085,-1.32246776011872,-154.029185083194,-14.1124202638938,27.7560405838646,61.9547690907626,-98.7433398615193
0.009,-1.39943491088326,-153.839227596769,-14.8545223974312,28.8393774607466,61.2322473831619,-97.6383204139969
0.0095,-1.47630681521591,-153.648228028626,-15.5877317418196,29.9100830256654,60.5183304343727,-96.5460747466674
0.01,-1.55308296231587,-153.456203917323,-16.3121536221791,30.9683032349257,59.812916157276,-95.466455514719
0.0105,-1.62976284398065,-153.263172739755,-17.027893010447,32.01418354355,59.1159028235445,-94.3993158742937
0.011,-1.70634596396088,-153.069151677331,-17.7350531656807,33.0478670709615,58.4271903760325,-93.3445113301068
0.0115,-1.78283182926534,-152.874157821856,-18.43373686361,34.0694962767879,57.7466792255486,-92.3018980534327
0.012,-1.85921995442552,-152.678208076524,-19.1240457994818,35.0792121439549,57.0742708381395,-91.2713337009973
0.0125,-1.93550986973151,-152.48131896472,-19.806079434822,36.0771526010596,56.4098688692627,-90.2526789964402
0.013,-2.01170111121146,-152.283506862605,-20.4799364004263,37.0634544417118,55.753377783938,-89.2457958063436
0.0135,-2.08779321676153,-152.084788079682,-21.1457150094623,38.0382540371703,55.104702341936,-88.2505464332178
0.014,-2.16378574012771,-151.885178553111,-21.8035113583669,39.0016847165385,54.4637494862594,-87.2667962266861
0.0145,-2.23967824100483,-151.684694064178,-22.4534206716664,39.9538786219382,53.8304270058442,-86.2944117344146
0.015,-2.31547028502582,-151.483350238361,-23.0955373009974,40.8949667074275,53.204643536089,-85.333260703351
0.0155,-2.39116144396841,-151.281162540829,-23.7299546972393,41.8250787005354,52.5863085866035,-84.3832121180497
0.016,-2.46675130197546,-151.078146140863,-24.3567645718459,42.7443419446353,51.975333376323,-83.4441373540808
0.0165,-2.5422394494702,-150.874316044478,-24.9760577172323,43.6528825313367,51.3716300165981,-82.5159090497635
0.017,-2.61762548000024,-150.669687162443,-25.5879244248662,44.5508258781769,50.7751110935237,-81.5984005312696
0.0175,-2.69290899925991,-150.464274115056,-26.1924532825708,45.4382950674206,50.1856908680434,-80.6914874664934
0.018,-2.76808961986182,-150.258091345274,-26.7897318714819,46.3154118087169,49.6032845804953,-79.7950469066423
0.0185,-2.84316696060377,-150.051153135111,-27.3798468640283,47.1822965737173,49.0278083533327,-78.9089571519216
0.019,-2.91814064520638,-149.843473633661,-27.9628841925376,48.0390688280072,48.4591790235335,-78.0330975202378
0.0195,-2.9930103077345,-149.63506673735,-28.5389283254007,48.8858460346,47.8973148626311,-77.1673493406434
0.02,-3.06777558804004,-149.425946190594,-29.1080628755221,49.7227444915924,47.342134971462,-76.3115951182555
0.0205,-3.14243613284679,-149.216125561839,-29.6703704554806,50.5498791327633,46.7935594242442,-75.4657187330435
0.021,-3.21699159566477,-149.00561824545,-30.2259326889584,51.3673635433085,46.2515092572078,-74.6296054241432
0.0215,-3.2914416367047,-148.794437463602,-30.7748302221704,52.1753099755752,45.7159064572261,-73.8031417741704
0.022,-3.36578592243693,-148.582596276096,-31.3171427855246,52.9738294287768,45.1866739030763,-72.9862156278554
0.0225,-3.44002412482923,-148.370107597321,-31.8529493006864,53.7630317865385,44.6637352638827,-72.1787159513104
0.023,-3.51415592397696,-148.156984137628,-32.3823275081673,54.5430253437312,44.1470153497245,-71.3805333182287
0.0235,-3.58818100552458,-147.943238460773,-32.9053543310929,55.313917270983,43.6364397679968,-70.5915594335027
0.024,-3.66209906129122,-147.72888296996,-33.422105786111,56.0758135023789,43.1319350068376,-69.8116872489727
0.0245,-3.73590978917711,-147.51392990991,-33.9326569959557,56.8288187526411,42.6334284226879,-69.0408109462564
0.025,-3.80961289306989,-147.298391368932,-34.4370822020113,57.5730365343094,42.1408482278524,-68.2788259195791
