"time","delta[1]","delta[2]","delta[3]","delta[4]","eta","rho","input_mdot[1]","input_mdot[2]","input_mdot[3]","input_mdot[4]","input_dp[1]","input_dp[2]","input_dp[3]","input_dp[4]","M_FLOW[1]","M_FLOW[2]","M_FLOW[3]","M_FLOW[4]","DP[1]","DP[2]","DP[3]","DP[4]","DP_plot[1]","DP_plot[2]","DP_plot[3]","DP_plot[4]","velocity[1]","velocity[2]","velocity[3]","velocity[4]","Re[1]","Re[2]","Re[3]","Re[4]","zeta_TOT[1]","zeta_TOT[2]","zeta_TOT[3]","zeta_TOT[4]","input_DP.y"
0,0.523598775598299,0.785398163397448,1.5707963267949,3.14159265358979,0.001,1000,0.00292525959384055,0.00192909156663627,0.000843386052917543,0.000485433507499072,0.0001,0.0001,0.0001,0.0001,0.00292525959384055,0.00192909156663627,0.000843386052917543,0.000485433507499072,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.000372455619349371,0.00024561956680564,0.000107383247405272,6.18073138087311e-05,37.2455619349371,24.5619566805641,10.7383247405272,6.18073138087311,1.4417200349018,3.31515679288199,17.3443060694757,20,0.0001
0.0002,0.523598775598299,0.785398163397448,1.5707963267949,3.14159265358979,0.001,1000,5.06989483909114,3.43737092498544,1.57350662472693,0.926898310636346,55.2541,55.2541,55.2541,55.2541,5.06989483909114,3.43737092498544,1.57350662472693,0.926898310636346,55.2541,55.2541,55.2541,55.2541,55.2541,55.2541,55.2541,55.2541,0.645519059677955,0.437659659161435,0.200345085850508,0.118016358305041,64551.9059677955,43765.9659161435,20034.5085850508,11801.6358305041,0.265201737676184,0.576927803874234,2.75319591390797,7.93432684085559,55.2541
0.0004,0.523598775598299,0.785398163397448,1.5707963267949,3.14159265358979,0.001,1000,7.45270696886554,4.98900475229335,2.29750155158151,1.35935679549318,110.5081,110.5081,110.5081,110.5081,7.45270696886554,4.98900475229335,2.29750155158151,1.35935679549318,110.5081,110.5081,110.5081,110.5081,110.5081,110.5081,110.5081,110.5081,0.948908122808293,0.635219813949154,0.292526982956397,0.173078682742638,94890.8122808293,63521.9813949154,29252.6982956397,17307.8682742638,0.245457201878637,0.547741989819915,2.58280871833112,7.3779710231158,110.5081
0.0006,0.523598775598299,0.785398163397448,1.5707963267949,3.14159265358979,0.001,1000,9.41699089007765,6.20696162993316,2.86279821193041,1.69814201935291,165.7621,165.7621,165.7621,165.7621,9.41699089007765,6.20696162993316,2.86279821193041,1.69814201935291,165.7621,165.7621,165.7621,165.7621,165.7621,165.7621,165.7621,165.7621,1.19900851936576,0.790294899988472,0.364502789202691,0.216214157161655,119900.851936576,79029.4899988472,36450.2789202691,21621.4157161655,0.230606050518188,0.530807287995669,2.49524689531525,7.09164490925697,165.7621
0.0008,0.523598775598299,0.785398163397448,1.5707963267949,3.14159265358979,0.001,1000,11.1663188909522,7.32498784193371,3.3443364833322,1.98725135631782,221.0161,221.0161,221.0161,221.0161,11.1663188909522,7.32498784193371,3.3443364833322,1.98725135631782,221.0161,221.0161,221.0161,221.0161,221.0161,221.0161,221.0161,221.0161,1.42173987810836,0.932646418505428,0.425814146147908,0.253024701219244,142173.987810836,93264.6418505428,42581.4146147908,25302.4701219244,0.218682291856059,0.508182672946551,2.43788792570758,6.90443372860111,221.0161
0.001,0.523598775598299,0.785398163397448,1.5707963267949,3.14159265358979,0.001,1000,12.6748284688374,8.32910789099425,3.77172342515011,2.24414489446845,276.2701,276.2701,276.2701,276.2701,12.6748284688374,8.32910789099425,3.77172342515011,2.24414489446845,276.2701,276.2701,276.2701,276.2701,276.2701,276.2701,276.2701,276.2701,1.61380928292588,1.06049495391796,0.480230741670508,0.285733402375275,161380.928292588,106049.495391796,48023.0741670508,28573.3402375275,0.212158024092141,0.491299891004855,2.39587394791999,6.76771178733945,276.2701
0.0012,0.523598775598299,0.785398163397448,1.5707963267949,3.14159265358979,0.001,1000,13.9502295138453,9.25332044902175,4.16032842672494,2.47791456821389,331.5241,331.5241,331.5241,331.5241,13.9502295138453,9.25332044902175,4.16032842672494,2.47791456821389,331.5241,331.5241,331.5241,331.5241,331.5241,331.5241,331.5241,331.5241,1.77619838751594,1.1781693515801,0.529709467199202,0.315497881672529,177619.838751594,117816.93515801,52970.9467199202,31549.7881672529,0.210165854295869,0.477671861097364,2.36303215090145,6.66119588563493,331.5241
0.0014,0.523598775598299,0.785398163397448,1.5707963267949,3.14159265358979,0.001,1000,15.0489885797558,10.1345557136595,4.51936117691167,2.69402141602348,386.7781,386.7781,386.7781,386.7781,15.0489885797558,10.1345557136595,4.51936117691167,2.69402141602348,386.7781,386.7781,386.7781,386.7781,386.7781,386.7781,386.7781,386.7781,1.91609673680129,1.2903717102953,0.575422936738478,0.343013460124452,191609.673680129,129037.17102953,57542.2936738478,34301.3460124452,0.210696348368538,0.464581813601436,2.33624041713781,6.57460319471029,386.7781
0.0016,0.523598775598299,0.785398163397448,1.5707963267949,3.14159265358979,0.001,1000,16.0863249881822,10.9710319586686,4.85486267285526,2.8960543669601,442.0321,442.0321,442.0321,442.0321,16.0863249881822,10.9710319586686,4.85486267285526,2.8960543669601,442.0321,442.0321,442.0321,442.0321,442.0321,442.0321,442.0321,442.0321,2.04817451044149,1.39687517363302,0.618140313933797,0.368737094371656,204817.451044149,139687.517363302,61814.0313933797,36873.7094371656,0.210741414242203,0.453073443010632,2.31371396301652,6.50204762134637,442.0321
0.0018,0.523598775598299,0.785398163397448,1.5707963267949,3.14159265358979,0.001,1000,17.0621240108308,11.7489398818828,5.17105185560488,3.0865238162066,497.2861,497.2861,497.2861,497.2861,17.0621240108308,11.7489398818828,5.17105185560488,3.0865238162066,497.2861,497.2861,497.2861,497.2861,497.2861,497.2861,497.2861,497.2861,2.17241710077651,1.49592148663293,0.658398771043227,0.392988417856112,217241.710077651,149592.148663293,65839.8771043227,39298.8417856112,0.210741414242203,0.444445706772251,2.29434272550033,6.43986574774301,497.2861
