"time","converter_e.singlePhaseElectroMagneticConverter[1].Phi.re","converter_e.singlePhaseElectroMagneticConverter[2].Phi.im","loss_m.Phi.im","loss_m.Phi.re"
0,0,0,0,0
0.005,-7.13803321828106e-05,0.00454381392125764,-0.00454381392125765,7.13803321828026e-05
0.01,-0.000285416012890361,0.00908145699749921,-0.00908145699749922,0.00028541601289035
0.015,-0.000641847881552421,0.013608642502772,-0.013608642502772,0.00064184788155241
0.02,-0.00114029619969129,0.0181212731947388,-0.0181212731947391,0.0011402961996916
0.025,-0.00178023122888288,0.0226149340117079,-0.0226149340117095,0.00178023122888461
0.03,-0.00256099111830351,0.0270850006046118,-0.0270850006046161,0.00256099111830826
0.035,-0.00348176059460257,0.0315269852133414,-0.0315269852133492,0.00348176059461139
0.04,-0.00454156582128631,0.0359364819941785,-0.0359364819941905,0.00454156582129987
0.045,-0.00573934484733794,0.0403091158394117,-0.0403091158394282,0.00573934484735653
0.05,-0.00707387807715917,0.0446405790961953,-0.0446405790962161,0.00707387807718257
0.055,-0.00854378422235473,0.0489265972341788,-0.0489265972342028,0.00854378422238175
0.06,-0.0101475948679842,0.053162925020464,-0.0531629250204892,0.0101475948680126
0.065,-0.0118836700050632,0.0573454208075549,-0.0573454208075806,0.011883670005092
0.07,-0.0137502431690652,0.0614699731472665,-0.0614699731472922,0.0137502431690941
0.075,-0.0157454232424532,0.065532517546257,-0.065532517546283,0.0157454232424824
0.08,-0.0178672187570876,0.0695290266716899,-0.0695290266717155,0.0178672187571162
0.085,-0.0201134741161882,0.0734555429578328,-0.0734555429578579,0.0201134741162163
0.09,-0.0224819386254119,0.0773082132910796,-0.0773082132911043,0.0224819386254395
0.095,-0.0249702281406326,0.0810832253363163,-0.0810832253363407,0.0249702281406599
0.1,-0.027575834855744,0.0847768296478017,-0.0847768296478259,0.0275758348557712
0.105,-0.030296163698703,0.0883854207882109,-0.0883854207882352,0.0302961636987302
0.11,-0.0331284688171629,0.0919053999985163,-0.0919053999985405,0.03312846881719
0.115,-0.0360699217282661,0.0953333090486117,-0.0953333090486361,0.0360699217282934
0.12,-0.0391175791521095,0.0986657713783385,-0.098665771378363,0.0391175791521369
0.125,-0.0422683739700549,0.101899474242085,-0.101899474242109,0.0422683739700824
0.13,-0.0455191771659798,0.105031248036328,-0.105031248036352,0.0455191771660072
0.135,-0.0488667292593905,0.108057988691539,-0.108057988691564,0.0488667292594178
0.14,-0.0523076836284945,0.110976704338271,-0.110976704338296,0.0523076836285216
0.145,-0.0558386002479645,0.113784508561696,-0.11378450856172,0.0558386002479912
0.15,-0.0594559490171078,0.116478624743043,-0.116478624743067,0.0594559490171341
0.155,-0.0631561271935015,0.119056425350987,-0.11905642535101,0.0631561271935271
0.16,-0.0669354320640778,0.1215153603222,-0.121515360322222,0.0669354320641028
0.165,-0.070790086322379,0.123853016035117,-0.123853016035139,0.0707900863224034
0.17,-0.0747162353884757,0.126067104764373,-0.126067104764395,0.0747162353884997
0.175,-0.0787099691370935,0.128155425722083,-0.128155425722104,0.0787099691371172
0.18,-0.0827673206009274,0.130115878487827,-0.130115878487848,0.0827673206009506
0.185,-0.0868842271456502,0.131946561827385,-0.131946561827405,0.086884227145673
0.19,-0.0910565791156549,0.133645673487943,-0.133645673487964,0.0910565791156775
0.195,-0.0952802099307143,0.135211543210944,-0.135211543210965,0.0952802099307368
0.2,-0.0995509308973223,0.136642602114836,-0.136642602114856,0.0995509308973447
0.205,-0.103864476367902,0.137937446901538,-0.137937446901559,0.103864476367924
0.21,-0.108216541445761,0.139094806178665,-0.139094806178686,0.108216541445784
0.215,-0.112602784367273,0.140113544142112,-0.140113544142132,0.112602784367296
0.22,-0.11701883474231,0.140992653280792,-0.140992653280813,0.117018834742333
0.225,-0.121460309725177,0.141731235360615,-0.141731235360636,0.1214603097252
0.23,-0.125922771034411,0.142328583782413,-0.142328583782434,0.125922771034434
0.235,-0.130401769677949,0.142784115629322,-0.142784115629343,0.130401769677973
0.24,-0.134892838781877,0.143097392654881,-0.143097392654902,0.1348928387819
0.245,-0.139391514236149,0.143268075253976,-0.143268075253997,0.139391514236172
0.25,-0.143893315081298,0.143295992348812,-0.143295992348833,0.143893315081322
0.255,-0.148393750145496,0.143181135694046,-0.143181135694067,0.148393750145519
0.26,-0.152888333254766,0.142923629497789,-0.14292362949781,0.152888333254789
0.265,-0.157372584284936,0.142523737622576,-0.142523737622597,0.157372584284959
0.27,-0.161842046773104,0.141981794801058,-0.141981794801079,0.161842046773128
0.275,-0.166292260326803,0.141298374493666,-0.141298374493687,0.166292260326826
0.28,-0.170718789806842,0.140474159526153,-0.140474159526174,0.170718789806865
0.285,-0.175117223191798,0.139509976684169,-0.13950997668419,0.175117223191821
0.29,-0.179483178249663,0.138406757752715,-0.138406757752736,0.179483178249686
0.295,-0.183812305327617,0.137165567217047,-0.137165567217068,0.18381230532764
0.3,-0.188100288512672,0.135787657939979,-0.13578765794,0.188100288512695
0.305,-0.192342854236303,0.134274399007035,-0.134274399007055,0.192342854236326
0.31,-0.196535774368128,0.132627298208564,-0.132627298208585,0.196535774368151
0.315,-0.200674862787768,0.130847924430049,-0.13084792443007,0.200674862787791
0.32,-0.204755995381295,0.128938061493874,-0.128938061493895,0.204755995381318
0.325,-0.208775103900266,0.126899603745031,-0.126899603745052,0.208775103900289
0.33,-0.212728182139395,0.124734573353611,-0.124734573353632,0.212728182139418
0.335,-0.216611284851356,0.122445101366731,-0.122445101366752,0.216611284851379
0.34,-0.220420527603323,0.120033410192497,-0.120033410192518,0.220420527603346
0.345,-0.224152116956358,0.117501909109555,-0.117501909109576,0.224152116956381
