"time","Adder1.Adder1.AND.G2.x","Adder1.Adder1.AND.G2.y","Adder1.Adder1.XOR.G2.x","Adder1.Adder1.XOR.G2.y","Adder1.Adder2.AND.G2.x","Adder1.Adder2.AND.G2.y","Adder1.Adder2.XOR.G2.x","Adder1.Adder2.XOR.G2.y","Counter.FF1.RS1.TD1.x","Counter.FF1.RS2.TD1.x","Counter.FF2.RS1.TD1.x","Counter.FF2.RS2.TD1.x","Counter.FF3.RS1.TD1.x","Counter.FF3.RS2.TD1.x"
0,3,1,3,1,3,1,1,1,3,4,3,3,3,3
0.001,3,1,3,1,3,1,1,1,3,4,3,3,3,3
0.001,3,3,3,3,3,3,3,1,3,4,3,3,3,3
0.002,3,3,3,3,3,3,3,1,3,4,3,3,3,3
0.002,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.004,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.006,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.008,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.01,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.012,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.014,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.016,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.018,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.02,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.022,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.024,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.026,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.028,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.03,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.032,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.034,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.036,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.038,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.04,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.042,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.044,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.046,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.048,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.05,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.052,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.054,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.056,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.058,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.06,3,3,3,3,3,3,3,3,3,4,3,3,3,3
0.062,3,3,3,3,3,3,3,3,3,4,3,3,3,3
