"Time","transferFunction.y.re","transferFunction.y.im","const.y.im","logFrequencySweep.y","const.y.re"
0,-2.0003982,0.0020007982,0,0.0099999998,1
0.00050000002,-2.0004017,0.0020100409,0,0.010046158,1
0.001,-2.0004056,0.0020193264,0,0.010092529,1
0.0015,-2.0004091,0.0020286548,0,0.010139114,1
0.0020000001,-2.0004129,0.0020380265,0,0.010185914,1
0.0024999999,-2.0004168,0.0020474414,0,0.01023293,1
0.003,-2.0004208,0.0020568999,0,0.010280163,1
0.0035000001,-2.0004246,0.0020664022,0,0.010327614,1
0.0040000002,-2.0004284,0.0020759483,0,0.010375285,1
0.0044999998,-2.0004325,0.0020855388,0,0.010423174,1
0.0049999999,-2.0004365,0.0020951736,0,0.010471285,1
0.0055,-2.0004406,0.002104853,0,0.010519619,1
0.0060000001,-2.0004447,0.0021145772,0,0.010568175,1
0.0065000001,-2.0004487,0.0021243463,0,0.010616955,1
0.0070000002,-2.000453,0.0021341608,0,0.010665962,1
0.0074999998,-2.000457,0.0021440207,0,0.010715193,1
0.0080000004,-2.0004613,0.0021539263,0,0.010764652,1
0.0085000005,-2.0004656,0.0021638775,0,0.01081434,1
0.0089999996,-2.0004699,0.002173875,0,0.010864256,1
0.0094999997,-2.0004742,0.0021839186,0,0.010914403,1
0.0099999998,-2.0004785,0.0021940088,0,0.010964782,1
0.0105,-2.000483,0.0022041455,0,0.011015393,1
0.011,-2.0004876,0.0022143293,0,0.011066237,1
0.0115,-2.0004921,0.0022245604,0,0.011117318,1
0.012,-2.0004966,0.0022348387,0,0.011168633,1
0.0125,-2.0005012,0.0022451645,0,0.011220184,1
0.013,-2.0005059,0.0022555382,0,0.011271975,1
0.0135,-2.0005105,0.00226596,0,0.011324003,1
0.014,-2.0005152,0.0022764299,0,0.011376273,1
0.0145,-2.00052,0.0022869485,0,0.011428784,1
0.015,-2.0005248,0.0022975155,0,0.011481537,1
0.0155,-2.0005298,0.0023081317,0,0.011534533,1
0.016000001,-2.0005345,0.0023187969,0,0.011587773,1
0.0165,-2.0005395,0.0023295116,0,0.01164126,1
0.017000001,-2.0005445,0.0023402758,0,0.011694994,1
0.0175,-2.0005496,0.0023510898,0,0.011748975,1
0.017999999,-2.0005546,0.002361954,0,0.011803206,1
0.0185,-2.0005598,0.0023728686,0,0.011857687,1
0.018999999,-2.0005651,0.0023838335,0,0.01191242,1
0.0195,-2.0005701,0.0023948494,0,0.011967406,1
0.02,-2.0005755,0.0024059163,0,0.012022644,1
0.020500001,-2.0005808,0.0024170342,0,0.012078138,1
0.021,-2.000586,0.0024282041,0,0.012133889,1
0.021500001,-2.0005915,0.0024394253,0,0.012189896,1
0.022,-2.000597,0.0024506985,0,0.012246162,1
0.022500001,-2.0006025,0.0024620241,0,0.012302687,1
0.023,-2.0006082,0.0024734021,0,0.012359475,1
0.023499999,-2.0006137,0.0024848329,0,0.012416523,1
0.024,-2.0006194,0.0024963166,0,0.012473835,1
0.024499999,-2.0006251,0.0025078536,0,0.012531412,1
0.025,-2.0006311,0.0025194439,0,0.012589254,1
0.0255,-2.0006368,0.0025310877,0,0.012647363,1
0.026000001,-2.0006428,0.0025427858,0,0.012705741,1
0.0265,-2.0006487,0.002554538,0,0.012764388,1
0.027000001,-2.0006547,0.0025663446,0,0.012823306,1
0.0275,-2.0006607,0.0025782061,0,0.012882495,1
0.028000001,-2.0006669,0.0025901224,0,0.012941958,1
0.0285,-2.0006731,0.0026020939,0,0.013001696,1
0.028999999,-2.0006793,0.002614121,0,0.013061709,1
0.0295,-2.0006855,0.0026262037,0,0.013121999,1
0.029999999,-2.0006919,0.0026383426,0,0.013182567,1
0.0305,-2.0006983,0.0026505375,0,0.013243415,1
0.030999999,-2.0007048,0.0026627891,0,0.013304545,1
0.031500001,-2.0007112,0.0026750974,0,0.013365955,1
0.032000002,-2.0007179,0.0026874628,0,0.01342765,1
0.032499999,-2.0007246,0.0026998858,0,0.013489629,1
0.033,-2.0007312,0.0027123659,0,0.013551895,1
0.033500001,-2.0007379,0.0027249043,0,0.013614447,1
0.034000002,-2.0007448,0.0027375005,0,0.013677288,1
0.034499999,-2.0007517,0.0027501553,0,0.013740419,1
0.035,-2.0007586,0.0027628688,0,0.013803842,1
0.035500001,-2.0007658,0.0027756409,0,0.013867558,1
0.035999998,-2.0007727,0.0027884727,0,0.013931568,1
0.036499999,-2.0007799,0.0028013636,0,0.013995873,1
0.037,-2.0007873,0.0028143146,0,0.014060475,1
0.037500001,-2.0007944,0.0028273256,0,0.014125375,1
0.037999999,-2.0008018,0.0028403967,0,0.014190575,1
0.0385,-2.0008092,0.0028535286,0,0.014256076,1
0.039000001,-2.0008166,0.0028667215,0,0.014321879,1
0.039500002,-2.0008242,0.0028799756,0,0.014387986,1
0.039999999,-2.0008318,0.0028932909,0,0.014454397,1
0.0405,-2.0008395,0.0029066682,0,0.014521116,1
0.041000001,-2.0008473,0.0029201075,0,0.014588143,1
0.041499998,-2.0008552,0.0029336093,0,0.014655478,1
0.041999999,-2.0008631,0.0029471735,0,0.014723125,1
0.0425,-2.0008712,0.0029608007,0,0.014791084,1
0.043000001,-2.0008793,0.0029744911,0,0.014859356,1
0.043499999,-2.0008874,0.0029882451,0,0.014927944,1
0.044,-2.0008955,0.0030020631,0,0.014996848,1
0.044500001,-2.0009038,0.003015945,0,0.01506607,1
0.045000002,-2.0009122,0.0030298913,0,0.015135612,1
0.045499999,-2.0009205,0.0030439023,0,0.015205476,1
0.046,-2.0009291,0.0030579786,0,0.015275661,1
0.046500001,-2.0009377,0.00307212,0,0.015346169,1
0.046999998,-2.0009465,0.0030863271,0,0.015417005,1
0.047499999,-2.0009551,0.0031006003,0,0.015488166,1
0.048,-2.0009639,0.0031149394,0,0.015559657,1
0.048500001,-2.000973,0.0031293454,0,0.015631476,1
0.048999999,-2.000982,0.0031438181,0,0.015703628,1
0.0495,-2.0009911,0.0031583582,0,0.015776113,1
0.050000001,-2.0010002,0.0031729657,0,0.015848933,1
0.050500002,-2.0010095,0.003187641,0,0.015922088,1
0.050999999,-2.0010188,0.0032023846,0,0.015995581,1
0.0515,-2.0010283,0.0032171963,0,0.016069412,1
0.052000001,-2.0010378,0.0032320772,0,0.016143586,1
0.052499998,-2.0010474,0.0032470271,0,0.016218102,1
0.052999999,-2.0010571,0.0032620463,0,0.016292959,1
0.0535,-2.0010669,0.0032771353,0,0.016368166,1
0.054000001,-2.0010767,0.0032922945,0,0.016443716,1
0.054499999,-2.0010867,0.0033075241,0,0.016519617,1
0.055,-2.0010967,0.0033228244,0,0.016595868,1
0.055500001,-2.001107,0.0033381958,0,0.016672472,1
0.056000002,-2.0011172,0.0033536386,0,0.016749429,1
0.056499999,-2.0011275,0.0033691532,0,0.016826741,1
0.057,-2.001138,0.0033847399,0,0.01690441,1
0.057500001,-2.0011485,0.0034003991,0,0.016982436,1
0.057999998,-2.0011592,0.003416131,0,0.017060824,1
0.058499999,-2.0011699,0.003431936,0,0.017139573,1
0.059,-2.0011806,0.0034478146,0,0.017218687,1
0.059500001,-2.0011916,0.003463767,0,0.017298164,1
0.059999999,-2.0012026,0.0034797934,0,0.017378008,1
