"time","bodyBox.body.Q[1]","bodyBox.body.Q[2]","bodyBox.body.Q[3]","bodyBox.body.Q[4]","bodyBox.body.w_a[1]","bodyBox.body.w_a[2]","bodyBox.body.w_a[3]","bodyBox.v_0[1]","bodyBox.v_0[2]","bodyBox.v_0[3]","bodyBox1.body.Q[1]","bodyBox1.body.Q[2]","bodyBox1.body.Q[3]","bodyBox1.body.Q[4]","bodyBox1.body.w_a[1]","bodyBox1.body.w_a[2]","bodyBox1.body.w_a[3]","bodyBox2.body.Q[1]","bodyBox2.body.Q[2]","bodyBox2.body.Q[3]","bodyBox2.body.Q[4]","bodyBox2.body.frame_a.r_0[1]","bodyBox2.body.frame_a.r_0[2]","bodyBox2.body.frame_a.r_0[3]","bodyBox2.body.w_a[1]","bodyBox2.body.w_a[2]","bodyBox2.body.w_a[3]","bodyBox2.v_0[1]","bodyBox2.v_0[2]","bodyBox2.v_0[3]","universal.phi_a","universal.phi_b","universal.w_a","universal.w_b","universalSpherical.rRod_0[1]","universalSpherical.rRod_0[2]","universalSpherical.rRod_0[3]"
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.1415926535898,0,0,1,0,0
0.0004,-2.76869416696109e-23,-1.18312075540071e-28,-5.5715997685892e-19,1,-1.49773824991978e-19,-2.39546621282364e-24,-1.67147986480738e-14,-3.07745229551632e-09,-0.00392265999999438,-7.02670089095337e-25,3.30142214916468e-44,2.6202157662034e-22,-5.56681450402803e-19,1,-1.89788741320924e-51,9.23874794761268e-18,-1.67073996222493e-14,-6.17225995596296e-23,-1.21701268737471e-22,-5.57187416340931e-19,1,0.999999999999692,-7.84532000101916e-07,5.91345764017564e-29,7.81184268137009e-20,1.74679783364054e-19,-1.67147637102108e-14,-3.07745230108189e-09,-0.00392265999999438,6.20385459414771e-25,-1.5703279833419,3.14159343801475,-1.16675357326242,0.00392241732829123,0.999999999999692,-7.84532000101916e-07,-1.20915898384398e-29
0.0008,-5.76416713763272e-23,-9.85471051490589e-28,-3.56582407719206e-17,1,-1.49772820468079e-19,-1.41550053760041e-23,-5.34873556597984e-13,-2.46196183611303e-08,-0.00784531999981993,0,9.70025678638874e-41,1.23381364683765e-20,-3.5650159014701e-17,1,9.65601279907984e-49,1.57369281265511e-16,-5.34782176648884e-13,-2.32728816042931e-22,-5.04079890087387e-22,-3.56583446913386e-17,1,0.999999999995076,-3.13812800007828e-06,2.25769360334853e-27,-2.05649293044189e-19,-4.59801597622536e-19,-5.34873648626119e-13,-2.46196183464784e-08,-0.00784531999981993,1.60783231564995e-23,-1.5705617438781,3.14159579151368,-0.29271427882682,0.0078450773270007,0.999999999995076,-3.13812800007828e-06,-3.42107712795149e-28
0.0012,-8.75960548009685e-23,-5.98878190830325e-27,-4.06169677778388e-16,1,-1.49769262374784e-19,-8.86012597427709e-23,-4.06169606946163e-12,-8.30912119586414e-08,-0.0117679799986326,0,-4.2618862090479e-38,9.47168192834563e-20,-4.06115155152485e-16,1,6.79596698954397e-47,7.89828766760913e-16,-4.06125692010485e-12,-4.21601221645499e-22,-9.26412525008037e-22,-4.06169866160739e-16,1,0.999999999975073,-7.0607879998288e-06,1.9020559757842e-27,5.21642178113769e-20,1.16577829767204e-19,-4.06169604585953e-12,-8.30912119623582e-08,-0.0117679799986326,-2.27474668452083e-23,-1.57063984667022,3.14159971407661,-0.13024784735173,0.011767737325854,0.999999999975073,-7.0607879998288e-06,-1.49635451462466e-27
0.0016,-1.1754955412682e-22,-2.86461026942113e-26,-2.28212745638628e-15,1,-1.49766065697311e-19,-1.62114415571225e-22,-1.7115953797846e-11,-1.96956946808359e-07,-0.0156906399942376,0,-2.06969890896196e-37,4.00401263640772e-19,-2.28190545617421e-15,1,-9.23569866378562e-46,2.50616137028647e-15,-1.71145903641616e-11,-6.57816873954433e-22,-1.45463334321093e-21,-2.2821277503606e-15,1,0.999999999921217,-1.25525119985657e-05,-1.73260513414665e-26,-1.07982401280476e-18,-2.41476937306803e-18,-1.71159542802807e-11,-1.96956946731428e-07,-0.0156906399942376,-7.52734357423255e-23,-1.57067893243332,3.14160520570354,-0.0733073332258461,0.0156903973223273,0.999999999921217,-1.25525119985657e-05,-6.1613947477538e-27
0.002,-1.47502985973862e-22,-5.1929578005782e-26,-8.70562752981943e-15,1,-1.49768010449575e-19,-1.08675150570437e-22,-5.2233745663292e-11,-3.8468153650612e-07,-0.0196132999824146,0,-3.71320919701912e-37,1.22307558245093e-18,-8.70496028202914e-15,1,2.55649036726472e-45,6.12235988202739e-15,-5.22304416696315e-11,-1.31074658954064e-21,-2.91466236027598e-21,-8.70562811241842e-15,1,0.999999999807659,-1.96132999942405e-05,-4.0264047669812e-26,-2.91790483345023e-19,-6.52601206916803e-19,-5.22337457938753e-11,-3.84681536485332e-07,-0.0196132999824146,-4.71492949155226e-23,-1.5707023948463,3.14161226639446,-0.046933368464231,0.0196130573130066,0.999999999807659,-1.96132999942405e-05,-1.28680926447184e-26
0.0024,-1.7745770027831e-22,-6.52783345026186e-26,-2.59948619307939e-14,1,-1.49766241487109e-19,-2.19393884103606e-22,-1.29974273749833e-10,-6.64729694365629e-07,-0.023535959956242,0,-6.16351149398766e-33,3.04585135930584e-18,-2.59932141206567e-14,1,-7.24817070598113e-44,1.27015653263722e-14,-1.29967456295481e-10,-1.85498128181266e-21,-4.13170238335249e-21,-2.59948627570915e-14,1,0.999999999601162,-2.82431519825991e-05,-1.05568522099027e-25,-1.49700212920764e-19,-3.3575506773119e-19,-1.29974273817042e-10,-6.64729694354971e-07,-0.023535959956242,-3.66441011360991e-22,-1.57071804110117,3.14162089614938,-0.0326002446704298,0.0235357172924308,0.999999999601162,-2.82431519825991e-05,-1.59213293451477e-26
0.0028,-2.07410133190193e-22,-1.04645934415592e-25,-6.55493371916836e-14,1,-1.4975155368616e-19,-1.75962187741998e-22,-2.80925618796571e-10,-1.05556613316121e-06,-0.0274586199054217,0,-4.93045065992906e-32,6.58804234919537e-18,-6.55457918677441e-14,1,-1.39477515960137e-42,2.35571545317885e-14,-2.8091302892494e-10,-1.71470141895569e-21,-3.81817606302185e-21,-6.55493379551423e-14,1,0.999999999261104,-3.84420679559658e-05,-2.12406691176535e-25,-5.0346036054801e-19,-1.12522305995131e-18,-2.80925619025172e-10,-1.05556613312534e-06,-0.0274586199054217,1.93560263337408e-22,-1.57072921921906,3.14163109496829,-0.0239552374826275,0.0274583772525029,0.999999999261104,-3.84420679559658e-05,-3.81781467137404e-26
0.0032,-2.37355793249615e-22,-2.10399204974286e-25,-1.46056238299395e-13,1,-1.49732719300034e-19,-4.52748335830212e-22,-5.47710515288089e-10,-1.5756555647461e-06,-0.0313812798156041,-1.3280617870364e-22,-1.47912284102946e-31,1.28515337625863e-17,-1.4604934430518e-13,1,-1.34174262196863e-42,4.01825781721954e-14,-5.47689033196685e-10,-2.61711957409913e-21,-5.83581389433491e-21,-1.46056239459337e-13,1,0.999999998739476,-5.02100479017578e-05,-4.98882142501206e-26,1.02153276660242e-18,2.28536305667921e-18,-5.47710514834691e-10,-1.57565556481887e-06,-0.0313812798156041,4.10281583826302e-22,-1.57073760402653,3.14164286285118,-0.0183431389657815,0.0313810371819483,0.999999998739476,-5.02100479017578e-05,-6.83531872643793e-26
0.0036,-2.67303182681417e-22,-2.65390729643139e-25,-2.96097813431946e-13,1,-1.49730620368244e-19,-3.03077503573513e-22,-9.86992125881577e-10,-2.24346269952138e-06,-0.0353039396677127,-8.8902734788398e-23,-6.1629861092895e-31,2.31659829296973e-17,-2.96085410143958e-13,1,-1.68273881629157e-42,6.43806608546985e-14,-9.86957769160635e-10,-3.88024500805275e-21,-8.65997200292993e-21,-2.96097815156786e-13,1,0.999999997980884,-6.35470918007298e-05,1.57375196317671e-25,-9.61892328732094e-19,-2.14908562310513e-18,-9.86992126308623e-10,-2.24346269945283e-06,-0.0353039396677127,6.61744490042422e-22,-1.57074412631762,3.14165619979803,-0.0144947611012214,0.0353036970657813,0.999999997980884,-6.35470918007298e-05,-9.71525656520754e-26
