"time","volume.medium.h","volume.medium.p"
0,84013.0581525969,101325
4.54390893831219e-09,84013.0582527771,101325.1
0.000202,84017.5116816581,105770.523311921
0.000404,84021.9652245762,110216.070003487
0.000606,84026.4187813517,114661.640075111
0.000808,84030.8723519845,119107.233526855
0.00101,84035.3259364755,123552.850359607
0.001212,84039.7795348247,127998.490573385
0.001414,84044.2331470319,132444.154168043
0.001616,84048.6867730973,136889.841143582
0.001818,84053.1404130226,141335.551502265
0.00202,84057.5940668084,145781.285244553
0.002222,84062.0477344536,150227.042369279
0.002424,84066.5014159582,154672.822876442
0.002626,84070.9551113222,159118.626766043
0.002828,84075.4088205456,163564.454038081
0.00303,84079.8625436285,168010.304692556
0.003232,84084.3162805707,172456.178729469
0.003434,84088.7700313749,176902.076151643
0.003636,84093.2237960493,181347.996968714
0.003838,84097.6775745859,185793.941171336
0.00404,84102.1313669846,190239.90875951
0.004242,84106.5851732454,194685.899733235
0.004444,84111.0389933684,199131.914092511
0.004646,84115.4928273535,203577.951837339
0.004848,84119.9466752007,208024.012967718
0.00505,84124.4005369101,212470.097483649
0.005252,84128.8544124816,216916.205385131
0.005454,84133.3083019152,221362.336672164
0.005656,84137.762205211,225808.491344748
0.005858,84142.2161223689,230254.669402884
0.00606,84146.6700533889,234700.870846571
0.006262,84151.1239982711,239147.09567581
0.006464,84155.5779570154,243593.3438906
0.006666,84160.0319296218,248039.615490941
0.006868,84164.4859161101,252485.91049942
0.00707,84168.9399164914,256932.228928873
0.007272,84173.3939307403,261378.570750104
0.007474,84177.8479588568,265824.935963114
0.007676,84182.3020008409,270271.324567901
0.007878,84186.7560566925,274717.736564466
0.00808,84191.2101264117,279164.17195281
0.008282,84195.6642099984,283610.630732931
0.008484,84200.1183074528,288057.112904831
0.008686,84204.5724187747,292503.618468508
0.008888,84209.0265439641,296950.147423964
0.00909,84213.4806830212,301396.699771198
0.009292,84217.9348359458,305843.275510209
0.009494,84222.3890027379,310289.874640999
0.009696,84226.8431833977,314736.497163567
0.009898,84231.297377925,319183.143077913
0.0101,84235.7515863198,323629.812384038
0.010302,84240.2058085823,328076.50508194
0.010504,84244.6600447123,332523.22117162
0.010706,84249.1142947099,336969.960653078
0.010908,84253.5685585751,341416.723526315
0.01111,84258.0228363078,345863.509791329
0.011312,84262.4771279081,350310.319448122
0.011514,84266.9314333759,354757.152496692
0.011716,84271.3857527114,359204.008937041
0.011918,84275.8400859144,363650.888769168
0.01212,84280.2944329849,368097.791993073
0.012322,84284.7487939231,372544.718608756
0.012524,84289.2031687288,376991.668616217
0.012726,84293.6575574021,381438.642015456
0.012928,84298.1119599429,385885.638806473
0.01313,84302.5663763513,390332.658989268
0.013332,84307.0208066273,394779.702563841
0.013534,84311.4752507709,399226.769530193
0.013736,84315.9297089396,403673.860068945
0.013938,84320.3841810154,408120.974044574
0.01414,84324.8386669695,412568.111424431
0.014342,84329.2931668021,417015.272208514
0.014544,84333.7476805131,421462.456396823
0.014746,84338.2022081025,425909.66398936
0.014948,84342.6567495704,430356.894986123
0.01515,84347.1113049167,434804.149387112
0.015352,84351.5658741415,439251.427192329
0.015554,84356.0204572447,443698.728401772
0.015756,84360.4750542263,448146.053015442
0.015958,84364.9296650863,452593.401033338
0.01616,84369.3842898248,457040.772455461
0.016362,84373.8389284417,461488.167281811
0.016564,84378.2935809371,465935.585512388
0.016766,84382.7482473109,470383.027147191
0.016968,84387.2029275631,474830.492186221
0.01717,84391.6576216938,479277.980629478
0.017372,84396.1123297029,483725.492476961
0.017574,84400.5670515904,488173.027728671
0.017776,84405.0217873564,492620.586384608
0.017978,84409.4765370008,497068.168444772
0.01818,84413.9313005236,501515.773909162
0.018382,84418.3860779249,505963.402777779
0.018584,84422.8408692046,510411.055050622
0.018786,84427.2956743627,514858.730727692
0.018988,84431.7504933993,519306.429808989
0.01919,84436.2053263143,523754.152294513
0.019392,84440.6601731077,528201.898184263
0.019594,84445.1150337796,532649.66747824
0.019796,84449.5699083299,537097.460176444
0.019998,84454.0247967587,541545.276278875
0.0202,84458.4796990659,545993.115785532
0.020402,84462.9346152515,550440.978696416
0.020604,84467.3895453155,554888.865011526
0.020806,84471.844489258,559336.774730864
0.021008,84476.2994470789,563784.707854427
0.02121,84480.7544187783,568232.664382218
0.021412,84485.2094043561,572680.644314235
0.021614,84489.6644038123,577128.647650479
0.021816,84494.1194171469,581576.67439095
0.022018,84498.57444436,586024.724535648
0.02222,84503.0294854516,590472.798084572
0.022422,84507.4845404215,594920.895037723
0.022624,84511.9396092699,599369.0153951
0.022826,84516.3946919968,603817.159156704
0.023028,84520.849788602,608265.326322535
0.02323,84525.3048990857,612713.516892593
0.023432,84529.7600234478,617161.730866877
0.023634,84534.2151616884,621609.968245388
0.023836,84538.6703138074,626058.229028126
0.024038,84543.1254798049,630506.51321509
0.02424,84547.5806596807,634954.820806281
0.024442,84552.035853435,639403.151801699
0.024644,84556.4910610678,643851.506201344
0.024846,84560.946282579,648299.884005215
0.025048,84565.4015179686,652748.285213313
0.02525,84569.8567672366,657196.709825637
0.025452,84574.3120303831,661645.157842189
0.025654,84578.767307408,666093.629262967
0.025856,84583.2225983114,670542.124087971
0.026058,84587.6779030931,674990.642317203
0.02626,84592.1332217533,679439.183950661
0.026462,84596.588554292,683887.748988346
0.026664,84601.0439007091,688336.337430257
0.026866,84605.4992610046,692784.949276395
0.027068,84609.9546351786,697233.58452676
0.02727,84614.4100237361,701682.243760312
0.027472,84618.8654264215,706130.926683969
0.027674,84623.3208430071,710579.633036731
