"time","Ie.re","Ie.im","Im.re","Im.im"
0,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.005,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.01,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.015,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.02,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.025,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.03,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.035,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.04,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.045,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.05,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.055,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.06,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.065,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.07,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.075,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.08,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.085,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.09,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.095,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.1,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.105,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.11,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.115,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.12,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.125,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.13,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.135,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.14,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.145,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.15,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.155,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.16,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.165,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.17,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.175,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.18,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.185,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.19,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.195,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.2,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.205,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.21,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.215,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.22,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
0.225,4.2217159850677e-05,-15.9154943090776,4.22171598447774e-05,-15.9154943090776
