"time","h1","s1"
0,-105128.34143377881,-401.29833996167275
0.00020000000000000001,-105032.84850826435,-400.99050034358123
0.00040000000000000002,-104937.35558274986,-400.68266072548965
0.00060000000000000006,-104841.86265723538,-400.37482110739802
0.00080000000000000004,-104746.36973172092,-400.06698148930644
0.001,-104650.87680620645,-399.75914187121487
0.0012000000000000001,-104555.38388069197,-399.45130225312323
0.0014,-104459.89095517749,-399.14346263503165
0.0016000000000000001,-104364.39802966302,-398.83562301694008
0.0018000000000000002,-104268.90510414854,-398.5277833988485
0.002,-104173.41217863407,-398.21994378075686
0.0022000000000000001,-104077.9192531196,-397.91210416266529
0.0024000000000000002,-103982.42632760512,-397.60426454457371
0.0026000000000000003,-103886.93340209065,-397.29642492648213
0.0028,-103791.44047657617,-396.98858530839055
0.0030000000000000001,-103695.9475510617,-396.68074569029892
0.0032000000000000002,-103600.45462554722,-396.37290607220734
0.0034000000000000002,-103504.96170003274,-396.06506645411577
0.0036000000000000003,-103409.46877451827,-395.75722683602419
0.0038,-103313.97584900379,-395.44938721793261
0.0040000000000000001,-103218.48292348931,-395.14154759984103
0.0042000000000000006,-103122.98999797484,-394.83370798174946
0.0044000000000000003,-103027.49707246036,-394.52586836365782
0.0045999999999999999,-102932.0041469459,-394.21802874556624
0.0048000000000000004,-102836.51122143141,-393.91018912747467
0.0050000000000000001,-102741.01829591695,-393.60234950938309
0.0052000000000000006,-102645.52537040247,-393.29450989129151
0.0054000000000000003,-102550.032444888,-392.98667027319988
0.0055999999999999999,-102454.53951937352,-392.6788306551083
0.0058000000000000005,-102359.04659385905,-392.37099103701672
0.0060000000000000001,-102263.55366834457,-392.06315141892514
0.0062000000000000006,-102168.0607428301,-391.75531180083351
0.0064000000000000003,-102072.56781731562,-391.44747218274193
0.0066,-101977.07489180115,-391.13963256465036
0.0068000000000000005,-101881.58196628667,-390.83179294655878
0.0070000000000000001,-101786.0890407722,-390.5239533284672
0.0072000000000000007,-101690.59611525772,-390.21611371037557
0.0074000000000000003,-101595.10318974325,-389.90827409228399
0.0076,-101499.61026422877,-389.60043447419241
0.0078000000000000005,-101404.11733871429,-389.29259485610083
