"time","SourceP1.ports[1].m_flow","SourceP1.ports[1].p","SourceP1.ports[1].h_outflow","V1.port_b.m_flow","V1.port_b.p","V1.port_b.h_outflow","V1.minLimiter.y","SinkP1.ports[1].m_flow","SinkP1.ports[1].p","SinkP1.ports[1].h_outflow","Opening.y","SourceP2.ports[1].m_flow","SourceP2.ports[1].p","SourceP2.ports[1].h_outflow","V2.port_b.m_flow","V2.port_b.p","V2.port_b.h_outflow","V2.minLimiter.y","SinkP2.ports[1].m_flow","SinkP2.ports[1].p","SinkP2.ports[1].h_outflow","SourceP3.ports[1].m_flow","SourceP3.ports[1].p","SourceP3.ports[1].h_outflow","V3.port_b.m_flow","V3.port_b.p","V3.port_b.h_outflow","V3.minLimiter.y","SinkP3.ports[1].m_flow","SinkP3.ports[1].p","SinkP3.ports[1].h_outflow"
0,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368,0,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368
0.0008,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368,0,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368
0.0016,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368,0,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368
0.0024,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368,0,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368
0.0032,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368,0,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368
0.004,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368,0,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368
0.0048,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368,0,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368
0.0056,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368,0,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368
0.0064,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368,0,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368
0.0072,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368,0,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368,-0,1000000,84858.4652350282,-0,100000,84858.4652350282,0.001,0,100000,84011.8111671368
