"time","cp[1]","cp[2]","cp[3]","eta[1]","eta[2]","eta[3]","lambda[1]","lambda[2]","lambda[3]","rho[1]","rho[2]","rho[3]","Re_1[1]","Re_1[2]","Re_1[3]","Nu_1[1]","Nu_1[2]","Nu_1[3]","Nu_2[1]","Nu_2[2]","Nu_2[3]","Nu_3[1]","Nu_3[2]","Nu_3[3]","m_flow[1]","m_flow[2]","m_flow[3]","input_mflow_0.y","input_mflow_1.y","input_mflow_2.y"
0,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1,1,1,0,0,0,0,0,0,1.87124155541658,7.32209713577645,53.188434226196,0,0,0,0,0,0
0.000202,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,225.609112312722,225.609112312722,225.609112312722,1.53507368027075,3.82568628494186,27.7901616932199,1.56979597849508,3.35990232718858,17.5379200376671,0.442955609425535,4.40535706163505,32.0009472656138,0.0003232,0.017747649122807,2.02,2.02,0.00126920309129513,0.00201796117304121
0.000404,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,451.218224625444,451.218224625444,451.218224625444,2.67271851412151,6.66090670070079,48.385481832246,2.73317354667777,5.84992972710796,30.535292335667,0.615548714244304,1.99127951198677,14.4648503543853,0.0006464,0.035495298245614,4.04,4.04,0.00253840413806001,0.00403185017878649
0.000606,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,676.827336938165,676.827336938165,676.827336938165,3.6968023305527,9.21311214953677,66.9249533975541,3.78042142626622,8.09139972446759,42.2352519631889,1.56839191735854,0.263560193653587,1.91452718597412,0.0009696,0.0532429473684211,6.06,6.06,0.00380760109576771,0.00604167523471144
0.000808,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,902.436449250887,902.436449250887,902.436449250887,4.65347321600092,11.597312160716,84.2440169288323,4.7587315412928,10.1853192383531,53.1650318864535,2.45851178468863,2.4208404643359,17.5852233891171,0.0012928,0.0709905964912281,8.08,8.08,0.00507679191989786,0.00804744454170891
0.00101,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1128.04556156361,1128.04556156361,1128.04556156361,5.56295092853558,13.8638980946827,100.708720227804,5.68878100668133,12.1759443934482,63.5556389325335,3.30472148243827,4.50836288850391,32.7491917296977,0.001616,0.0887382456140351,10.1,10.1,0.00634597456593999,0.0100491662841227
0.001212,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1353.65467387633,1353.65467387633,1353.65467387633,6.43650670251416,16.0409599429792,116.523111757615,6.58209600426559,14.0879451759787,73.5358447750156,4.11750815909659,6.54192734081622,47.5212040522402,0.0019392,0.106485894736842,12.12,12.12,0.00761514698939678,0.0120468486297811
0.001414,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1579.26378618905,1579.26378618905,1579.26378618905,7.2812787503771,18.146287445462,131.816417939429,7.44597620788319,15.9369453940386,83.1872021110776,4.90351345580386,8.53169002451172,61.9750360166334,0.0022624,0.124233543859649,14.14,14.14,0.00888430714578741,0.01404049973003
0.001616,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1804.87289850177,1804.87289850177,1804.87289850177,8.10216745894606,20.1920932684646,146.677352783446,8.28543284769496,17.7336708005984,92.565696912817,5.66729686290715,10.484708457434,76.1619541270853,0.0025856,0.141981192982456,16.16,16.16,0.0101534529906508,0.0160301277197659
0.001818,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,2030.4820108145,2030.4820108145,2030.4820108145,8.90273062904021,22.1872441067739,161.17032483325,9.10410419949835,19.4859085549362,101.711976366801,6.41216868203822,12.4061596361179,90.1195645959388,0.0029088,0.159728842105263,18.18,18.18,0.0114225824795489,0.0180157407174697
