"time","body.frame_a.r_0[1]","body.frame_a.r_0[2]","body.frame_a.r_0[3]","body.v_0[1]","body.v_0[2]","body.v_0[3]","body.w_a[1]","body.w_a[2]","body.w_a[3]"
0,0,-0.3,0,0,0,0,0,0,0
0.001,0,-0.300003670345749,0,0,-0.00734066949495399,0,0,0,0
0.002,0,-0.300014681128073,0,0,-0.0146810226817801,0,0,0,0
0.003,0,-0.300033031390882,0,0,-0.0220206685592038,0,0,0,0
0.004,0,-0.300058720960202,0,0,-0.0293595649259854,0,0,0,0
0.005,0,-0.300091748041438,0,0,-0.0366972573031966,0,0,0,0
0.006,0,-0.300132112724829,0,0,-0.0440338011854108,0,0,0,0
0.007,0,-0.30017981192297,0,0,-0.0513686025854407,0,0,0,0
0.008,0,-0.300234845749704,0,0,-0.0587017322202202,0,0,0,0
0.009,0,-0.300297210275475,0,0,-0.0660326229207688,0,0,0,0
0.01,0,-0.300366905789516,0,0,-0.0733613658615858,0,0,0,0
0.011,0,-0.300443927291299,0,0,-0.08068744182676,0,0,0,0
0.012,0,-0.300528273521377,0,0,-0.0880107200451078,0,0,0,0
0.013,0,-0.300619942191191,0,0,-0.0953309628903353,0,0,0,0
0.014,0,-0.30071892935296,0,0,-0.102647871757287,0,0,0,0
0.015,0,-0.300825230289107,0,0,-0.109961119749599,0,0,0,0
0.016,0,-0.300938843142028,0,0,-0.117270485079226,0,0,0,0
0.017,0,-0.301059764843587,0,0,-0.124575701469306,0,0,0,0
0.018,0,-0.301187988881847,0,0,-0.13187650143536,0,0,0,0
0.019,0,-0.301323509986511,0,0,-0.139172617928309,0,0,0,0
0.02,0,-0.301466325713546,0,0,-0.146463784890138,0,0,0,0
0.021,0,-0.301616432076721,0,0,-0.153749735722043,0,0,0,0
0.022,0,-0.301773816629996,0,0,-0.161030237990433,0,0,0,0
0.023,0,-0.301938473657824,0,0,-0.168305032080403,0,0,0,0
0.024,0,-0.30211039948183,0,0,-0.175573850149849,0,0,0,0
0.025,0,-0.302289588352545,0,0,-0.182836432720865,0,0,0,0
0.026,0,-0.302476034520497,0,0,-0.190092520315547,0,0,0,0
0.027,0,-0.302669732236214,0,0,-0.197341853455991,0,0,0,0
0.028,0,-0.302870675750225,0,0,-0.204584172664293,0,0,0,0
0.029,0,-0.303078859228544,0,0,-0.211819218506322,0,0,0,0
0.03,0,-0.303294261308309,0,0,-0.219046739591192,0,0,0,0
0.031,0,-0.303516885540627,0,0,-0.226266471623728,0,0,0,0
0.032,0,-0.30374672531728,0,0,-0.233478155570817,0,0,0,0
0.033,0,-0.303983774030048,0,0,-0.240681532399345,0,0,0,0
0.034,0,-0.304228025070716,0,0,-0.247876343076199,0,0,0,0
0.035,0,-0.304479471831064,0,0,-0.255062328568266,0,0,0,0
0.036,0,-0.304738107702875,0,0,-0.262239229842433,0,0,0,0
0.037,0,-0.305003915645318,0,0,-0.269406805410879,0,0,0,0
0.038,0,-0.305276862469207,0,0,-0.276564840943663,0,0,0,0
0.039,0,-0.305556962306663,0,0,-0.283713042527115,0,0,0,0
0.04,0,-0.305844206742652,0,0,-0.290851154166779,0,0,0,0
