"time","hollowCylinderAxialOuter.port_p.reference.gamma"
0,0
0.0005,0.15707963267949
0.001,0.314159265358979
0.0015,0.471238898038469
0.002,0.628318530717959
0.0025,0.785398163397449
0.003,0.942477796076938
0.0035,1.09955742875643
0.004,1.25663706143592
0.0045,1.41371669411541
0.005,1.5707963267949
0.0055,1.72787595947439
0.006,1.88495559215388
0.0065,2.04203522483337
0.007,2.19911485751286
0.0075,2.35619449019235
0.008,2.51327412287184
0.0085,2.67035375555133
0.009,2.82743338823082
0.0095,2.9845130209103
0.01,3.14159265358979
0.0105,3.29867228626928
0.011,3.45575191894877
0.0115,3.61283155162826
0.012,3.76991118430775
0.0125,3.92699081698724
0.013,4.08407044966673
0.0135,4.24115008234622
0.014,4.39822971502571
0.0145,4.5553093477052
0.015,4.71238898038469
0.0155,4.86946861306418
0.016,5.02654824574367
0.0165,5.18362787842316
0.017,5.34070751110265
0.0175,5.49778714378214
0.018,5.65486677646163
0.0185,5.81194640914112
0.019,5.96902604182061
0.0195,6.1261056745001
0.02,6.28318530717959
0.0205,6.44026493985908
0.021,6.59734457253857
0.0215,6.75442420521806
0.022,6.91150383789754
0.0225,7.06858347057703
0.023,7.22566310325652
0.0235,7.38274273593601
0.024,7.5398223686155
0.0245,7.69690200129499
0.025,7.85398163397448
0.0255,8.01106126665397
0.026,8.16814089933346
0.0265,8.32522053201295
0.027,8.48230016469244
0.0275,8.63937979737193
0.028,8.79645943005142
0.0285,8.95353906273091
0.029,9.1106186954104
0.0295,9.26769832808989
0.03,9.42477796076938
0.0305,9.58185759344887
0.031,9.73893722612836
0.0315,9.89601685880784
0.032,10.0530964914873
0.0325,10.2101761241668
0.033,10.3672557568463
0.0335,10.5243353895258
0.034,10.6814150222053
0.0345,10.8384946548848
0.035,10.9955742875643
0.0355,11.1526539202438
0.036,11.3097335529233
0.0365,11.4668131856027
0.037,11.6238928182822
0.0375,11.7809724509617
0.038,11.9380520836412
0.0385,12.0951317163207
0.039,12.2522113490002
0.0395,12.4092909816797
0.04,12.5663706143592
0.0405,12.7234502470387
0.041,12.8805298797181
0.0415,13.0376095123976
0.042,13.1946891450771
0.0425,13.3517687777566
0.043,13.5088484104361
0.0435,13.6659280431156
0.044,13.8230076757951
0.0445,13.9800873084746
0.045,14.1371669411541
0.0455,14.2942465738336
0.046,14.451326206513
0.0465,14.6084058391925
0.047,14.765485471872
0.0475,14.9225651045515
0.048,15.079644737231
0.0485,15.2367243699105
0.049,15.39380400259
0.0495,15.5508836352695
0.05,15.707963267949
0.0505,15.8650429006285
0.051,16.0221225333079
0.0515,16.1792021659874
0.052,16.3362817986669
0.0525,16.4933614313464
0.053,16.6504410640259
0.0535,16.8075206967054
0.054,16.9646003293849
0.0545,17.1216799620644
0.055,17.2787595947439
0.0555,17.4358392274233
0.056,17.5929188601028
0.0565,17.7499984927823
0.057,17.9070781254618
