"time","gc1.actuatedRevolute_b.phi","gc1.actuatedRevolute_b.w","gc2.actuatedRevolute_b.phi","gc2.actuatedRevolute_b.w"
0,0,0,0,0
0.001,3.03229963519138e-09,7.56098456627169e-06,4.9619448575859e-09,1.23725201993537e-05
0.002,2.42560105571109e-08,3.02435538401446e-05,3.96916536389087e-08,4.94894517384185e-05
0.003,8.73641588577688e-08,6.80478159172791e-05,1.42959532676349e-07,0.000111350971501002
0.004,1.94039472116364e-07,0.000120973771191209,3.17519136190413e-07,0.00019795708013107
0.005,4.0136241212127e-07,0.000189021426505128,6.56774856198442e-07,0.000309307788826572
0.006,6.9884264807453e-07,0.000272190780567202,1.14356069684923e-06,0.000445403095473603
0.007,1.08248304789433e-06,0.000370481832885206,1.77133589655435e-06,0.000606242999266701
0.008,1.55228361158066e-06,0.000483894583459139,2.54010045531381e-06,0.000791827500205864
0.009,2.19195231270176e-06,0.000612429033177982,3.58683105714834e-06,0.00100215659974579
0.01,2.97570495763247e-06,0.000756085181767906,4.86933538521678e-06,0.00123723029743839
0.011,3.88780774364489e-06,0.000914863029061818,6.36186721687345e-06,0.00149704859301025
0.012,4.928260670739e-06,0.00108876257505972,8.06442655211837e-06,0.00178161148646136
0.013,6.19812174600746e-06,0.00127778382077572,1.01423810389213e-05,0.00209091897945117
0.014,7.68749878122541e-06,0.00148192676611054,1.2579543460187e-05,0.00242497107181725
0.015,9.36417223963499e-06,0.00170119141074088,1.53231909375845e-05,0.00278376776303053
0.016,1.12281421212362e-05,0.00193557775466673,1.83733234711138e-05,0.00316730905309101
0.017,1.33680143512865e-05,0.00218508579817476,2.18749325748325e-05,0.0035755949424678
0.018,1.57994556020644e-05,0.00244971554131569,2.58536546215599e-05,0.00400862543124385
0.019,1.84791343574852e-05,0.00272946698394929,3.02385834940667e-05,0.00446640051918975
0.02,2.1407050617549e-05,0.00302434012607558,3.50297191923529e-05,0.00494892020630549
0.021,2.46313817657843e-05,0.00333433496771874,4.03058974349197e-05,0.00545618449263067
0.022,2.81983458177632e-05,0.00365945150890199,4.61427477017943e-05,0.00598819337820326
0.023,3.20910173773388e-05,0.00399968974961683,5.25125738901908e-05,0.00654494686300935
0.024,3.63231885048554e-05,0.00435504968987017,5.9437944826127e-05,0.00712644494706029
0.025,4.09086512606571e-05,0.00472553132966896,6.69414293356207e-05,0.00773268763036739
0.026,4.58611977050883e-05,0.00511113466902011,7.504559624469e-05,0.008363674912942
0.027,5.11946198984933e-05,0.00551185970793055,8.37730143793526e-05,0.00901940679479545
0.028,5.69227099012162e-05,0.00592770644640721,9.31462525656266e-05,0.00969988327593907
0.029,6.30691357948863e-05,0.00635867488446687,0.000103204040391632,0.0104051043564003
0.03,6.96661708091541e-05,0.00680476502213492,0.000113999188596798,0.0111350700362208
0.031,7.67129129427679e-05,0.0072659768594036,0.000125530221179075,0.0118897803153877
0.032,8.42248295487921e-05,0.00774231039628153,0.000137822448352569,0.0126692351939152
0.033,9.22173879802914e-05,0.00823376563277729,0.000150901180331386,0.0134734346718174
0.034,0.00010070605559033,0.00874034256889948,0.000164791727329631,0.0143023787491082
0.035,0.000109706299731973,0.00926204120465671,0.00017951939956141,0.0151560674258019
0.036,0.000119233587758284,0.00979886154005757,0.000195109507240828,0.0160345007019124
0.037,0.000129303523084279,0.0103508035750904,0.000211587583228821,0.0169376785774206
0.038,0.000139932506224912,0.0109178673096244,0.000228980464731675,0.0178656010521127
0.039,0.000151135339301885,0.0115000527437676,0.000247312373403085,0.0188182681261651
0.04,0.000162927532973276,0.012097359877522,0.000266608690319907,0.0197956797995815
0.041,0.000175324597897165,0.0127097887108899,0.000286894796558998,0.0207978360723653
0.042,0.00018834204473163,0.0133373392438733,0.000308196073197213,0.02182473694452
0.043,0.00020199538413475,0.0139800114764744,0.000330537901311409,0.022876382416049
0.044,0.000216300126764603,0.0146378054086953,0.000353945661978441,0.023952772486956
0.045,0.000231271783279268,0.0153107210405382,0.000378444736275167,0.0250539071572443
0.046,0.000246917336782384,0.0159987583719164,0.000404046551098447,0.0261797864267723
0.047,0.000263257284571367,0.016701917402884,0.000430784647480418,0.0273304102956284
0.048,0.000280307211838663,0.0174201981334439,0.000458684528463266,0.0285057787638173
0.049,0.000298082287289037,0.0181536005635947,0.000487771015563879,0.0297058918313367
0.05,0.000316597679627257,0.0189021246933349,0.000518068930299147,0.0309307494981843
0.051,0.000335868557558086,0.0196657705226631,0.000549603094185958,0.0321803517643578
0.052,0.000355910089786291,0.020444538051578,0.000582398328741203,0.0334546986298549
0.053,0.000376737445016637,0.021238427280078,0.000616479455481769,0.0347537900946731
0.054,0.00039836579195389,0.0220474382081618,0.000651871295924547,0.0360776261588102
0.055,0.000420810299302815,0.0228715708358279,0.000688598671586425,0.0374262068222639
0.056,0.000444086135768178,0.023710825163075,0.000726686403984292,0.0387995320850318
0.057,0.000468208470054746,0.0245652011899015,0.000766159314635038,0.0401976019471116
0.058,0.000493192470867282,0.0254346989163061,0.000807042225055552,0.0416204164085009
0.059,0.000519053306910553,0.0263193183422874,0.000849359956762723,0.0430679754691976
0.06,0.000545806146889325,0.0272190594678439,0.000893137331273441,0.0445402791291991
0.061,0.000573466159508362,0.0281339222929742,0.000938399170104593,0.0460373273885032
0.062,0.000602049691948082,0.0290639068177407,0.000985172223187771,0.0475591202472121
0.063,0.00063157198829797,0.0300090130421462,0.00103348143539668,0.0491056577053302
0.064,0.000662047413603893,0.0309692409661456,0.00108335031317001,0.0506769397627837
0.065,0.000693491166161232,0.0319445905897391,0.00113480372644565,0.0522729664195732
0.066,0.000725918444265367,0.032935061912927,0.00118786654516151,0.0538937376756987
0.067,0.000759344446211678,0.0339406549357093,0.00124256363925547,0.0555392535311607
0.068,0.000793784370295545,0.0349613696580863,0.00129891987866544,0.0572095139859594
0.069,0.000829253414812348,0.0359972060800581,0.0013569601333293,0.0589045190400951
0.07,0.000865766778057468,0.037048164201625,0.00141670927318495,0.0606242686935681
0.071,0.000903339658326284,0.038114244022787,0.00147819216817028,0.0623687629463788
0.072,0.000941987253914177,0.0391954455435445,0.0015414336882232,0.0641380017985274
0.073,0.000981724763116525,0.0402917687638975,0.00160645870328159,0.0659319852500141
0.074,0.00102256738422871,0.0414032136838463,0.00167329208328335,0.0677507133008394
0.075,0.00106453031554611,0.042529780303391,0.00174195869816637,0.0695941859510035
0.076,0.00110762875536411,0.0436714686225319,0.00181248341786855,0.0714624032005067
0.077,0.0011518715722674,0.0448282786412499,0.00188488075461938,0.0733553650493181
0.078,0.00119727748614662,0.046000210359556,0.00195918134096719,0.0752730714974553
0.079,0.00124386290053169,0.0471872637774539,0.00203541201905186,0.0772155225449246
0.08,0.00129164292002136,0.0483894388949435,0.0021135975054895,0.0791827181917257
0.081,0.00134063264921437,0.0496067357120247,0.00219376251689624,0.0811746584378587
0.082,0.00139084719270946,0.0508391542286975,0.00227593176988821,0.0831913432833232
0.083,0.00144230165510538,0.0520866944449617,0.00236012998108153,0.0852327727281191
0.084,0.00149501114100086,0.0533493563608172,0.00244638186709232,0.0872989467722463
0.085,0.00154899075499466,0.0546271399762639,0.00253471214453671,0.0893898654157046
0.086,0.0016042556016855,0.0559200452913017,0.00262514553003082,0.0915055286584938
0.087,0.00166082078567213,0.0572280723059306,0.00271770674019076,0.0936459365006137
0.088,0.0017187014115533,0.0585512210201503,0.00281242049163268,0.0958110889420642
0.089,0.00177791258392775,0.0598894914339609,0.00290931150097268,0.0980009859828452
0.09,0.00183846940739421,0.0612428835473622,0.00300840448482689,0.100215627622956
0.091,0.00190038698655143,0.0626113973603542,0.00310972415981144,0.102455013862398
0.092,0.00196368042599816,0.0639950328729366,0.00321329524254245,0.104719144701169
0.093,0.00202836483033313,0.0653937900851094,0.00331914244963603,0.10700802013927
