"time","meanCurrent.x","meanVoltage.x","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanVoltage.y","pulse2m.twomPulse.timerNegative[1].entryTime","pulse2m.twomPulse.timerNegative[2].entryTime","pulse2m.twomPulse.timerNegative[3].entryTime","pulse2m.twomPulse.timerPositive[1].entryTime","pulse2m.twomPulse.timerPositive[2].entryTime","pulse2m.twomPulse.timerPositive[3].entryTime","rectifier.pre[1].u","rectifier.pre[2].u","rectifier.pre[3].u","rectifier.thyristor_p.idealThyristor[1].off","rectifier.thyristor_p.idealThyristor[2].off","rectifier.thyristor_p.idealThyristor[3].off","rootMeanSquareVoltage.mean.y"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0001,4.07481876036526e-07,8.14963752073088e-06,6.6419637368188e-07,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0002,8.21803990698362e-07,1.64360798139685e-05,1.35095180941817e-06,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0003,1.24231907656451e-06,2.48463815312926e-05,2.05862123608586e-06,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0004,1.66898100135563e-06,3.3379620027116e-05,2.78708569335181e-06,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0005,2.10101232865274e-06,4.20202465730583e-05,3.53413926776978e-06,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0006,2.53855717850291e-06,5.07711435700613e-05,4.30019023213366e-06,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0007,2.98062393174531e-06,5.96124786349093e-05,5.08224039372038e-06,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0008,3.42730387894599e-06,6.85460775789234e-05,5.88056485918366e-06,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0009,3.87768721677428e-06,7.755374433549e-05,6.69220139249163e-06,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.001,4.33175472294279e-06,8.66350944588611e-05,7.51708792850814e-06,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
