"time","freeMotion1.phi[1]","freeMotion1.phi[2]","freeMotion1.phi[3]","freeMotion1.phi_d[1]","freeMotion1.phi_d[2]","freeMotion1.phi_d[3]","freeMotion1.r_rel_a[1]","freeMotion1.r_rel_a[2]","freeMotion1.r_rel_a[3]","freeMotion1.v_rel_a[1]","freeMotion1.v_rel_a[2]","freeMotion1.v_rel_a[3]","freeMotion2.phi[1]","freeMotion2.phi[2]","freeMotion2.phi[3]","freeMotion2.phi_d[1]","freeMotion2.phi_d[2]","freeMotion2.phi_d[3]","freeMotion2.r_rel_a[1]","freeMotion2.r_rel_a[2]","freeMotion2.r_rel_a[3]","freeMotion2.v_rel_a[1]","freeMotion2.v_rel_a[2]","freeMotion2.v_rel_a[3]","gearConstraint.actuatedRevolute_b.phi","gearConstraint.actuatedRevolute_b.w","inertia2.phi","inertia2.w","revolute1.phi","revolute1.w","revolute2.phi","revolute2.w"
0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0004,-2.70550120782472e-08,8.46603473100908e-16,-3.63448605875252e-07,-0.000136262773755339,5.09563861121169e-12,-0.00181733885638723,1.39863548079973e-13,3.49116997318744e-07,-1.91400167069388e-14,8.41891575816158e-10,0.00174560786355863,-1.15153869359516e-10,-2.70550120787053e-08,8.45916831061969e-16,-3.63448605876432e-07,-0.000136262773757273,5.09117771323901e-12,-0.00181733885639358,1.39863657820745e-13,3.49116997319056e-07,-1.91410681377012e-14,8.41892255672179e-10,0.00174560786356027,-1.15160704522138e-10,6.55176500929522e-09,3.34077752576068e-05,6.55176500929218e-09,3.34077752574363e-05,3.85244193158486e-07,0.00192631490134523,3.85244193160567e-07,0.00192631490135628
0.0008,-1.12729127084787e-07,1.37380012574909e-14,-1.45428797293165e-06,-0.00028578081441111,4.13447950097012e-11,-0.00363615219082324,2.23920659210271e-12,1.39662659243585e-06,-3.247282772116e-13,6.74044384626756e-09,0.00349170476233245,-9.76580314077142e-10,-1.1272912709519e-07,1.37391014587688e-14,-1.4542879729776e-06,-0.00028578081444579,4.13480749579659e-11,-0.00363615219096314,2.23920567059847e-12,1.39662659245149e-06,-3.24726992346741e-13,6.74044135083926e-09,0.00349170476237975,-9.76576411646051e-10,2.91678831084888e-08,7.55187007701701e-05,2.91678831038643e-08,7.55187007573217e-05,1.54146508294037e-06,0.00385409030823607,1.54146508302803e-06,0.00385409030850284
0.0012,-2.63433567243235e-07,7.09361420242344e-14,-3.2732334780203e-06,-0.000448553938336199,1.39960558457589e-10,-0.00545643998288335,1.13737433026739e-11,3.14276745392355e-06,-1.76416081970081e-12,2.25060526315416e-08,0.00523829068949285,-3.45060881178612e-09,-2.63433567274303e-07,7.09446964339056e-14,-3.2732334781719e-06,-0.000448553938407068,1.3998834084018e-10,-0.00545643998325152,1.13737391513473e-11,3.14276745397599e-06,-1.76414917287268e-12,2.25060409696768e-08,0.00523829068962139,-3.45056998546414e-09,7.20577692497952e-08,0.00012633265596869,7.20577692329504e-08,0.000126332655925533,3.46937142196339e-06,0.0057833262004393,3.46937142225381e-06,0.0057833262011464
0.0016,-4.86992546599229e-07,2.2609056120363e-13,-5.82115565249606e-06,-0.00062458178051435,3.40164445626488e-10,-0.00727820219227193,3.58899932945286e-11,5.58782842713761e-06,-5.79022007662169e-12,5.40217801581098e-08,0.00698536563155828,-8.70079541110701e-09,-4.86992546653386e-07,2.26105769173599e-13,-5.82115565275706e-06,-0.000624581780599746,3.40197316016292e-10,-0.00727820219270949,3.58899861361756e-11,5.58782842722787e-06,-5.79019927173267e-12,5.40217664379677e-08,0.00698536563171091,-8.70074945687685e-09,1.40358644217985e-07,0.000185849401136032,1.40358644189228e-07,0.000185849401085226,6.16982550552742e-06,0.00771402253836141,6.16982550602751e-06,0.00771402253920168
0.002,-7.81443614484801e-07,4.65960434226296e-13,-9.09783614677643e-06,-0.000813864430980126,6.32135978906675e-10,-0.00910143882893197,7.37268989173019e-11,8.73173705975659e-06,-1.20448745803201e-11,9.98122370173871e-08,0.00873292959185502,-1.64368994236791e-08,-7.81443614566409e-07,4.65982941007159e-13,-9.09783614716363e-06,-0.000813864431065046,6.32162942771511e-10,-0.00910143882934035,7.37268884309941e-11,8.73173705989037e-06,-1.20448437597378e-11,9.98122253257084e-08,0.00873292959199655,-1.64368620344638e-08,2.32782002728133e-07,0.00025406899539997,2.32782002685986e-07,0.000254068995354875,9.64261104949701e-06,0.00964617933177608,9.64261105023888e-06,0.00964617933255928
0.0024,-1.17406584609404e-06,1.18765632933948e-12,-1.31063094684331e-05,-0.00101639936008045,1.16823510961066e-09,-0.0109261496112573,1.82499821830826e-10,1.2575499833142e-05,-3.3111427145514e-11,1.80552775319417e-07,0.0104809824755329,-3.21151076587033e-08,-1.17406584620754e-06,1.18768921073e-12,-1.31063094689742e-05,-0.00101639936017163,1.16826251033902e-09,-0.0109261496116867,1.82499806902686e-10,1.25754998333291e-05,-3.31113819110692e-11,1.80552763367146e-07,0.0104809824756814,-3.21150697367793e-08,3.67238752874783e-07,0.000330989778017305,3.6723875281558e-07,0.000330989777970678,1.38907338101907e-05,0.0115797963015294,1.38907338112276e-05,0.0115797963023527
0.0028,-1.66034811613655e-06,2.32550829568314e-12,-1.78460738026593e-05,-0.00123218698614263,1.92326615845978e-09,-0.0127523345858169,3.52680942149358e-10,1.71189503060384e-05,-6.69089840776669e-11,2.92824323738365e-07,0.0122295242982773,-5.48331335786422e-08,-1.66034811628637e-06,2.32555422554371e-12,-1.78460738033799e-05,-0.0012321869862432,1.92329747227798e-09,-0.0127523345862931,3.5268092179664e-10,1.71189503062878e-05,-6.69089206166871e-11,2.92824310290807e-07,0.012229524298442,-5.48330901259009e-08,5.40766977880904e-07,0.000416612023624204,5.40766977801341e-07,0.00041661202357221,1.89136967273801e-05,0.0135148734937848,1.89136967287617e-05,0.0135148734946978
0.0032,-2.23656109751437e-06,3.82522727864262e-12,-2.33167143013989e-05,-0.00146122765499598,2.87639997010215e-09,-0.0145799937911093,5.76393653794144e-10,2.23619508822043e-05,-1.11717279867965e-10,4.3380035130369e-07,0.0139785550730551,-8.38450609391106e-08,-2.23656109770494e-06,3.82528859855296e-12,-2.33167143023234e-05,-0.0014612276551061,2.87643630296638e-09,-0.0145799937916375,5.76393627142504e-10,2.23619508825247e-05,-1.11717194851805e-10,4.33800335997788e-07,0.0139785550732381,-8.38450103465774e-08,7.50918074396466e-07,0.000510935959261158,7.50918074293538e-07,0.000510935959202776,2.4711088883598e-05,0.0154514109467055,2.47110888853711e-05,0.0154514109477187
0.0036,-2.9027047902275e-06,5.68681327821791e-12,-2.95182309646518e-05,-0.00170352136664049,4.02763654453777e-09,-0.0164091272271344,8.53637956765182e-10,2.83045015616398e-05,-1.67536314516409e-10,6.03480858015393e-07,0.0157280747998664,-1.19150889740109e-07,-2.90270479046324e-06,5.68689232975774e-12,-2.95182309658046e-05,-0.00170352136676033,4.0276790024042e-09,-0.0164091272277199,8.53637922940276e-10,2.83045015620396e-05,-1.67536204616423e-10,6.03480840488087e-07,0.0157280748000695,-1.19150830398809e-07,9.97692042421468e-07,0.000613961584928167,9.97692042292171e-07,0.000613961584862378,3.12829102788443e-05,0.0173894086602916,3.12829102810559e-05,0.0173894086614152
