"time","inertiaLoad.phi","inertiaLoad.w","smpm.is[1]","smpm.is[2]","smpm.idq_sr[1]","smpm.idq_sr[2]"
0,0,157.07963267948966,0,0,0,0
1.8514616829693876e-15,2.9082692108099731e-13,157.07963267948966,-6.4896480807241929e-20,-1.9999999996507745e-10,-6.5030824954115849e-20,-2.3094010767299319e-10
1.8514616829693876e-15,2.9082692108099731e-13,157.07963267948966,-6.4896480807241929e-20,-1.9999999996507745e-10,-6.5030824954115849e-20,-2.3094010767299319e-10
7.4439810695364274e-11,1.1692978120758566e-08,157.07963267948966,7.9943764756391748e-13,-8.041193120028466e-06,-1.1925793072615933e-14,-9.2851705925735587e-06
7.4439810695364274e-11,1.1692978120758566e-08,157.07963267948966,7.9943764756391748e-13,-8.041193120028466e-06,-1.1925793072615933e-14,-9.2851705925735587e-06
3.552442295169768e-07,5.5801633081319027e-05,157.07963265891101,4.7336853374602139e-07,-0.038371228066424616,-4.4766971182935484e-06,-0.044307013290971489
3.552442295169768e-07,5.5801633081319027e-05,157.07963265891101,4.7336853374602139e-07,-0.038371228066424616,-4.4766971182935484e-06,-0.044307013290971489
5.0000000000000002e-05,0.0078539748827630134,157.07922844866931,0.0057231546048956972,-5.335730084739315,-0.091001776868824935,-6.1571976077564861
0.0001,0.015707909603589341,157.07802967307134,0.024263367270016545,-10.542625087532947,-0.35769003450130177,-12.154331016399379
0.00015000000000000001,0.023561764958753176,157.0760573732974,0.057624419758498746,-15.623574145248762,-0.79069443792185923,-17.990008040938076
0.00020000000000000001,0.031415502802116503,157.0733327338794,0.1077364969870942,-20.581362298592719,-1.3807896577892804,-23.663106461389539
0.00025000000000000001,0.03926908604902387,157.06987706914273,0.1764586333159599,-25.418673997258264,-2.1188975287805332,-29.172766974965445
0.00030000000000000003,0.047122478682807854,157.06571179007733,0.26558034803735708,-30.138096950699687,-2.9960899461635084,-34.518387146888152
0.00035,0.054975645759403537,157.0608583688757,0.37682301694748332,-34.742125124490443,-4.0035918708007427,-39.699614630384957
0.00040000000000000002,0.062828553409182947,157.05533830850354,0.51184166895138361,-39.233162442801408,-5.1327838504284626,-44.716341112731008
0.00045000000000000004,0.070681168837416292,157.04917311074581,0.67222647969273197,-43.61352589493351,-6.3752047025612493,-49.568695849808115
0.00050000000000000001,0.078533460323986518,157.04238424423266,0.85950414778324102,-47.885448421059557,-7.7225541765104664,-54.257039111480637
0.00055000000000000003,0.086385397221556331,157.03499311460956,1.0751393398124094,-52.051081999384763,-9.1666954629814548,-58.781955933015695
0.00060000000000000006,0.09423694995014717,157.02702103905636,1.3205364687443293,-56.112501239859711,-10.699657359028906,-63.144250420671952
0.00065000000000000008,0.10208808999274628,157.01848921407361,1.5970406647717397,-60.071705400054761,-12.313636909434628,-67.344938693167535
0.00069999999999999999,0.1099387898896706,157.00941868990481,1.9059393161088067,-63.930621661050438,-14.001001566299779,-71.385243120584846
0.00075000000000000002,0.11778902322850295,156.9998303444917,2.2484634211117225,-67.691107703358966,-15.754291319194861,-75.266585944052977
0.00080000000000000004,0.1256387646354658,156.98974485727987,2.6257888188493155,-71.354954249123082,-17.566220841611283,-78.990582994140354
0.00085000000000000006,0.13348798976645898,156.97918268343102,3.0390373446250152,-74.923887565439699,-19.429681607541376,-82.559037473542261
0.00090000000000000008,0.14133667529329424,156.96816403082158,3.4892781424652668,-78.399571922377305,-21.337743719564099,-85.973933723685008
0.00095,0.14918479889114244,156.95670883668413,3.9775288430866311,-81.783611969683363,-23.283657761274732,-89.237431029723083
0.001,0.1570323392258399,156.94483674411498,4.5047565993383785,-85.07755497528558,-25.260856663495332,-92.351857388200798
0.0010500000000000002,0.16487927593702639,156.93256708156832,5.0718793252909506,-88.282893095105479,-27.262957247827526,-95.319703331962472
0.0011000000000000001,0.17272558962203607,156.91991884191819,5.6797667778288599,-91.401065498235354,-29.28376179436248,-98.143615717604675
0.00115,0.18057126181979852,156.90691066154935,6.3292415183334612,-94.433460421649158,-31.317259613432679,-100.82639153370867
0.0012000000000000001,0.18841627499149224,156.89356080185254,7.0210800223221668,-97.381417195443291,-33.357628331755883,-103.37097171587031
0.00125,0.19626061250116211,156.87988713102425,7.7560137150079527,-100.24622819653216,-35.399235127925394,-105.7804349758549
0.0013000000000000002,0.20410425859659984,156.86590710563209,8.5347298542391172,-103.02914071030924,-37.436637996436353,-108.05799162670452
0.0013500000000000001,0.21194719838780599,156.85163775421552,9.3578725301630925,-105.73135876674145,-39.464586758357385,-110.20697742747963
0.0014,0.21978941782468531,156.8370956617986,10.226043661746715,-108.35404491961384,-41.47802394153868,-112.23084744176724
0.0014500000000000001,0.22763090367530536,156.82229695393846,11.139803811805507,-110.89832193568665,-43.472085717703919,-114.13316989135363
0.0015,0.23547164350246244,156.80725728234577,12.099673068848617,-113.36527444967724,-45.442102634990412,-115.91762002909719
0.0015500000000000002,0.24331162563891395,156.7919918120966,13.10613201407341,-115.75595058276815,-47.38360012329305,-117.58797403781749
0.0016000000000000001,0.25115083916335523,156.77651520820137,14.159622482668766,-118.07136347811849,-49.292299082682085,-119.14810292757409
0.00165,0.25898927387541443,156.76084162315149,15.260548319027848,-120.31249278833114,-51.164116339938673,-120.60196644384453
0.0017000000000000001,0.26682692026880733,156.74498468688765,16.409276334042943,-122.48028615365024,-52.995164753766673,-121.95360702970149
0.00175,0.27466376950541682,156.72895749587377,17.606137019992872,-124.57566059401788,-54.781753439144659,-123.20714377885633
0.0018000000000000002,0.28249981338897989,156.7127726025046,18.851425173597107,-126.59950384442976,-56.520387949434358,-124.36676639036496
